store_name,store_id,street_address,city_name,state_id,state_name,postal_code,country_id,lat,lng,telephone,email,store_website,county_fips,county_name,cbsa_fips,cbsa_name,cbsa_metro,csa_fips,csa_name,timezone
Walmart Supercenter,2070,"3101 A St, Anchorage, AK 99503",Anchorage,AK,Alaska,99503,US,61.1923,-149.8801,907-563-5900,,https://www.walmart.com/store/2070-anchorage-ak,02020,Anchorage,11260,"Anchorage, AK",TRUE,,,America/Anchorage
Walmart Supercenter,4359,"7405 Debarr Road, Anchorage, AK 99504",Anchorage,AK,Alaska,99504,US,61.212,-149.7432,907-339-9039,,https://www.walmart.com/store/4359-anchorage-ak,02020,Anchorage,11260,"Anchorage, AK",TRUE,,,America/Anchorage
Walmart Supercenter,2071,"8900 Old Seward Hwy, Anchorage, AK 99515",Anchorage,AK,Alaska,99515,US,61.1402,-149.8647,907-344-5300,,https://www.walmart.com/store/2071-anchorage-ak,02020,Anchorage,11260,"Anchorage, AK",TRUE,,,America/Anchorage
Walmart Supercenter,2188,"18600 Eagle River Rd, Eagle River, AK 99577",Eagle River,AK,Alaska,99577,US,61.309,-149.5354,907-694-9780,,https://www.walmart.com/store/2188-eagle-river-ak,02020,Anchorage,11260,"Anchorage, AK",TRUE,,,America/Anchorage
Walmart Supercenter,2074,"1350 S Seward Meridian Pkwy, Wasilla, AK 99654",Wasilla,AK,Alaska,99654,US,61.5688,-149.365,907-376-9780,,https://www.walmart.com/store/2074-wasilla-ak,02170,Matanuska-Susitna,11260,"Anchorage, AK",TRUE,,,America/Anchorage
Walmart Supercenter,2722,"537 Johansen Expy, Fairbanks, AK 99701",Fairbanks,AK,Alaska,99701,US,64.8569,-147.6896,907-451-9900,,https://www.walmart.com/store/2722-fairbanks-ak,02090,Fairbanks North Star,21820,"Fairbanks-College, AK",TRUE,,,America/Anchorage
Walmart Supercenter,4474,"10096 Kenai Spur Hwy, Kenai, AK 99611",Kenai,AK,Alaska,99611,US,60.5639,-151.2261,907-395-0971,,https://www.walmart.com/store/4474-kenai-ak,02122,Kenai Peninsula,,,FALSE,,,America/Anchorage
Walmart,2710,"4230 Don King Rd, Ketchikan, AK 99901",Ketchikan,AK,Alaska,99901,US,55.3754,-131.7206,907-247-2156,,https://www.walmart.com/store/2710-ketchikan-ak,02130,Ketchikan Gateway,28540,"Ketchikan, AK",FALSE,,,America/Sitka
Walmart,2711,"2911 Mill Bay Rd, Kodiak, AK 99615",Kodiak,AK,Alaska,99615,US,57.8118,-152.3648,907-481-1670,,https://www.walmart.com/store/2711-kodiak-ak,02150,Kodiak Island,,,FALSE,,,America/Anchorage
Walmart Supercenter,1158,"2473 Hackworth Rd, Adamsville, AL 35214",Adamsville,AL,Alabama,35214,US,33.5796,-86.9243,205-798-9721,,https://www.walmart.com/store/1158-adamsville-al,01073,Jefferson,13820,"Birmingham, AL",TRUE,142,"Birmingham-Cullman-Talladega, AL",America/Chicago
