store_number,slug,url,location_name,status,address_line1,city,county,state,region,postal_code,country_code,latitude,longitude,time_zone,format,total_building_area_sqft,main_voice_phone_number,state_fips,county_fips,tract_fips,block_fips,cbsa_fips,csa_fips,coord_source,fips_source
lake-havasu-city-1980-mcculloch-blvd,,https://local.albertsons.com/az/lake-havasu-city/1980-mcculloch-blvd.html,Albertsons Lake Havasu City Mccullock,open,1980 Mcculloch Blvd,Lake Havasu City,,Arizona,AZ,86403,US,34.4762,-114.3345,America/Los_Angeles,,,928-854-5300,04,04015,04015953100,040159531001011,29420,,ceo,census
litchfield-park-12970-w-indian-school-rd,,https://local.albertsons.com/az/litchfield-park/12970-w-indian-school-rd.html,Albertsons Indian School and Dysart,open,12970 W Indian School Rd,Litchfield Park,,Arizona,AZ,85340,US,33.4948,-112.3379,America/Phoenix,,,623-535-7991,04,04013,04013061013,040130610132025,38060,429,ceo,census
az-mesa-1951-w-baseline-rd,,https://local.albertsons.com/az/mesa/1951-w-baseline-rd.html,Albertsons Mesa - Baseline and Dobson,open,1951 W Baseline Rd,Mesa,,Arizona,AZ,85202,US,33.3775,-111.8761,America/Phoenix,,,480-456-4373,04,04013,04013422221,040134222213005,38060,429,ceo,census
az-phoenix-18411-n-cave-creek-rd,,https://local.albertsons.com/az/phoenix/18411-n-cave-creek-rd.html,Albertsons Phoenix - Cave Creek and Union Hills,open,18411 N Cave Creek Rd,Phoenix,,Arizona,AZ,85032,US,33.6535,-112.0297,America/Phoenix,,,602-494-7388,04,04013,04013619500,040136195001008,38060,429,ceo,census
az-scottsdale-11475-e-via-linda,,https://local.albertsons.com/az/scottsdale/11475-e-via-linda.html,Albertsons Scottsdale,open,11475 E Via Linda,Scottsdale,,Arizona,AZ,85259,US,33.589,-111.834,America/Phoenix,,,480-767-0819,04,04013,04013216837,040132168373008,38060,429,ceo,census
az-peoria-8240-w-deer-valley-rd,,https://local.albertsons.com/az/peoria/8240-w-deer-valley-rd.html,Albertsons Peoria - 83rd Avenue and Deer Valley,open,8240 W Deer Valley Rd,Peoria,,Arizona,AZ,85382,US,33.6831,-112.2364,America/Phoenix,,,623-572-5744,04,04013,04013613900,040136139001034,38060,429,ceo,census
az-chandler-2935-e-riggs-rd,,https://local.albertsons.com/az/chandler/2935-e-riggs-rd.html,Albertsons Chandler - Riggs and Gilbert,open,2935 E Riggs Rd,Chandler,,Arizona,AZ,85249,US,33.2178,-111.7899,America/Phoenix,,,480-802-1970,04,04013,04013813900,040138139001000,38060,429,ceo,fcc
az-peoria-8950-w-bell-rd,,https://local.albertsons.com/az/peoria/8950-w-bell-rd.html,Albertsons Peoria - Bell and 91st,open,8950 W Bell Rd,Peoria,,Arizona,AZ,85382,US,33.6397,-112.2517,America/Phoenix,,,623-876-8103,04,04013,04013617600,040136176001012,38060,429,ceo,census
az-phoenix-21001-n-tatum-blvd-suite-76,,https://local.albertsons.com/az/phoenix/21001-n-tatum-blvd-suite-76.html,Albertsons Phoenix - Tatum Blvd and Deer Valley,open,21001 N Tatum Blvd Suite 76,Phoenix,,Arizona,AZ,85050,US,33.6779,-111.9745,America/Phoenix,,,480-342-8231,04,04013,04013615202,040136152022007,38060,429,ceo,census
az-mesa-2727-n-power-rd,,https://local.albertsons.com/az/mesa/2727-n-power-rd.html,Albertsons Mesa - Power and McDowell,open,2727 N Power Rd,Mesa,,Arizona,AZ,85215,US,33.4651,-111.6821,America/Phoenix,,,480-396-9282,04,04013,04013420109,040134201092003,38060,429,ceo,census
