store_number,slug,url,location_name,status,address_line1,city,county,state,region,postal_code,country_code,latitude,longitude,time_zone,format,total_building_area_sqft,main_voice_phone_number,state_fips,county_fips,tract_fips,block_fips,cbsa_fips,csa_fips,coord_source,fips_source
fg14,,https://www.aldi.us/stores/l/in/westfield/54-e-spring-mill-pointe-dr/fg14,ALDI 54 E Spring Mill Pointe Dr,open,54 E Spring Mill Pointe Dr,Westfield,,Indiana,IN,46074,US,40.0422,-86.1591,America/Indiana/Indianapolis,,,,18,18057,18057110406,180571104062002,26900,294,ceo,census
fn36,,https://www.aldi.us/stores/l/fl/orlando/1403-s-hiawassee-rd/fn36,ALDI 1403 S Hiawassee Rd,open,1403 S Hiawassee Rd,Orlando,,Florida,FL,32835,US,28.5254,-81.4701,America/New_York,,,,12,12095,12095014703,120950147031001,36740,422,ceo,census
ff19,,https://www.aldi.us/stores/l/ny/medford/2799-route-112/ff19,ALDI 2799 Route 112,open,2799 Route 112,Medford,,New York,NY,11763,US,40.825,-72.9933,America/New_York,,,,36,36103,36103158712,361031587123019,35620,408,ceo,census
fs55,,https://www.aldi.us/stores/l/fl/lehigh-acres/61-bell-blvd-north/fs55,ALDI 61 Bell Blvd North,open,61 Bell Blvd North,Lehigh Acres,,Florida,FL,33936,US,26.6027,-81.6125,America/New_York,,,,12,12071,12071040316,120710403162000,15980,163,ceo,census
ff18,,https://www.aldi.us/stores/l/ma/greenfield/220-mohawk-trail/ff18,ALDI 220 Mohawk Trail,open,220 Mohawk Trail,Greenfield,,Massachusetts,MA,01301,US,42.5855,-72.6248,America/New_York,,,,25,25011,25011041000,250110410001008,24640,521,ceo,census
ff83,,https://www.aldi.us/stores/l/ms/gulfport/11312-h-hwy-49/ff83,ALDI 11312 H Hwy 49,open,11312 H Hwy 49,Gulfport,,Mississippi,MS,39503,US,30.4509,-89.0979,America/Chicago,,,,28,28047,28047003213,280470032132004,25060,,ceo,census
fn53,,https://www.aldi.us/stores/l/fl/bushnell/1122-n-main-st/fn53,ALDI 1122 N Main St,open,1122 N Main St,Bushnell,,Florida,FL,33513,US,28.6824,-82.1117,America/New_York,,,,12,12119,12119910402,121199104022045,48680,422,ceo,census
fn38,,https://www.aldi.us/stores/l/fl/ormond-beach/353-west-granada-blvd/fn38,ALDI 353 West Granada Blvd,open,353 West Granada Blvd,Ormond Beach,,Florida,FL,32174,US,29.2823,-81.0685,America/New_York,,,,12,12127,12127080807,121270808071014,19660,422,ceo,census
fo35,,https://www.aldi.us/stores/l/az/surprise/13723-w-bell-rd/fo35,ALDI 13723 W Bell Rd,open,13723 W Bell Rd,Surprise,,Arizona,AZ,85374,US,33.6373,-112.3529,America/Phoenix,,,,04,04013,04013061029,040130610293008,38060,429,ceo,census
fp23,,https://www.aldi.us/stores/l/la/slidell/2985-gause-blvd/fp23,ALDI 2985 Gause Blvd.,open,2985 Gause Blvd.,Slidell,,Louisiana,LA,70461,US,30.2901,-89.7203,America/Chicago,,,,22,22103,22103040709,221030407091016,43640,406,ceo,census
fn30,,https://www.aldi.us/stores/l/fl/new-port-richey/12124-moon-lake-rd/fn30,ALDI 12124 Moon Lake Rd,open,12124 Moon Lake Rd,New Port Richey,,Florida,FL,34654,US,28.333,-82.6018,America/New_York,,,,12,12101,12101031703,121010317031006,45300,,ceo,census
fn62,,https://www.aldi.us/stores/l/ny/bethpage/3988-hempstead-turnpike/fn62,ALDI mpstead Turnpike,open,3988 Hempstead Turnpike,Bethpage,,New York,NY,11714,US,40.7241,-73.4883,America/New_York,,,,36,36059,36059520300,360595203005002,35620,408,ceo,census
fs56,,https://www.aldi.us/stores/l/fl/north-fort-myers/5690-bayshore-rd/fs56,ALDI 5690 Bayshore Rd,open,5690 Bayshore Rd,North Fort Myers,,Florida,FL,33917,US,26.6878,-81.8635,America/New_York,,,,12,12071,12071020502,120710205024001,15980,163,ceo,census
fn57,,https://www.aldi.us/stores/l/fl/sarasota/4230-bee-ridge-road/fn57,ALDI 4230 Bee Ridge Road,open,4230 Bee Ridge Road,Sarasota,,Florida,FL,34233,US,27.298,-82.4836,America/New_York,,,,12,12115,12115001508,121150015081000,35840,412,ceo,census
fn33,,https://www.aldi.us/stores/l/fl/englewood/4100-s-mccall-road/fn33,ALDI 4100 S Mccall Road,open,4100 S Mccall Road,Englewood,,Florida,FL,34224,US,26.934,-82.2707,America/New_York,,,,12,12015,12015030201,120150302011034,39460,412,ceo,census
ft09,,https://www.aldi.us/stores/l/fl/leesburg/27405-us-hwy-27/ft09,ALDI 27405 US Hwy 27,open,27405 US Hwy 27,Leesburg,,Florida,FL,34748,US,28.7464,-81.878,America/New_York,,,,12,12069,12069031107,120690311072001,36740,422,ceo,census
fn55,,https://www.aldi.us/stores/l/fl/port-st-john/6257-us-hwy-1/fn55,ALDI 6257 US Hwy 1.,open,6257 US Hwy 1.,Port St John,,Florida,FL,32927,US,28.4715,-80.769,America/New_York,,,,12,12009,12009062106,120090621061005,37340,,ceo,census
fp26,,https://www.aldi.us/stores/l/fl/milton/5428-dogwood-drive/fp26,ALDI 5428 Dogwood Drive,open,5428 Dogwood Drive,Milton,,Florida,FL,32570,US,30.632,-87.0543,America/Chicago,,,,12,12113,12113010601,121130106011031,37860,,ceo,census
fj10,,https://www.aldi.us/stores/l/pa/harrisburg/2020-eg-dr/fj10,ALDI 2020 EG Dr,open,2020 EG Dr,Harrisburg,,Pennsylvania,PA,17110,US,40.3341,-76.8451,America/New_York,,,,42,42043,42043022501,420430225012012,25420,276,ceo,fcc
fn73,,https://www.aldi.us/stores/l/ny/lake-ronkonkoma/147-ronkonkoma-avenue/fn73,ALDI 147 Ronkonkoma Avenue,open,147 Ronkonkoma Avenue,Lake Ronkonkoma,,New York,NY,11779,US,40.8244,-73.1107,America/New_York,,,,36,36103,36103158608,361031586081000,35620,408,ceo,census
fn47,,https://www.aldi.us/stores/l/fl/new-port-richey/6400-massachusetts-ave/fn47,ALDI 6400 Massachusetts Ave,open,6400 Massachusetts Ave,New Port Richey,,Florida,FL,34653,US,28.2575,-82.7089,America/New_York,,,,12,12101,12101031401,121010314013000,45300,,ceo,census
fs69,,https://www.aldi.us/stores/l/fl/englewood/1951-s-mccall-rd-300/fs69,ALDI 1951 S. Mccall Rd #300,open,1951 S. Mccall Rd #300,Englewood,,Florida,FL,34223,US,26.9368,-82.3349,America/New_York,,,,12,12015,12015030301,120150303013039,39460,412,ceo,census
fp25,,https://www.aldi.us/stores/l/la/hammond/2302-w-thomas-street/fp25,ALDI 2302 W. Thomas Street,open,2302 W. Thomas Street,Hammond,,Louisiana,LA,70401,US,30.5022,-90.4863,America/Chicago,,,,22,22105,22105954104,221059541041034,25220,132,ceo,census
fk12,,https://www.aldi.us/stores/l/fl/gainesville/300-sw-16th-avenue/fk12,ALDI 300 SW 16th Avenue,open,300 SW 16th Avenue,Gainesville,,Florida,FL,32601,US,29.6374,-82.3289,America/New_York,,,,12,12001,12001000806,120010008062002,23540,264,ceo,census
fk15,,https://www.aldi.us/stores/l/fl/jacksonville/6060-fort-caroline-rd-10/fk15,ALDI 6060 Fort Caroline Rd #10,open,6060 Fort Caroline Rd #10,Jacksonville,,Florida,FL,32277,US,30.365,-81.5968,America/New_York,,,,12,12031,12031014901,120310149011000,27260,300,ceo,census
fp15,,https://www.aldi.us/stores/l/al/selma/1952-w-dallas-ave/fp15,ALDI 1952 W Dallas Ave,open,1952 W Dallas Ave,Selma,,Alabama,AL,36701,US,32.3982,-87.0652,America/Chicago,,,,01,01047,01047956702,010479567021019,42820,388,ceo,census
fk41,,https://www.aldi.us/stores/l/fl/naples/13725-immokalee-rd/fk41,ALDI 13725 Immokalee Rd,open,13725 Immokalee Rd,Naples,,Florida,FL,34120,US,26.2848,-81.5952,America/New_York,,,,12,12021,12021011211,120210112112032,34940,163,ceo,fcc
fp39,,https://www.aldi.us/stores/l/al/tuscaloosa/9750-highway-69-s/fp39,ALDI 9750 Highway 69 S,open,9750 Highway 69 S,Tuscaloosa,,Alabama,AL,35405,US,33.1179,-87.5531,America/Chicago,,,,01,01125,01125012504,011250125042040,46220,,ceo,fcc
fp27,,https://www.aldi.us/stores/l/ga/cordele/1011-e-16th-avenue/fp27,ALDI 1011 E 16th Avenue,open,1011 E 16th Avenue,Cordele,,Georgia,GA,31015,US,31.9644,-83.7662,America/New_York,,,,13,13081,13081010300,130810103001061,18380,,ceo,fcc
ft13,,https://www.aldi.us/stores/l/fl/palm-harbor/1360-tampa-rd/ft13,ALDI 1360 Tampa Rd,open,1360 Tampa Rd,Palm Harbor,,Florida,FL,34683,US,28.0671,-82.7626,America/New_York,,,,12,12103,12103027208,121030272083001,45300,,ceo,census
fn48,,https://www.aldi.us/stores/l/fl/saint-petersburg/3327-9th-street-n/fn48,ALDI 3327 9th Street N.,open,3327 9th Street N.,Saint Petersburg,,Florida,FL,33704,US,27.8025,-82.6457,America/New_York,,,,12,12103,12103023900,121030239002008,45300,,ceo,census
fc32,,https://www.aldi.us/stores/l/az/surprise/17038-w-waddell-rd/fc32,ALDI 17038 W Waddell Rd,open,17038 W Waddell Rd,Surprise,,Arizona,AZ,85388,US,33.6103,-112.4232,America/Phoenix,,,,04,04013,04013061060,040130610601007,38060,429,ceo,census
fc33,,https://www.aldi.us/stores/l/az/casa-grande/1829-e-florence-blvd/fc33,ALDI 1829 E Florence Blvd,open,1829 E Florence Blvd,Casa Grande,,Arizona,AZ,85122,US,32.8794,-111.709,America/Phoenix,,,,04,04021,04021001407,040210014072000,38060,429,ceo,census
