store_number,slug,url,location_name,status,address_line1,city,county,state,region,postal_code,country_code,latitude,longitude,time_zone,format,total_building_area_sqft,main_voice_phone_number,country_uk,itl1_code,itl1_name,lad_code,lad_name,msoa_code,msoa_name,lsoa_code,lsoa_name,coord_source,geo_source,overture_id,confidence
ovt:63ad6cae-08b6-4cd6-b37f-d965234a2b0c,,http://www.booker.co.uk,Booker Lancaster,open,,Morecambe,Lancashire,,North West,LA3 3PA,GB,54.05781107,-2.83152904,Europe/London,Booker,,0152435931,England,E12000002,North West,E07000121,Lancaster,E02005230,Lancaster 010,E01025172,Lancaster 010C,overture,postcodes.io+reverse,63ad6cae-08b6-4cd6-b37f-d965234a2b0c,0.9759
ovt:f31dd04d-b294-40e6-89e9-be1144749238,,https://www.booker.co.uk/?utm_source=Listings&utm_medium=Local&utm_campaign=Yext,Makro Aberdeen,open,Wellington Cir,Aberdeen,,,Scotland,AB12 3QW,GB,57.11001384,-2.09548206,Europe/London,Makro,,01224896896,Scotland,S92000003,Scotland,S12000033,Aberdeen City,S02002534,"Kincorth, Leggart and Nigg South",S01013587,"Kincorth, Leggart and Nigg South - 01",overture,postcodes.io,f31dd04d-b294-40e6-89e9-be1144749238,0.9940
ovt:6b6eafe9-f5d7-4745-97cb-8d03d238af74,,https://www.booker.co.uk,Booker Aberdeen,open,Whitemyres Ave,Aberdeen,,,Scotland,AB16 6YR,GB,57.15307887,-2.15611883,Europe/London,Booker,,01224690866,Scotland,S92000003,Scotland,S12000033,Aberdeen City,S02002550,Mastrick,S01013686,Mastrick - 03,overture,postcodes.io,6b6eafe9-f5d7-4745-97cb-8d03d238af74,0.9961
ovt:c5170797-cfc8-4dd9-9f09-6e07a5b6aee3,,https://www.booker.co.uk,Booker Stirchley,open,1082 Pershore Road,Birmingham,,,West Midlands,B30 2YG,GB,52.4344432,-1.91685199,Europe/London,Booker,,01214727279,England,E12000005,West Midlands,E08000025,Birmingham,E02001926,Birmingham 100,E01009282,Birmingham 100B,overture,postcodes.io,c5170797-cfc8-4dd9-9f09-6e07a5b6aee3,0.9969
ovt:b17c64d6-2b44-4834-b65b-7f276721330a,,http://www.makro.co.uk,Makro Birmingham,open,"Pitcairn Dr, Dudley Rd",Halesowen,,,West Midlands,B62 8AZ,GB,52.45916318,-2.0462316,Europe/London,Makro,,01215042251,England,E12000005,West Midlands,E08000027,Dudley,E02002033,Dudley 034,E01009734,Dudley 034A,overture,postcodes.io,b17c64d6-2b44-4834-b65b-7f276721330a,0.9427
ovt:4e8e3b2f-7919-46fc-9942-cad3d2ffc1d3,,http://www.booker.co.uk,Booker Saltley,open,"2, off Cranby St, Adderley Rd",Birmingham,,,West Midlands,B8 1JU,GB,52.49139079,-1.86092507,Europe/London,Booker,,01214482004,England,E12000005,West Midlands,E08000025,Birmingham,E02001878,Birmingham 052,E01034933,Birmingham 052G,overture,postcodes.io,4e8e3b2f-7919-46fc-9942-cad3d2ffc1d3,0.9959
ovt:568b0caf-a435-4a27-a22e-d20a116e55a7,,https://www.booker.co.uk/?utm_source=Listings&utm_medium=Local&utm_campaign=Yext,Booker Trowbridge,open,"Canal Road Industrial Estate, Kennet Way",Trowbridge,,,South West,BA14 8RN,GB,51.33233473,-2.20237632,Europe/London,Booker,,01225762962,England,E12000009,South West,E06000054,Wiltshire,E02006684,Wiltshire 031,E01032087,Wiltshire 031C,overture,postcodes.io,568b0caf-a435-4a27-a22e-d20a116e55a7,0.9982
ovt:d4258f09-8538-42ee-b4e1-fbb4a376a06c,,https://www.booker.co.uk/?utm_source=Listings&utm_medium=Local&utm_campaign=Yext,Booker Bath,open,Brook Rd,Bath,,,South West,BA2 3RP,GB,51.3812321,-2.38213622,Europe/London,Booker,,01225314974,England,E12000009,South West,E06000022,Bath and North East Somerset,E02002997,Bath and North East Somerset 013,E01035208,Bath and North East Somerset 013F,overture,postcodes.io,d4258f09-8538-42ee-b4e1-fbb4a376a06c,0.9963
ovt:2aeae1b7-bde9-4078-80e6-2849102b4973,,https://www.booker.co.uk/?utm_source=Listings&utm_medium=Local&utm_campaign=Yext,Booker Yeovil,open,Lyde Rd,Yeovil,,,South West,BA21 5DR,GB,50.94889942,-2.60822814,Europe/London,Booker,,01935471221,England,E12000009,South West,E06000066,Somerset,E02006085,South Somerset 011,E01029238,South Somerset 011A,overture,postcodes.io,2aeae1b7-bde9-4078-80e6-2849102b4973,0.9986
ovt:2daf3a0e-79da-419b-8cd8-171123897aef,,http://www.booker.co.uk,Booker Burnley,open,"Gannow Ln, Rosegrove Ln",Burnley,Lancashire,,North West,BB12 6JJ,GB,53.78969415,-2.27574551,Europe/London,Booker,,01282786128,England,E12000002,North West,E07000117,Burnley,E02005181,Burnley 006,E01024902,Burnley 006C,overture,postcodes.io,2daf3a0e-79da-419b-8cd8-171123897aef,0.9961
ovt:ea493858-c419-4ecf-88d6-8b242f4bc62b,,https://www.booker.co.uk/?utm_source=Listings&utm_medium=Local&utm_campaign=Yext,Booker Blackburn,open,Amberley St,Blackburn,,,North West,BB2 2QH,GB,53.73747681,-2.49991568,Europe/London,Booker,,0125451811,England,E12000002,North West,E06000008,Blackburn with Darwen,E02002623,Blackburn with Darwen 009,E01012622,Blackburn with Darwen 009C,overture,postcodes.io,ea493858-c419-4ecf-88d6-8b242f4bc62b,0.9987
ovt:890aeada-8825-41d7-b6e2-27d05e8cdeb9,,https://www.booker.co.uk,Booker Bradford,open,4 Shearbridge Road,Bradford,,,Yorkshire and The Humber,BD7 1NA,GB,53.79197983,-1.77250783,Europe/London,Booker,,01274064042,England,E12000003,Yorkshire and The Humber,E08000032,Bradford,E02002226,Bradford 044,E01010836,Bradford 044C,overture,postcodes.io,890aeada-8825-41d7-b6e2-27d05e8cdeb9,0.9907
ovt:09a9df7c-cf42-45f1-add7-dff2447fea6d,,https://www.booker.co.uk/?utm_source=Listings&utm_medium=Local&utm_campaign=Yext,Makro Poole,open,"Cabot Lane, 64 Creekmoor Lane",Poole,,,South West,BH17 7BT,GB,50.74149891,-1.99592809,Europe/London,Makro,,01202656221,England,E12000009,South West,E06000058,"Bournemouth, Christchurch and Poole",E02003199,"Bournemouth, Christchurch and Poole 021",E01015417,"Bournemouth, Christchurch and Poole 021A",overture,postcodes.io,09a9df7c-cf42-45f1-add7-dff2447fea6d,0.9987
