store_number,slug,url,location_name,status,address_line1,city,county,state,region,postal_code,country_code,latitude,longitude,time_zone,format,total_building_area_sqft,main_voice_phone_number,state_fips,county_fips,tract_fips,block_fips,cbsa_fips,csa_fips,coord_source,fips_source
chickfila-de-bear,,https://www.chick-fil-a.com/locations/de/bear,Chick-fil-A Bear,open,1101 Quintilio Dr,Bear,,Delaware,DE,19701,US,39.6304,-75.666,America/New_York,,,302-834-4816,10,10003,10003014906,100030149062000,37980,428,ceo,census
chickfila-ct-bishops-corner-ct-in-line,,https://www.chick-fil-a.com/locations/ct/bishops-corner-ct-in-line,Chick-fil-A Bishops Corner (CT) In-Line,open,2534 Albany Ave,West Hartford,,Connecticut,CT,06117,US,41.7864,-72.7486,America/New_York,,,860-796-6658,09,09003,09003497500,090034975004002,,,ceo,census
chickfila-al-5-points,,https://www.chick-fil-a.com/locations/al/5-points,Chick-fil-A 5 Points,open,2000 Highland Ave S,Birmingham,,Alabama,AL,35205,US,33.5,-86.7954,America/Chicago,,,205-930-8000,01,01073,01073004901,010730049012024,13820,142,ceo,census
chickfila-ga-at-t-center-ocv,,https://www.chick-fil-a.com/locations/ga/at-t-center-ocv,Chick-fil-A AT&T Center OCV,open,725 W Peachtree St NE,Atlanta,,Georgia,GA,30308,US,33.7743,-84.3867,America/New_York,,,404-610-9965,13,13121,13121001205,131210012051008,12060,122,ceo,census
chickfila-hi-ala-moana-mall,,https://www.chick-fil-a.com/locations/hi/ala-moana-mall,Chick-fil-A Ala Moana Mall,open,1450 Ala Moana Blvd Ste 1160H,Honolulu,,Hawaii,HI,96814,US,21.2927,-157.8423,Pacific/Honolulu,,,808-466-3534,15,15003,15003003703,150030037035008,46520,,ceo,census
chickfila-ar-7th-broadway,,https://www.chick-fil-a.com/locations/ar/7th-broadway,Chick-fil-A 7th & Broadway,open,701 Broadway St,Little Rock,,Arkansas,AR,72201,US,34.7426,-92.2761,America/Chicago,,,501-436-6146,05,05119,05119004400,051190044001088,30780,340,ceo,census
chickfila-az-303-waddell,,https://www.chick-fil-a.com/locations/az/303-waddell,Chick-fil-A 303 & Waddell,open,16525 W Waddell Rd,Surprise,,Arizona,AZ,85388,US,33.6093,-112.4144,America/Phoenix,,,623-250-7120,04,04013,04013061031,040130610312005,38060,429,ceo,census
chickfila-co-104th-federal,,https://www.chick-fil-a.com/locations/co/104th-federal,Chick-fil-A 104th & Federal,open,10280 Federal Blvd,Federal Heights,,Colorado,CO,80260,US,39.8831,-105.0246,America/Denver,,,720-887-1676,08,08001,08001009321,080010093213004,19740,216,ceo,census
chickfila-de-camden-town-center,,https://www.chick-fil-a.com/locations/de/camden-town-center,Chick-fil-A Camden Town Center,open,4044 S Dupont Hwy,Camden,,Delaware,DE,19934,US,39.1026,-75.5432,America/New_York,,,302-697-6150,10,10001,10001041701,100010417013006,20100,428,ceo,census
chickfila-al-airport-blvd-al,,https://www.chick-fil-a.com/locations/al/airport-blvd-al,Chick-fil-A Airport Blvd (AL),open,4707 Airport Blvd,Mobile,,Alabama,AL,36608,US,30.6756,-88.174,America/Chicago,,,251-461-9933,01,01097,01097003704,010970037044003,33660,380,ceo,census
chickfila-ct-bristol-ct,,https://www.chick-fil-a.com/locations/ct/bristol-ct,Chick-fil-A Bristol (CT),open,1249 Farmington Ave,Bristol,,Connecticut,CT,06010,US,41.6984,-72.9004,America/New_York,,,860-919-2008,09,09003,09003406002,090034060022000,,,ceo,census
chickfila-ga-abercorn,,https://www.chick-fil-a.com/locations/ga/abercorn,Chick-fil-A Abercorn,open,11152 Abercorn St,Savannah,,Georgia,GA,31419,US,31.9806,-81.1438,America/New_York,,,912-921-0909,13,13051,13051004208,130510042081007,42340,496,ceo,fcc
chickfila-hi-kahului,,https://www.chick-fil-a.com/locations/hi/kahului,Chick-fil-A Kahului,open,14 Hookele St,Kahului,,Hawaii,HI,96732,US,20.8738,-156.4584,Pacific/Honolulu,,,808-270-1908,15,15009,15009031900,150090319001003,27980,,ceo,census
chickfila-ar-arkansas-state-university,,https://www.chick-fil-a.com/locations/ar/arkansas-state-university,Chick-fil-A Arkansas State University,open,105 North Caraway,Jonesboro,,Arkansas,AR,72401,US,35.8259,-90.6792,America/Chicago,,,870-680-4078,05,05031,05031000102,050310001023030,27860,308,ceo,fcc
chickfila-az-7th-ave-roosevelt,,https://www.chick-fil-a.com/locations/az/7th-ave-roosevelt,Chick-fil-A 7th Ave. & Roosevelt,open,819 N 7th Ave,Phoenix,,Arizona,AZ,85007,US,33.4572,-112.0822,America/Phoenix,,,602-412-1280,04,04013,04013113100,040131131001003,38060,429,ceo,census
chickfila-co-120th-bradburn,,https://www.chick-fil-a.com/locations/co/120th-bradburn,Chick-fil-A 120th & Bradburn,open,4260 W 121st Ave,Broomfield,,Colorado,CO,80020,US,39.9149,-105.0419,America/Denver,,,720-881-7987,08,08014,08014030800,080140308002002,19740,216,ceo,fcc
chickfila-al-alabama-am-university,,https://www.chick-fil-a.com/locations/al/alabama-am-university,Chick-fil-A Alabama A&M University,open,3900 Meridian Street North,Huntsville,,Alabama,AL,35811,US,34.7783,-86.5722,America/Chicago,,,,01,01089,01089000203,010890002031029,26620,290,ceo,census
chickfila-ct-brookfield,,https://www.chick-fil-a.com/locations/ct/brookfield,Chick-fil-A Brookfield,open,156 Federal Rd,Brookfield,,Connecticut,CT,06804,US,41.4384,-73.4062,America/New_York,,,203-775-7976,09,09001,09001205300,090012053003011,,,ceo,census
chickfila-de-christiana,,https://www.chick-fil-a.com/locations/de/christiana,Chick-fil-A Christiana,open,4657 Ogletown Stanton Rd,Newark,,Delaware,DE,19713,US,39.6868,-75.6782,America/New_York,,,302-737-3400,10,10003,10003013800,100030138002025,37980,428,ceo,census
chickfila-hi-kamokila,,https://www.chick-fil-a.com/locations/hi/kamokila,Chick-fil-A Kamokila,open,890 Kamokila Blvd,Kapolei,,Hawaii,HI,96707,US,21.3336,-158.0831,Pacific/Honolulu,,,808-470-9022,15,15003,15003011500,150030115005001,46520,,ceo,census
chickfila-ar-cabot,,https://www.chick-fil-a.com/locations/ar/cabot,Chick-fil-A Cabot,open,801 W Main St.,Cabot,,Arkansas,AR,72023,US,34.9755,-92.023,America/Chicago,,,501-431-2181,05,05085,05085020204,050850202042004,30780,340,ceo,census
chickfila-ga-acworth,,https://www.chick-fil-a.com/locations/ga/acworth,Chick-fil-A Acworth,open,3295 Cobb Pkwy NW,Acworth,,Georgia,GA,30101,US,34.0343,-84.6788,America/New_York,,,770-966-8918,13,13067,13067030240,130670302402001,12060,122,ceo,census
chickfila-az-89th-shea,,https://www.chick-fil-a.com/locations/az/89th-shea,Chick-fil-A 89th & Shea,open,10652 N 89th Pl,Scottsdale,,Arizona,AZ,85260,US,33.5833,-111.8885,America/Phoenix,,,480-404-6798,04,04013,04013216826,040132168261004,38060,429,ceo,census
chickfila-co-120th-washington,,https://www.chick-fil-a.com/locations/co/120th-washington,Chick-fil-A 120th & Washington,open,1301 E 120th Ave,Thornton,,Colorado,CO,80233,US,39.9145,-104.9709,America/Denver,,,720-889-1471,08,08001,08001008555,080010085553006,19740,216,ceo,census
chickfila-al-alabama-state-university,,https://www.chick-fil-a.com/locations/al/alabama-state-university,Chick-fil-A Alabama State University,open,1055 Tullibody Dr,Montgomery,,Alabama,AL,36104,US,32.3633,-86.2952,America/Chicago,,,334-497-0292,01,01101,01101001500,011010015003027,33860,388,ceo,census
chickfila-ct-buckland-hills-ct,,https://www.chick-fil-a.com/locations/ct/buckland-hills-ct,Chick-fil-A Buckland Hills (CT),open,1428 Pleasant Valley Rd,Manchester,,Connecticut,CT,06042,US,41.8056,-72.559,America/New_York,,,860-812-0307,09,09003,09003514103,090035141031005,,,ceo,census
chickfila-ga-akers-mill-drive-thru-only,,https://www.chick-fil-a.com/locations/ga/akers-mill-drive-thru-only,Chick-fil-A Akers Mill Drive-Thru Only,open,2975 Cobb Pkwy SE,Atlanta,,Georgia,GA,30339,US,33.8808,-84.4609,America/New_York,,,770-612-0930,13,13067,13067030355,130670303551005,12060,122,ceo,census
chickfila-az-ahwatukee-foothills-town-center,,https://www.chick-fil-a.com/locations/az/ahwatukee-foothills-town-center,Chick-fil-A Ahwatukee Foothills Town Center,open,5035 E Ray Rd,Phoenix,,Arizona,AZ,85044,US,33.3193,-111.9746,America/Phoenix,,,480-961-6006,04,04013,04013116719,040131167192002,38060,429,ceo,census
chickfila-de-christiana-mall,,https://www.chick-fil-a.com/locations/de/christiana-mall,Chick-fil-A Christiana Mall,open,204 Christiana Mall,Newark,,Delaware,DE,19702,US,39.679,-75.6523,America/New_York,,,302-737-3200,10,10003,10003013800,100030138003023,37980,428,ceo,census
chickfila-ar-cantrell-road,,https://www.chick-fil-a.com/locations/ar/cantrell-road,Chick-fil-A Cantrell Road,open,11525 Cantrell Rd,Little Rock,,Arkansas,AR,72212,US,34.7932,-92.4015,America/Chicago,,,501-223-5111,05,05119,05119004215,051190042153005,30780,340,ceo,census
chickfila-hi-kapiolani-kalakaua,,https://www.chick-fil-a.com/locations/hi/kapiolani-kalakaua,Chick-fil-A Kapiʻolani & Kalākaua no-DT,open,1837 Kapiolani Blvd,Honolulu,,Hawaii,HI,96826,US,21.29,-157.835,Pacific/Honolulu,,,808-909-3908,15,15003,15003002500,150030025001014,46520,,ceo,census
chickfila-ca-101-broadway,,https://www.chick-fil-a.com/locations/ca/101-broadway,Chick-fil-A 101 & Broadway,open,2140 Preisker Ln,Santa Maria,,California,CA,93458,US,34.9803,-120.4351,America/Los_Angeles,,,805-863-9020,06,06083,06083002308,060830023081007,42200,,ceo,census
chickfila-co-52nd-and-wadsworth,,https://www.chick-fil-a.com/locations/co/52nd-and-wadsworth,Chick-fil-A 52nd and Wadsworth,open,5236 Wadsworth Byp,Arvada,,Colorado,CO,80002,US,39.7914,-105.08,America/Denver,,,303-420-3000,08,08059,08059010406,080590104061010,19740,216,ceo,census
chickfila-ga-albany,,https://www.chick-fil-a.com/locations/ga/albany,Chick-fil-A Albany,open,2609 Dawson Rd,Albany,,Georgia,GA,31707,US,31.615,-84.2172,America/New_York,,,229-889-1166,13,13095,13095000400,130950004004003,10500,,ceo,census
chickfila-ct-danbury-fair-mall,,https://www.chick-fil-a.com/locations/ct/danbury-fair-mall,Chick-fil-A Danbury Fair Mall,open,7 Backus Ave,Danbury,,Connecticut,CT,06810,US,41.3804,-73.4807,America/New_York,,,203-796-1037,09,09001,09001210502,090012105024014,,,ceo,census
chickfila-az-alma-school-southern,,https://www.chick-fil-a.com/locations/az/alma-school-southern,Chick-fil-A Alma School & Southern,open,1318 W Southern Ave,Mesa,,Arizona,AZ,85202,US,33.3935,-111.8601,America/Phoenix,,,480-530-0318,04,04013,04013422107,040134221072000,38060,429,ceo,census
chickfila-al-alabaster,,https://www.chick-fil-a.com/locations/al/alabaster,Chick-fil-A Alabaster,open,125 Colonial Promenade Pkwy,Alabaster,,Alabama,AL,35007,US,33.2299,-86.8037,America/Chicago,,,205-685-1190,01,01117,01117030320,011170303201013,13820,142,ceo,census
chickfila-de-concord-mall,,https://www.chick-fil-a.com/locations/de/concord-mall,Chick-fil-A Concord Mall,open,4737 Concord Pike Ste 760,Wilmington,,Delaware,DE,19803,US,39.8242,-75.5438,America/New_York,,,302-478-7763,10,10003,10003011201,100030112012000,37980,428,ceo,census
chickfila-hi-kapolei-parkway,,https://www.chick-fil-a.com/locations/hi/kapolei-parkway,Chick-fil-A Kapolei Parkway,open,91-5480 KAPOLEI PKWY Bldg. 3,Kapolei,,Hawaii,HI,96707,US,21.3364,-158.0432,Pacific/Honolulu,,,808-809-5520,15,15003,15003008626,150030086262008,46520,,ceo,fcc
chickfila-ca-101-telephone,,https://www.chick-fil-a.com/locations/ca/101-telephone,Chick-fil-A 101 & Telephone,open,1321 Eastman Ave,Ventura,,California,CA,93003,US,34.2611,-119.2309,America/Los_Angeles,,,805-339-0977,06,06111,06111002800,061110028001008,37100,348,ceo,census
