store_number,slug,url,location_name,status,address_line1,city,county,state,region,postal_code,country_code,latitude,longitude,time_zone,format,total_building_area_sqft,main_voice_phone_number,state_fips,county_fips,tract_fips,block_fips,cbsa_fips,csa_fips,coord_source,fips_source
2862-s.-mckenzie-street,,https://locations.chipotle.com/al/foley/2862-s.-mckenzie-street,Chipotle Mexican Grill,open,2862 S. McKenzie Street,Foley,,Alabama,AL,36536,US,30.3732,-87.6835,America/Chicago,,,251-943-2500,01,01003,01003011503,010030115033024,19300,380,ceo,fcc
3220-morrow-rd,,https://locations.chipotle.com/al/birmingham/3220-morrow-rd,Chipotle Mexican Grill,open,3220 Morrow Rd,Birmingham,,Alabama,AL,35235,US,33.5983,-86.644,America/Chicago,,,205-655-3734,01,01073,01073011108,010730111084010,13820,142,ceo,census
311-cox-creek-pkwy,,https://locations.chipotle.com/al/florence/311-cox-creek-pkwy,Chipotle Mexican Grill,open,311 Cox Creek Pkwy,Florence,,Alabama,AL,35630,US,34.8373,-87.6324,America/Chicago,,,256-956-4670,01,01077,01077010901,010770109012013,22520,250,ceo,census
1821-cherokee-ave-sw,,https://locations.chipotle.com/al/cullman/1821-cherokee-ave-sw,Chipotle Mexican Grill,open,1821 Cherokee Ave SW,Cullman,,Alabama,AL,35055,US,34.1542,-86.8412,America/Chicago,,,256-727-5348,01,01043,01043965002,010439650022018,18980,142,ceo,fcc
300-20th-st-s,,https://locations.chipotle.com/al/birmingham/300-20th-st-s,Chipotle Mexican Grill,open,300 20th St S,Birmingham,,Alabama,AL,35233,US,33.5441,-86.8245,America/Chicago,,,205-326-8572,01,01073,01073004502,010730045021015,13820,142,ceo,census
3473-ross-clark-drive,,https://locations.chipotle.com/al/dothan/3473-ross-clark-drive,Chipotle Mexican Grill,open,3473 Ross Clark Drive,Dothan,,Alabama,AL,36303,US,31.2464,-85.428,America/Chicago,,,334-340-1105,01,01069,01069040204,010690402042022,20020,222,ceo,census
1109-beltline-rd-se,,https://locations.chipotle.com/al/decatur/1109-beltline-rd-se,Chipotle Mexican Grill,open,1109 Beltline Rd SE,Decatur,,Alabama,AL,35601,US,34.5615,-86.9757,America/Chicago,,,256-280-3833,01,01103,01103005109,011030051093004,19460,290,ceo,census
4719-highway-280,,https://locations.chipotle.com/al/birmingham/4719-highway-280,Chipotle Mexican Grill,open,4719 Highway 280,Birmingham,,Alabama,AL,35242,US,33.4226,-86.6983,America/Chicago,,,205-991-4846,01,01117,01117030212,011170302123019,13820,142,ceo,fcc
346-w-magnolia-ave,,https://locations.chipotle.com/al/auburn/346-w-magnolia-ave,Chipotle Mexican Grill,open,346 W Magnolia Ave,Auburn,,Alabama,AL,36832,US,32.6068,-85.4872,America/Chicago,,,334-821-7740,01,01081,01081040802,010810408022006,12220,194,ceo,census
5342-highway-280,,https://locations.chipotle.com/al/birmingham/5342-highway-280,Chipotle Mexican Grill,open,5342 Highway 280,Birmingham,,Alabama,AL,35242,US,33.4189,-86.6754,America/Chicago,,,659-272-0321,01,01117,01117030330,011170303303006,13820,142,ceo,census
914-van-ave,,https://locations.chipotle.com/al/daphne/914-van-ave,Chipotle Mexican Grill,open,914 Van Ave,Daphne,,Alabama,AL,36526,US,30.5974,-87.8988,America/Chicago,,,251-426-7633,01,01003,01003010800,010030108001036,19300,380,ceo,census
1289-us-highway-72-e,,https://locations.chipotle.com/al/athens/1289-us-highway-72-e,Chipotle Mexican Grill,open,1289 US Highway 72 E,Athens,,Alabama,AL,35611,US,34.7854,-86.9459,America/Chicago,,,256-867-2327,01,01083,01083021000,010830210001006,26620,290,ceo,census
8294-highway-72-w,,https://locations.chipotle.com/al/madison/8294-highway-72-w,Chipotle Mexican Grill,open,8294 Highway 72 W,Madison,,Alabama,AL,35758,US,34.7507,-86.7611,America/Chicago,,,256-929-6632,01,01089,01089010612,010890106123052,26620,290,ceo,census
3871-airport-blvd,,https://locations.chipotle.com/al/mobile/3871-airport-blvd,Chipotle Mexican Grill,open,3871 Airport Blvd,Mobile,,Alabama,AL,36608,US,30.6754,-88.1436,America/Chicago,,,251-206-6548,01,01097,01097003206,010970032061014,33660,380,ceo,census
