store_number,slug,url,location_name,status,address_line1,city,county,state,region,postal_code,country_code,latitude,longitude,time_zone,format,total_building_area_sqft,main_voice_phone_number,state_fips,county_fips,tract_fips,block_fips,cbsa_fips,csa_fips,coord_source,fips_source
362,,https://www.costco.com/w/-/al/hoover/362,Costco Wholesale,open,3650 GALLERIA CIR,Hoover,,Alabama,AL,35244,US,33.3793,-86.8127,America/Chicago,,,205-909-1039,01,01073,01073014408,010730144082005,13820,142,ceo,census
1192,,https://www.costco.com/w/-/al/mobile/1192,Costco Wholesale,open,1450 TINGLE CIRCLE WEST,Mobile,,Alabama,AL,36606,US,30.6482,-88.119,America/Chicago,,,251-308-7030,01,01097,01097002100,010970021001013,33660,380,ceo,fcc
1712,,https://www.costco.com/w/-/al/madison/1712,Costco Wholesale,open,8094 HIGHWAY 72 WEST,Madison,,Alabama,AL,35758,US,34.7518,-86.7531,America/Chicago,,,938-218-2913,01,01089,01089010612,010890106123046,26620,290,ceo,census
356,,https://www.costco.com/w/-/al/huntsville/356,Costco Wholesale,open,1205 N. MEMORIAL PKWY,Huntsville,,Alabama,AL,35801,US,34.7436,-86.6028,America/Chicago,,,256-519-2220,01,01089,01089000702,010890007022023,26620,290,ceo,fcc
1009,,https://www.costco.com/w/-/al/montgomery/1009,Costco Wholesale,open,8251 EASTCHASE PKWY,Montgomery,,Alabama,AL,36117,US,32.3642,-86.1505,America/Chicago,,,334-270-7452,01,01101,01101005412,011010054124018,33860,388,ceo,census
10,,https://www.costco.com/w/-/ak/anchorage/10,Costco Wholesale,open,330 W DIMOND BLVD,Anchorage,,Alaska,AK,99515,US,61.1445,-149.8856,America/Anchorage,,,907-349-2335,02,02020,02020002712,020200027121003,11260,,ceo,census
1699,,https://www.costco.com/w/-/ak/anchorage/1699,Costco Wholesale,open,8600 KING STREET,Anchorage,,Alaska,AK,99515,US,61.1431,-149.8804,America/Anchorage,,,907-206-6265,02,02020,02020002712,020200027121003,11260,,ceo,census
107,,https://www.costco.com/w/-/ak/juneau/107,Costco Wholesale,open,5225 COMMERCIAL BLVD,Juneau,,Alaska,AK,99801,US,58.3588,-134.4827,America/Juneau,,,907-780-6740,02,02110,02110000400,021100004003000,27940,,ceo,census
1342,,https://www.costco.com/w/-/ak/fairbanks/1342,Costco Wholesale,open,48 COLLEGE RD,Fairbanks,,Alaska,AK,99701,US,64.8532,-147.7078,America/Anchorage,,,907-205-3607,02,02090,02090001300,020900013003051,21820,,ceo,census
63,,https://www.costco.com/w/-/ak/anchorage/63,Costco Wholesale,open,4125 DEBARR RD,Anchorage,,Alaska,AK,99508,US,61.2101,-149.8065,America/Anchorage,,,907-269-9510,02,02020,02020000801,020200008017004,11260,,ceo,census
691,,https://www.costco.com/w/-/az/avondale/691,Costco Wholesale,open,10000 W MCDOWELL RD,Avondale,,Arizona,AZ,85392,US,33.4675,-112.2746,America/Phoenix,,,623-907-5663,04,04013,04013082024,040130820242002,38060,429,ceo,census
738,,https://www.costco.com/w/-/az/phoenix/738,Costco Wholesale,open,2450 E BEARDSLEY RD,Phoenix,,Arizona,AZ,85050,US,33.6711,-112.0283,America/Phoenix,,,480-375-2850,04,04013,04013617002,040136170025003,38060,429,ceo,census
736,,https://www.costco.com/w/-/az/chandler/736,Costco Wholesale,open,595 S GALLERIA WAY,Chandler,,Arizona,AZ,85226,US,33.2936,-111.899,America/Phoenix,,,480-375-2051,04,04013,04013811100,040138111001003,38060,429,ceo,census
481,,https://www.costco.com/w/-/az/gilbert/481,Costco Wholesale,open,1415 N ARIZONA AVE,Gilbert,,Arizona,AZ,85233,US,33.3764,-111.8405,America/Phoenix,,,480-293-0053,04,04013,04013422307,040134223074002,38060,429,ceo,fcc
1653,,https://www.costco.com/w/-/az/buckeye/1653,Costco Wholesale,open,1111 N. VERRADO WAY,Buckeye,,Arizona,AZ,85326,US,33.4603,-112.5019,America/Phoenix,,,480-618-4000,04,04013,04013050612,040130506123007,38060,429,ceo,census
1028,,https://www.costco.com/w/-/az/mesa/1028,Costco Wholesale,open,1444 S SOSSAMAN RD,Mesa,,Arizona,AZ,85209,US,33.3894,-111.669,America/Phoenix,,,480-333-6552,04,04013,04013422633,040134226331004,38060,429,ceo,census
490,,https://www.costco.com/w/-/az/phoenix/490,Costco Wholesale,open,19001 N 27TH AVE,Phoenix,,Arizona,AZ,85027,US,33.6599,-112.116,America/Phoenix,,,623-293-4400,04,04013,04013616400,040136164003008,38060,429,ceo,census
674,,https://www.costco.com/w/-/az/glendale/674,Costco Wholesale,open,17550 N 79TH AVE,Glendale,,Arizona,AZ,85308,US,33.643,-112.233,America/Phoenix,,,623-776-4003,04,04013,04013617700,040136177003000,38060,429,ceo,census
1058,,https://www.costco.com/w/-/az/phoenix/1058,Costco Wholesale,open,4570 E CACTUS RD,Phoenix,,Arizona,AZ,85032,US,33.6037,-111.9861,America/Phoenix,,,480-308-7044,04,04013,04013103210,040131032104014,38060,429,ceo,census
431,,https://www.costco.com/w/-/az/tucson/431,Costco Wholesale,open,3901 W COSTCO DR,Tucson,,Arizona,AZ,85741,US,32.3261,-111.0496,America/Phoenix,,,520-797-1980,04,04019,04019004613,040190046131016,46060,536,ceo,fcc
466,,https://www.costco.com/w/-/az/prescott/466,Costco Wholesale,open,3911 E STATE ROUTE 69,Prescott,,Arizona,AZ,86301,US,34.548,-112.397,America/Phoenix,,,928-541-2203,04,04025,04025000502,040250005024040,39150,,ceo,census
1620,,https://www.costco.com/w/-/az/queen-creek/1620,Costco Wholesale,open,20260 S ELLSWORTH RD,Queen Creek,,Arizona,AZ,85142,US,33.2652,-111.6373,America/Phoenix,,,480-847-1000,04,04013,04013816904,040138169042018,38060,429,ceo,census
1079,,https://www.costco.com/w/-/az/tucson/1079,Costco Wholesale,open,1650 E TUCSON MARKETPLACE BLVD,Tucson,,Arizona,AZ,85713,US,32.1803,-110.947,America/Phoenix,,,520-791-7340,04,04019,04019002202,040190022022032,46060,536,ceo,census
436,,https://www.costco.com/w/-/az/tempe/436,Costco Wholesale,open,1445 W ELLIOT RD,Tempe,,Arizona,AZ,85284,US,33.3471,-111.9619,America/Phoenix,,,480-496-6651,04,04013,04013319910,040133199102003,38060,429,ceo,census
427,,https://www.costco.com/w/-/az/scottsdale/427,Costco Wholesale,open,15255 N HAYDEN RD,Scottsdale,,Arizona,AZ,85260,US,33.6235,-111.901,America/Phoenix,,,480-948-5040,04,04013,04013216816,040132168162003,38060,429,ceo,census
1375,,https://www.costco.com/w/-/az/surprise/1375,Costco Wholesale,open,16385 W. WADDELL RD.,Surprise,,Arizona,AZ,85388,US,33.6079,-112.4109,America/Phoenix,,,602-325-1799,04,04013,04013061031,040130610312005,38060,429,ceo,fcc
644,,https://www.costco.com/w/-/az/gilbert/644,Costco Wholesale,open,2887 S MARKET ST,Gilbert,,Arizona,AZ,85295,US,33.2962,-111.7449,America/Phoenix,,,480-366-3950,04,04013,04013815502,040138155021007,38060,429,ceo,census
465,,https://www.costco.com/w/-/az/phoenix/465,Costco Wholesale,open,4502 E OAK ST,Phoenix,,Arizona,AZ,85008,US,33.474,-111.9849,America/Phoenix,,,602-808-0101,04,04013,04013111300,040131113001000,38060,429,ceo,census
428,,https://www.costco.com/w/-/ca/alhambra/428,Costco Wholesale,open,2207 W COMMONWEALTH AVE,Alhambra,,California,CA,91803,US,34.0883,-118.1481,America/Los_Angeles,,,626-289-7164,06,06037,06037480803,060374808032002,31080,348,ceo,census
407,,https://www.costco.com/w/-/az/tucson/407,Costco Wholesale,open,6255 EAST GRANT ROAD,Tucson,,Arizona,AZ,85712,US,32.2515,-110.8594,America/Phoenix,,,520-886-6377,04,04019,04019003004,040190030041007,46060,536,ceo,census
470,,https://www.costco.com/w/-/ca/san-jose/470,Costco Wholesale,open,5301 ALMADEN EXPY,San Jose,,California,CA,95118,US,37.2532,-121.8803,America/Los_Angeles,,,408-723-0964,06,06085,06085502910,060855029103001,41940,488,ceo,census
1442,,https://www.costco.com/w/-/ar/little-rock/1442,Costco Wholesale,open,16901 CHENAL PARKWAY,Little Rock,,Arkansas,AR,72223,US,34.757,-92.4537,America/Chicago,,,501-817-8603,05,05119,05119004225,051190042251008,30780,340,ceo,census
412,,https://www.costco.com/w/-/ca/azusa/412,Costco Wholesale,open,1220 W FOOTHILL BLVD,Azusa,,California,CA,91702,US,34.132,-117.9257,America/Los_Angeles,,,626-812-7911,06,06037,06037404401,060374044012003,31080,348,ceo,fcc
677,,https://www.costco.com/w/-/ca/burbank/677,Costco Wholesale,open,1051 W BURBANK BLVD,Burbank,,California,CA,91506,US,34.1858,-118.324,America/Los_Angeles,,,818-557-3783,06,06037,06037310900,060373109001007,31080,348,ceo,census
1662,,https://www.costco.com/w/-/ca/brentwood/1662,Costco Wholesale,open,5151 HEIDORN RANCH RD,Brentwood,,California,CA,94513,US,37.9576,-121.7506,America/Los_Angeles,,,925-666-0223,06,06013,06013303207,060133032072002,41860,488,ceo,fcc
1002,,https://www.costco.com/w/-/ca/antioch/1002,Costco Wholesale,open,2201 VERNE ROBERTS CIR,Antioch,,California,CA,94509,US,38.0087,-121.8354,America/Los_Angeles,,,925-757-7130,06,06013,06013305000,060133050003035,41860,488,ceo,census
688,,https://www.costco.com/w/-/ca/bakersfield/688,Costco Wholesale,open,3800 ROSEDALE HWY,Bakersfield,,California,CA,93308,US,35.3861,-119.05,America/Los_Angeles,,,661-852-2643,06,06029,06029000507,060290005072041,12540,,ceo,census
452,,https://www.costco.com/w/-/ca/san-diego/452,Costco Wholesale,open,12350 CARMEL MOUNTAIN RD,San Diego,,California,CA,92128,US,32.9876,-117.0782,America/Los_Angeles,,,858-675-0379,06,06073,06073017056,060730170561003,41740,,ceo,census
462,,https://www.costco.com/w/-/ca/carlsbad/462,Costco Wholesale,open,951 PALOMAR AIRPORT RD,Carlsbad,,California,CA,92011,US,33.1208,-117.3152,America/Los_Angeles,,,760-929-0963,06,06073,06073017811,060730178114000,41740,,ceo,census
471,,https://www.costco.com/w/-/ca/sacramento/471,Costco Wholesale,open,1600 EXPO PKWY,Sacramento,,California,CA,95815,US,38.5972,-121.4533,America/Los_Angeles,,,916-830-1078,06,06067,06067006901,060670069012032,40900,472,ceo,census
1011,,https://www.costco.com/w/-/ca/chico/1011,Costco Wholesale,open,2100 DR MLK JR PKWY,Chico,,California,CA,95928,US,39.7215,-121.8104,America/Los_Angeles,,,530-332-1742,06,06007,06007001300,060070013003001,17020,,ceo,fcc
473,,https://www.costco.com/w/-/ca/chino-hills/473,Costco Wholesale,open,13111 PEYTON DR,Chino Hills,,California,CA,91709,US,34.0145,-117.7415,America/Los_Angeles,,,909-464-2900,06,06071,06071000103,060710001033000,40140,348,ceo,census
771,,https://www.costco.com/w/-/ca/citrus-heights/771,Costco Wholesale,open,7000 AUBURN BLVD,Citrus Heights,,California,CA,95621,US,38.6903,-121.2972,America/Los_Angeles,,,916-560-4003,06,06067,06067008136,060670081361000,40900,472,ceo,fcc
781,,https://www.costco.com/w/-/ca/chula-vista/781,Costco Wholesale,open,1130 BROADWAY,Chula Vista,,California,CA,91911,US,32.6071,-117.0805,America/Los_Angeles,,,619-205-1501,06,06073,06073013103,060730131032011,41740,,ceo,census
679,,https://www.costco.com/w/-/ca/city-of-industry/679,Costco Wholesale,open,17550 CASTLETON ST,City of Industry,,California,CA,91748,US,33.9946,-117.9222,America/Los_Angeles,,,626-839-3053,06,06037,06037980035,060379800351169,31080,348,ceo,census
