store_number,slug,url,location_name,status,address_line1,city,county,state,region,postal_code,country_code,latitude,longitude,time_zone,format,total_building_area_sqft,main_voice_phone_number,state_fips,county_fips,tract_fips,block_fips,cbsa_fips,csa_fips,coord_source,fips_source
4870,,https://www.cvs.com/store-locator/anniston-al-pharmacies/1407-quintard-ave-anniston-al-36201/storeid=4870,CVS Pharmacy - ANNISTON,open,1407 QUINTARD AVE.,Anniston,,Alabama,AL,36201,US,33.6628,-85.8261,America/Chicago,,,256-236-3016,01,01015,01015001000,010150010004014,11500,,ceo,census
4946,,https://www.cvs.com/store-locator/aliceville-al-pharmacies/113-3rd-st-se-aliceville-al-35442/storeid=4946,CVS Pharmacy - ALICEVILLE,open,113 3RD ST,Aliceville,,Alabama,AL,35442,US,33.1271,-88.1486,America/Chicago,,,205-373-8475,01,01107,01107050402,011070504021096,46220,,ceo,census
4910,,https://www.cvs.com/store-locator/albertville-al-pharmacies/6181-us-hwy-431-albertville-al-35950/storeid=4910,CVS Pharmacy - ALBERTVILLE,open,6181 US HWY 431,Albertville,,Alabama,AL,35950,US,34.2659,-86.1933,America/Chicago,,,256-878-3502,01,01095,01095030801,010950308011018,10700,290,ceo,census
7077,,https://www.cvs.com/store-locator/andalusia-al-pharmacies/1204-dr-m-l-k-jr-expy-andalusia-al-36420/storeid=7077,CVS Pharmacy - ANDALUSIA,open,1204 DR M L K JR EXPY,Andalusia,,Alabama,AL,36420,US,31.3183,-86.4608,America/Chicago,,,334-222-0518,01,01039,01039962000,010399620001038,,,ceo,fcc
4867,,https://www.cvs.com/store-locator/alabaster-al-pharmacies/520-highway-119-alabaster-al-35007/storeid=4867,CVS Pharmacy - ALABASTER,open,520 HIGHWAY 119,Alabaster,,Alabama,AL,35007,US,33.2388,-86.8178,America/Chicago,,,205-663-5405,01,01117,01117030306,011170303063013,13820,142,ceo,census
17350,,https://www.cvs.com/store-locator/alabaster-al-pharmacies/250-s-colonial-dr-alabaster-al-35007/storeid=17350,CVS Pharmacy - ALABASTER,open,250 S COLONIAL DR,Alabaster,,Alabama,AL,35007,US,33.2244,-86.8043,America/Chicago,,,205-564-2609,01,01117,01117030616,011170306162025,13820,142,ceo,census
4941,,https://www.cvs.com/store-locator/arab-al-pharmacies/1204-n-brindlee-mountain-pkwy-arab-al-35016/storeid=4941,CVS Pharmacy - ARAB,open,1204 N. BRINDLEE MOUNTAIN PKWY.,Arab,,Alabama,AL,35016,US,34.3382,-86.5026,America/Chicago,,,256-586-6021,01,01095,01095030402,010950304022046,10700,290,ceo,census
6017,,https://www.cvs.com/store-locator/bayou-la-batre-al-pharmacies/12900-n-wintzell-ave-bayou-la-batre-al-36509/storeid=6017,CVS Pharmacy - BAYOU LA BATRE,open,12900 N. WINTZELL AVE.,Bayou La Batre,,Alabama,AL,36509,US,30.4223,-88.245,America/Chicago,,,251-824-3692,01,01097,01097007300,010970073004026,33660,380,ceo,census
4815,,https://www.cvs.com/store-locator/athens-al-pharmacies/215-hwy-31-south-athens-al-35611/storeid=4815,CVS Pharmacy - ATHENS,open,215 HWY 31 SOUTH,Athens,,Alabama,AL,35611,US,34.7972,-86.9532,America/Chicago,,,256-233-0514,01,01083,01083020900,010830209001025,26620,290,ceo,census
4938,,https://www.cvs.com/store-locator/bay-minette-al-pharmacies/208-mcmeans-ave-bay-minette-al-36507/storeid=4938,CVS Pharmacy - BAY MINETTE,open,208 MCMEANS AVE.,Bay Minette,,Alabama,AL,36507,US,30.8848,-87.7746,America/Chicago,,,251-937-3933,01,01003,01003010500,010030105001033,19300,380,ceo,fcc
1777,,https://www.cvs.com/store-locator/auburn-al-pharmacies/1888-ogletree-road-auburn-al-36830/storeid=1777,CVS Pharmacy - AUBURN,open,1888 OGLETREE ROAD,Auburn,,Alabama,AL,36830,US,32.5842,-85.4381,America/Chicago,,,334-502-8363,01,01081,01081042104,010810421044017,12220,194,ceo,census
2402,,https://www.cvs.com/store-locator/auburn-al-pharmacies/770-east-glenn-avenue-auburn-al-36830/storeid=2402,CVS Pharmacy - AUBURN,open,770 EAST GLENN AVENUE,Auburn,,Alabama,AL,36830,US,32.6082,-85.4655,America/Chicago,,,334-887-7043,01,01081,01081040201,010810402011000,12220,194,ceo,census
10208,,https://www.cvs.com/store-locator/auburn-al-pharmacies/333-s-college-st-auburn-al-36830/storeid=10208,CVS Pharmacy - AUBURN,open,333 S COLLEGE ST,Auburn,,Alabama,AL,36830,US,32.6004,-85.4814,America/Chicago,,,334-466-8200,01,01081,01081040300,010810403003003,12220,194,ceo,census
17862,,https://www.cvs.com/store-locator/auburn-al-pharmacies/129-n-college-st-auburn-al-36830/storeid=17862,CVS Pharmacy - AUBURN,open,129 N. COLLEGE ST,Auburn,,Alabama,AL,36830,US,32.6076,-85.482,America/Chicago,,,334-539-6437,01,01081,01081040802,010810408021003,12220,194,ceo,census
4873,,https://www.cvs.com/store-locator/birmingham-al-pharmacies/1431-11th-avenue-so-birmingham-al-35205/storeid=4873,CVS Pharmacy - BIRMINGHAM,open,1431 11TH AVENUE SO.,Birmingham,,Alabama,AL,35205,US,33.4967,-86.8038,America/Chicago,,,205-933-8374,01,01073,01073004902,010730049022009,13820,142,ceo,fcc
4825,,https://www.cvs.com/store-locator/birmingham-al-pharmacies/220-gadsden-highway-birmingham-al-35235/storeid=4825,CVS Pharmacy - BIRMINGHAM,open,220 GADSDEN HIGHWAY,Birmingham,,Alabama,AL,35235,US,33.5894,-86.6967,America/Chicago,,,205-836-8344,01,01073,01073005903,010730059032024,13820,142,ceo,census
4898,,https://www.cvs.com/store-locator/birmingham-al-pharmacies/2250-bessemer-road-birmingham-al-35208/storeid=4898,CVS Pharmacy - BIRMINGHAM,open,2250 BESSEMER ROAD,Birmingham,,Alabama,AL,35208,US,33.4972,-86.8766,America/Chicago,,,205-787-4608,01,01073,01073003100,010730031003062,13820,142,ceo,census
4864,,https://www.cvs.com/store-locator/birmingham-al-pharmacies/105-inverness-plaza-hwy-280-birmingham-al-35242/storeid=4864,CVS Pharmacy - BIRMINGHAM,open,105 INVERNESS PLAZA HWY 280,Birmingham,,Alabama,AL,35242,US,33.4194,-86.6956,America/Chicago,,,205-991-5201,01,01117,01117030347,011170303473049,13820,142,ceo,fcc
4936,,https://www.cvs.com/store-locator/birmingham-al-pharmacies/1675-montclair-rd-birmingham-al-35210/storeid=4936,CVS Pharmacy - BIRMINGHAM,open,1675 MONTCLAIR RD.,Birmingham,,Alabama,AL,35210,US,33.5263,-86.7188,America/Chicago,,,205-592-2424,01,01073,01073005600,010730056002004,13820,142,ceo,census
4948,,https://www.cvs.com/store-locator/birmingham-al-pharmacies/5705-chalkville-rd-birmingham-al-35235/storeid=4948,CVS Pharmacy - BIRMINGHAM,open,5705 CHALKVILLE RD.,Birmingham,,Alabama,AL,35235,US,33.6483,-86.6341,America/Chicago,,,205-854-8055,01,01073,01073011113,010730111132000,13820,142,ceo,fcc
16899,,https://www.cvs.com/store-locator/birmingham-al-pharmacies/1654-gadsden-hwy-birmingham-al-35235/storeid=16899,CVS Pharmacy - BIRMINGHAM,open,1654 GADSDEN HWY,Birmingham,,Alabama,AL,35235,US,33.6054,-86.6374,America/Chicago,,,205-655-2310,01,01073,01073011108,010730111081026,13820,142,ceo,census
16898,,https://www.cvs.com/store-locator/birmingham-al-pharmacies/4616-highway-280-birmingham-al-35242/storeid=16898,CVS Pharmacy - BIRMINGHAM,open,4616 HIGHWAY 280,Birmingham,,Alabama,AL,35242,US,33.4253,-86.7125,America/Chicago,,,205-991-6248,01,01117,01117030347,011170303471007,13820,142,ceo,census
17547,,https://www.cvs.com/store-locator/birmingham-al-pharmacies/5561-grove-blvd-birmingham-al-35226/storeid=17547,CVS Pharmacy - BIRMINGHAM,open,5561 GROVE BLVD,Birmingham,,Alabama,AL,35226,US,33.3618,-86.8532,America/Chicago,,,205-747-1655,01,01073,01073014414,010730144142005,13820,142,ceo,census
4830,,https://www.cvs.com/store-locator/bessemer-al-pharmacies/901-9th-avenue-n-bessemer-al-35020/storeid=4830,CVS Pharmacy - BESSEMER,open,901 9TH AVENUE,Bessemer,,Alabama,AL,35020,US,33.3952,-86.9694,America/Chicago,,,205-426-1664,01,01073,01073010200,010730102001074,13820,142,ceo,census
17439,,https://www.cvs.com/store-locator/bessemer-al-pharmacies/4889-promenade-pkwy-bessemer-al-35022/storeid=17439,CVS Pharmacy - BESSEMER,open,4889 PROMENADE PKWY,Bessemer,,Alabama,AL,35022,US,33.3346,-86.9897,America/Chicago,,,205-565-3761,01,01073,01073014105,010730141051037,13820,142,ceo,census
467,,https://www.cvs.com/store-locator/calera-al-pharmacies/8370-hwy-31-calera-al-35040/storeid=467,CVS Pharmacy - CALERA,open,8370 HWY 31,Calera,,Alabama,AL,35040,US,33.1012,-86.7534,America/Chicago,,,205-668-0588,01,01117,01117030504,011170305042034,13820,142,ceo,census
4863,,https://www.cvs.com/store-locator/centre-al-pharmacies/101-chestnut-bypass-centre-al-35960/storeid=4863,CVS Pharmacy - CENTRE,open,101 CHESTNUT BYPASS,Centre,,Alabama,AL,35960,US,34.1586,-85.6713,America/Chicago,,,256-927-4346,01,01019,01019956000,010199560003037,,,ceo,fcc
4973,,https://www.cvs.com/store-locator/camden-al-pharmacies/7-camden-bypass-camden-al-36726/storeid=4973,CVS Pharmacy - CAMDEN,open,7 CAMDEN BYPASS,Camden,,Alabama,AL,36726,US,31.9957,-87.2793,America/Chicago,,,334-682-2900,01,01131,01131034802,011310348024028,,,ceo,census
4897,,https://www.cvs.com/store-locator/centreville-al-pharmacies/155-birmingham-road-suite-114-centreville-al-35042/storeid=4897,CVS Pharmacy - CENTREVILLE,open,155 BIRMINGHAM ROAD SUITE 114,Centreville,,Alabama,AL,35042,US,32.9474,-87.1451,America/Chicago,,,205-926-4654,01,01007,01007010010,010070100101050,13820,142,ceo,census
4893,,https://www.cvs.com/store-locator/clanton-al-pharmacies/1105-7th-st-north-clanton-al-35045/storeid=4893,CVS Pharmacy - CLANTON,open,1105 7TH ST.,Clanton,,Alabama,AL,35045,US,32.8491,-86.6344,America/Chicago,,,205-755-4336,01,01021,01021060104,010210601042019,13820,142,ceo,census
4861,,https://www.cvs.com/store-locator/childersburg-al-pharmacies/32815-us-hwy-280-childersburg-al-35044/storeid=4861,CVS Pharmacy - CHILDERSBURG,open,32815 US HWY 280,Childersburg,,Alabama,AL,35044,US,33.2763,-86.3579,America/Chicago,,,256-378-5534,01,01121,01121011301,011210113012025,45180,142,ceo,census
4866,,https://www.cvs.com/store-locator/columbiana-al-pharmacies/227-west-college-st-columbiana-al-35051/storeid=4866,CVS Pharmacy - COLUMBIANA,open,227 WEST COLLEGE ST.,Columbiana,,Alabama,AL,35051,US,33.1792,-86.6147,America/Chicago,,,205-669-3153,01,01117,01117030703,011170307031003,13820,142,ceo,census
7668,,https://www.cvs.com/store-locator/citronelle-al-pharmacies/19215-north-3rd-st-citronelle-al-36522/storeid=7668,CVS Pharmacy - CITRONELLE,open,19215 NORTH 3RD ST.,Citronelle,,Alabama,AL,36522,US,31.0922,-88.2386,America/Chicago,,,251-866-9605,01,01097,01097006000,010970060003069,33660,380,ceo,census
4959,,https://www.cvs.com/store-locator/daphne-al-pharmacies/27040-hwy-98-daphne-al-36526/storeid=4959,CVS Pharmacy - DAPHNE,open,27040 HWY 98,Daphne,,Alabama,AL,36526,US,30.6189,-87.9045,America/Chicago,,,251-621-9096,01,01003,01003010710,010030107101006,19300,380,ceo,census
16621,,https://www.cvs.com/store-locator/daphne-al-pharmacies/1698-us-highway-98-daphne-al-36526/storeid=16621,CVS Pharmacy - DAPHNE,open,1698 US HIGHWAY 98,Daphne,,Alabama,AL,36526,US,30.6029,-87.896,America/Chicago,,,251-626-5739,01,01003,01003010800,010030108001024,19300,380,ceo,census
4902,,https://www.cvs.com/store-locator/cullman-al-pharmacies/610-2nd-avenue-nw-cullman-al-35055/storeid=4902,CVS Pharmacy - CULLMAN,open,610 2ND AVENUE NW,Cullman,,Alabama,AL,35055,US,34.1822,-86.8472,America/Chicago,,,256-739-4601,01,01043,01043964800,010439648002003,18980,142,ceo,census
10416,,https://www.cvs.com/store-locator/cullman-al-pharmacies/1906-cherokee-ave-sw-cullman-al-35055/storeid=10416,CVS Pharmacy - CULLMAN,open,1906 CHEROKEE AVE SW,Cullman,,Alabama,AL,35055,US,34.1507,-86.8446,America/Chicago,,,256-775-8778,01,01043,01043965002,010439650022024,18980,142,ceo,fcc
4878,,https://www.cvs.com/store-locator/dothan-al-pharmacies/1955-e-main-street-dothan-al-36301/storeid=4878,CVS Pharmacy - DOTHAN,open,1955 E MAIN STREET,Dothan,,Alabama,AL,36301,US,31.2172,-85.3618,America/Chicago,,,334-794-7798,01,01069,01069041400,010690414002010,20020,222,ceo,census
7179,,https://www.cvs.com/store-locator/dothan-al-pharmacies/5730-w-main-st-dothan-al-36305/storeid=7179,CVS Pharmacy - DOTHAN,open,5730 W. MAIN ST.,Dothan,,Alabama,AL,36305,US,31.2408,-85.4802,America/Chicago,,,334-673-2850,01,01069,01069040203,010690402031030,20020,222,ceo,fcc
16800,,https://www.cvs.com/store-locator/dothan-al-pharmacies/4601-montgomery-hwy-ste-300-dothan-al-36303/storeid=16800,CVS Pharmacy - DOTHAN,open,4601 MONTGOMERY HWY STE 300,Dothan,,Alabama,AL,36303,US,31.2659,-85.4463,America/Chicago,,,334-340-1113,01,01069,01069040204,010690402041001,20020,222,ceo,census
4844,,https://www.cvs.com/store-locator/decatur-al-pharmacies/812-beltline-rd-decatur-al-35601/storeid=4844,CVS Pharmacy - DECATUR,open,812 BELTLINE RD,Decatur,,Alabama,AL,35601,US,34.5608,-86.9996,America/Chicago,,,256-355-8465,01,01103,01103000900,011030009003010,19460,290,ceo,fcc
17172,,https://www.cvs.com/store-locator/decatur-al-pharmacies/1235-point-mallard-parkway-se-decatur-al-35601/storeid=17172,CVS Pharmacy - DECATUR,open,1235 POINT MALLARD PARKWAY SE,Decatur,,Alabama,AL,35601,US,34.5586,-86.9704,America/Chicago,,,256-898-3037,01,01103,01103005109,011030051093002,19460,290,ceo,census
10076,,https://www.cvs.com/store-locator/enterprise-al-pharmacies/850-boll-weevil-circle-enterprise-al-36330/storeid=10076,CVS Pharmacy - ENTERPRISE,open,850 BOLL WEEVIL CIRCLE,Enterprise,,Alabama,AL,36330,US,31.3291,-85.8374,America/Chicago,,,334-347-9949,01,01031,01031011203,010310112031002,21460,222,ceo,census
4847,,https://www.cvs.com/store-locator/evergreen-al-pharmacies/210-w-front-st-evergreen-al-36401/storeid=4847,CVS Pharmacy - EVERGREEN,open,210 W FRONT ST,Evergreen,,Alabama,AL,36401,US,31.4325,-86.9573,America/Chicago,,,251-578-1811,01,01035,01035960500,010359605002020,,,ceo,fcc
4817,,https://www.cvs.com/store-locator/florence-al-pharmacies/1501-florence-blvd-florence-al-35630/storeid=4817,CVS Pharmacy - FLORENCE,open,1501 FLORENCE BLVD,Florence,,Alabama,AL,35630,US,34.8207,-87.6558,America/Chicago,,,256-767-0520,01,01077,01077010901,010770109013010,22520,250,ceo,census
4925,,https://www.cvs.com/store-locator/florence-al-pharmacies/1002-cox-creek-pkwy-florence-al-35633/storeid=4925,CVS Pharmacy - FLORENCE,open,1002 COX CREEK PKWY.,Florence,,Alabama,AL,35633,US,34.8402,-87.6888,America/Chicago,,,256-766-2125,01,01077,01077011101,010770111014010,22520,250,ceo,census
