store_number,slug,url,location_name,status,address_line1,city,county,state,region,postal_code,country_code,latitude,longitude,time_zone,format,total_building_area_sqft,main_voice_phone_number,state_fips,county_fips,tract_fips,block_fips,cbsa_fips,csa_fips,coord_source,fips_source
al-alabaster-300-colonial-promenade-pkwy-ste-1100,,https://locations.dollartree.com/al/alabaster/300-colonial-promenade-pkwy-ste-1100,Dollar Treeat Colonial Promenade,open,300 Colonial Promenade Pkwy Ste. 1100,Alabaster,,Alabama,AL,35007,US,33.2342,-86.8025,America/Chicago,,,659-258-9060,01,01117,01117030616,011170306162006,13820,142,ceo,census
al-atmore-120-lindberg-ave,,https://locations.dollartree.com/al/atmore/120-lindberg-ave,Dollar Treeat Adams Plaza,open,120 Lindberg Ave.,Atmore,,Alabama,AL,36502,US,31.0047,-87.491,America/Chicago,,,659-265-4615,01,01053,01053970700,010539707001076,,,ceo,census
al-attalla-952-gilberts-ferry-rd-se,,https://locations.dollartree.com/al/attalla/952-gilberts-ferry-rd-se,Dollar Treeat Etowah Crossing,open,952 Gilberts Ferry Rd SE,Attalla,,Alabama,AL,35954,US,33.9973,-86.094,America/Chicago,,,251-236-4123,01,01055,01055010201,010550102013038,23460,,ceo,census
al-albertville-7661-highway-431-ste-300,,https://locations.dollartree.com/al/albertville/7661-highway-431-ste-300,Dollar Treeat Albertville BTS,open,7661 Highway 431 Ste 300,Albertville,,Alabama,AL,35950,US,34.2785,-86.2122,America/Chicago,,,205-396-2730,01,01095,01095030801,010950308013026,10700,290,ceo,census
al-athens-17231-us-hwy-72,,https://locations.dollartree.com/al/athens/17231-us-hwy-72,Dollar Treeat US Highway 72,open,17231 US Hwy 72,Athens,,Alabama,AL,35611,US,34.7916,-87.0139,America/Chicago,,,256-444-6029,01,01083,01083020402,010830204023023,26620,290,ceo,fcc
al-andalusia-1138-dr-mlk-jr-expy,,https://locations.dollartree.com/al/andalusia/1138-dr-mlk-jr-expy,Dollar Treeat Three Notch Plaza,open,1138 Dr MLK Jr Expy,Andalusia,,Alabama,AL,36420,US,31.3184,-86.4636,America/Chicago,,,334-504-6167,01,01039,01039962000,010399620003002,,,ceo,census
al-aliceville-105-memorial-parkway-nw,,https://locations.dollartree.com/al/aliceville/105-memorial-parkway-nw,Dollar Treeat Former Fred&39s,open,105 Memorial Parkway NW,Aliceville,,Alabama,AL,35442,US,33.1275,-88.1529,America/Chicago,,,205-779-0230,01,01107,01107050401,011070504013015,46220,,ceo,fcc
al-alexander-city-1003-market-place,,https://locations.dollartree.com/al/alexander-city/1003-market-place,Dollar Treeat The Marketplace,open,1003 Market Place,Alexander City,,Alabama,AL,35010,US,32.9213,-85.9605,America/Chicago,,,256-500-6034,01,01123,01123962302,011239623022033,10760,194,ceo,census
al-arab-1053-n-brindlee-mtn-pkwy,,https://locations.dollartree.com/al/arab/1053-n-brindlee-mtn-pkwy,Dollar Treeat 231 Plaza,open,1053 N Brindlee Mtn Pkwy,Arab,,Alabama,AL,35016,US,34.334,-86.5048,America/Chicago,,,256-262-3860,01,01095,01095030401,010950304013022,10700,290,ceo,fcc
al-anniston-2445-al-hwy-202,,https://locations.dollartree.com/al/anniston/2445-al-hwy-202,Dollar Treeat 2445 AL Highway 202,open,2445 AL HWY 202 .,Anniston,,Alabama,AL,36201,US,33.6472,-85.8632,America/Chicago,,,256-954-9630,01,01015,01015001300,010150013002042,11500,,ceo,fcc
al-andalusia-900-westgate-plaza,,https://locations.dollartree.com/al/andalusia/900-westgate-plaza,Dollar Treeat West Gate Plaza Shopping Center,open,900 Westgate Plaza,Andalusia,,Alabama,AL,36420,US,31.3077,-86.4995,America/Chicago,,,571-560-8378,01,01039,01039962100,010399621002005,,,ceo,fcc
al-athens-935-us-hwy-72-e-ste-l,,https://locations.dollartree.com/al/athens/935-us-hwy-72-e-ste-l,Dollar Treeat Athens Shoppes,open,935 US Hwy 72 E Ste L,Athens,,Alabama,AL,35611,US,34.7881,-86.9625,America/Chicago,,,256-991-0460,01,01083,01083020900,010830209002025,26620,290,ceo,census
al-anniston-5508-mcclellan-blvd,,https://locations.dollartree.com/al/anniston/5508-mcclellan-blvd,Dollar Treeat Food World Shopping Center,open,5508 McClellan Blvd.,Anniston,,Alabama,AL,36206,US,33.7176,-85.8187,America/Chicago,,,256-954-5065,01,01015,01015000700,010150007002012,11500,,ceo,census
al-auburn-1915-s-college-st,,https://locations.dollartree.com/al/auburn/1915-s-college-st,Dollar Treeat Auburn,open,1915 S College St.,Auburn,,Alabama,AL,36832,US,32.5702,-85.4993,America/Chicago,,,334-246-9545,01,01081,01081040401,010810404014001,12220,194,ceo,census
al-birmingham-5911-trussville-crossings-pkwy,,https://locations.dollartree.com/al/birmingham/5911-trussville-crossings-pkwy,Dollar Treeat Colonial Promenade,open,5911 Trussville Crossings Pkwy,Birmingham,,Alabama,AL,35235,US,33.6419,-86.629,America/Chicago,,,205-421-3622,01,01073,01073011113,010730111131002,13820,142,ceo,census
al-bay-minette-617-mcmeans-avenue,,https://locations.dollartree.com/al/bay-minette/617-mcmeans-avenue,Dollar Treeat Bay Market Shopping Center,open,617 McMeans Avenue,Bay Minette,,Alabama,AL,36507,US,30.8839,-87.7878,America/Chicago,,,251-571-4145,01,01003,01003010500,010030105001012,19300,380,ceo,census
al-bayou-la-batre-13306-n-wintzell-avenue,,https://locations.dollartree.com/al/bayou-la-batre/13306-n-wintzell-avenue,Dollar Treeat Northfield Mall,open,13306 N. Wintzell Avenue,Bayou La Batre,,Alabama,AL,36509,US,30.414,-88.2456,America/Chicago,,,251-973-8590,01,01097,01097007300,010970073004031,33660,380,ceo,census
