store_number,slug,url,location_name,status,address_line1,city,county,state,region,postal_code,country_code,latitude,longitude,time_zone,format,total_building_area_sqft,main_voice_phone_number,state_fips,county_fips,tract_fips,block_fips,cbsa_fips,csa_fips,coord_source,fips_source
362988,,https://locations.dunkindonuts.com/en/al/florence/1531-florence-blvd/362988,Dunkin',open,1531 Florence Blvd,Florence,,Alabama,AL,35630,US,34.8207,-87.6546,America/Chicago,,,256-960-9424,01,01077,01077010901,010770109013010,22520,250,ceo,census
356858,,https://locations.dunkindonuts.com/en/al/grand-bay/9201-grand-bay-wilmer-rd/356858,Dunkin',open,9201 Grand Bay Wilmer Rd,Grand Bay,,Alabama,AL,36541,US,30.4981,-88.3338,America/Chicago,,,251-865-0268,01,01097,01097006504,010970065042003,33660,380,ceo,census
363639,,https://locations.dunkindonuts.com/en/al/leeds/2111-moody-parkway/363639,Dunkin',open,2111 Moody Parkway,Leeds,,Alabama,AL,35094,US,33.5699,-86.521,America/Chicago,,,678-686-6303,01,01115,01115040104,011150401044020,13820,142,ceo,fcc
349273,,https://locations.dunkindonuts.com/en/al/bessemer/2178-eastern-valley-rd/349273,Dunkin',open,2178 Eastern Valley Rd,Bessemer,,Alabama,AL,35022,US,33.3352,-86.9958,America/Chicago,,,205-425-1333,01,01073,01073014105,010730141051030,13820,142,ceo,census
354273,,https://locations.dunkindonuts.com/en/al/athens/1700-us-highway-72-e/354273,Dunkin',open,1700 US Highway 72 E,Athens,,Alabama,AL,35611,US,34.7811,-86.9345,America/Chicago,,,256-960-9302,01,01083,01083020500,010830205001027,26620,290,ceo,census
350970,,https://locations.dunkindonuts.com/en/al/homewood/505-brookwood-blvd/350970,Dunkin',open,505 Brookwood Blvd,Homewood,,Alabama,AL,35209,US,33.4685,-86.7762,America/Chicago,,,205-803-3530,01,01073,01073012905,010730129053045,13820,142,ceo,census
364077,,https://locations.dunkindonuts.com/en/al/meridianville/11839-u.s.-231/364077,Dunkin',open,11839 U.S. 231,Meridianville,,Alabama,AL,35759,US,34.8569,-86.572,America/Chicago,,,256-590-1387,01,01089,01089010704,010890107042007,26620,290,ceo,census
362905,,https://locations.dunkindonuts.com/en/al/helena/2536-helena-rd/362905,Dunkin',open,2536 Helena Rd,Helena,,Alabama,AL,35080,US,33.2824,-86.8514,America/Chicago,,,205-580-1961,01,01117,01117030317,011170303171000,13820,142,ceo,census
347195,,https://locations.dunkindonuts.com/en/al/cottondale/3201-buttermilk-rd/347195,Dunkin',open,3201 Buttermilk Rd,Cottondale,,Alabama,AL,35453,US,33.1789,-87.447,America/Chicago,,,205-633-2155,01,01125,01125010802,011250108023006,46220,,ceo,census
363782,,https://locations.dunkindonuts.com/en/al/jasper/2315-highway-78-e/363782,Dunkin',open,2315 Highway 78 E,Jasper,,Alabama,AL,35501,US,33.8432,-87.2471,America/Chicago,,,205-265-2545,01,01127,01127020301,011270203011002,13820,142,ceo,fcc
362770,,https://locations.dunkindonuts.com/en/al/hoover/5413-us-280/362770,Dunkin',open,5413 US 280,Hoover,,Alabama,AL,35242,US,33.4163,-86.6665,America/Chicago,,,205-580-1959,01,01117,01117030216,011170302161015,13820,142,ceo,fcc
359681,,https://locations.dunkindonuts.com/en/al/albertville/8171-us-highway-431/359681,Dunkin',open,8171 US Highway 431,Albertville,,Alabama,AL,35950,US,34.2812,-86.22,America/Chicago,,,256-869-6075,01,01095,01095030903,010950309033023,10700,290,ceo,census
354848,,https://locations.dunkindonuts.com/en/al/decatur/1024-6th-ave-se/354848,Dunkin',open,1024 6th Ave SE,Decatur,,Alabama,AL,35601,US,34.5914,-86.9799,America/Chicago,,,256-960-9349,01,01103,01103000400,011030004002018,19460,290,ceo,census
364210,,https://locations.dunkindonuts.com/en/al/fort-payne/901-glenn-boulevard-southwest/364210,Dunkin',open,901 Glenn Boulevard Southwest,Fort Payne,,Alabama,AL,35967,US,34.437,-85.7439,America/Chicago,,,256-513-5980,01,01049,01049961100,010499611001000,22840,290,ceo,fcc
362987,,https://locations.dunkindonuts.com/en/al/hampton-cove/6511-highway-431-s/362987,Dunkin',open,6511 Highway 431 S,Hampton Cove,,Alabama,AL,35763,US,34.6636,-86.4847,America/Chicago,,,256-924-2470,01,01089,01089010905,010890109053077,26620,290,ceo,fcc
355292,,https://locations.dunkindonuts.com/en/al/hanceville/426-al-highway-69-s/355292,Dunkin',open,426 AL Highway 69 S,Hanceville,,Alabama,AL,35077,US,34.0507,-86.8726,America/Chicago,,,256-287-1299,01,01043,01043965402,010439654021011,18980,142,ceo,census
358766,,https://locations.dunkindonuts.com/en/al/alabaster/1114-1st-st-n/358766,Dunkin',open,1114 1st St N,Alabaster,,Alabama,AL,35007,US,33.2565,-86.8128,America/Chicago,,,205-624-4880,01,01117,01117030319,011170303191008,13820,142,ceo,census
364351,,https://locations.dunkindonuts.com/en/al/gardendale/626-kerr-rd/364351,Dunkin',open,626 Kerr Rd,Gardendale,,Alabama,AL,35071,US,33.6535,-86.8243,America/Chicago,,,205-580-1963,01,01073,01073011707,010730117072026,13820,142,ceo,census
356432,,https://locations.dunkindonuts.com/en/al/enterprise/906-boll-weevil-circle/356432,Dunkin',open,906 Boll Weevil Circle,Enterprise,,Alabama,AL,36330,US,31.3303,-85.8397,America/Chicago,,,334-433-9806,01,01031,01031011203,010310112031002,21460,222,ceo,census
364079,,https://locations.dunkindonuts.com/en/al/jacksonville/602-pelham-road-south/364079,Dunkin',open,602 Pelham Road South,Jacksonville,,Alabama,AL,36265,US,33.8101,-85.7606,America/Chicago,,,760-230-8838,01,01015,01015002105,010150021052005,11500,,ceo,census
358638,,https://locations.dunkindonuts.com/en/al/prattville/2020-cobbs-ford-rd/358638,Dunkin',open,2020 Cobbs Ford Rd,Prattville,,Alabama,AL,36066,US,32.4594,-86.4124,America/Chicago,,,334-380-3889,01,01001,01001020501,010010205011000,33860,388,ceo,fcc
357154,,https://locations.dunkindonuts.com/en/al/muscle-shoals/1609-woodward-ave/357154,Dunkin',open,1609 Woodward Ave,Muscle Shoals,,Alabama,AL,35661,US,34.7462,-87.6673,America/Chicago,,,256-960-9414,01,01033,01033020704,010330207044052,22520,250,ceo,census
350246,,https://locations.dunkindonuts.com/en/al/birmingham/1820-gadsden-hwy/350246,Dunkin',open,1820 Gadsden Hwy,Birmingham,,Alabama,AL,35235,US,33.6074,-86.6311,America/Chicago,,,205-508-3638,01,01073,01073011108,010730111081005,13820,142,ceo,census
356761,,https://locations.dunkindonuts.com/en/al/troy/100-troy-plaza-loop/356761,Dunkin',open,100 Troy Plaza Loop,Troy,,Alabama,AL,36081,US,31.7828,-85.952,America/Chicago,,,334-808-1353,01,01109,01109189102,011091891022024,45980,,ceo,census
364710,,https://locations.dunkindonuts.com/en/al/scottsboro/24605-john-t-reid-parkway/364710,Dunkin',open,24605 John T Reid Parkway,Scottsboro,,Alabama,AL,35768,US,34.6678,-86.0103,America/Chicago,,,,01,01071,01071950901,010719509012006,42460,174,ceo,census
365164,,https://locations.dunkindonuts.com/en/al/northport/2801-mcfarland-boulevard/365164,Dunkin',open,2801 McFarland Boulevard,Northport,,Alabama,AL,35476,US,33.2406,-87.5841,America/Chicago,,,205-552-5986,01,01125,01125010403,011250104033005,46220,,ceo,census
351005,,https://locations.dunkindonuts.com/en/al/auburn/2049-s-college-st/351005,Dunkin',open,2049 S College St,Auburn,,Alabama,AL,36832,US,32.5659,-85.5016,America/Chicago,,,334-501-2233,01,01081,01081040401,010810404014003,12220,194,ceo,census
348712,,https://locations.dunkindonuts.com/en/al/pelham/480-cahaba-valley-rd/348712,Dunkin',open,480 Cahaba Valley Rd,Pelham,,Alabama,AL,35124,US,33.3345,-86.7843,America/Chicago,,,205-988-3664,01,01117,01117030315,011170303153004,13820,142,ceo,census
355057,,https://locations.dunkindonuts.com/en/al/wetumpka/5267-us-highway-231/355057,Dunkin',open,5267 US Highway 231,Wetumpka,,Alabama,AL,36092,US,32.5177,-86.2123,America/Chicago,,,334-478-4148,01,01051,01051030801,010510308011043,33860,388,ceo,census
356431,,https://locations.dunkindonuts.com/en/al/valley/2804-20th-ave/356431,Dunkin',open,2804 20th Ave,Valley,,Alabama,AL,36854,US,32.8466,-85.1837,America/Chicago,,,334-528-0201,01,01017,01017954700,010179547002059,29300,122,ceo,census
351255,,https://locations.dunkindonuts.com/en/al/warrior/313-cane-creek-rd/351255,Dunkin',open,313 Cane Creek Rd,Warrior,,Alabama,AL,35180,US,33.8113,-86.8237,America/Chicago,,,205-543-6003,01,01073,01073011401,010730114011022,13820,142,ceo,census
359341,,https://locations.dunkindonuts.com/en/al/auburn/171-n-college-st/359341,Dunkin',open,171 N College St,Auburn,,Alabama,AL,36830,US,32.6086,-85.4819,America/Chicago,,,334-707-8552,01,01081,01081040802,010810408021003,12220,194,ceo,census
354903,,https://locations.dunkindonuts.com/en/al/opelika/2103-pepperell-parkway/354903,Dunkin',open,2103 Pepperell Parkway,Opelika,,Alabama,AL,36801,US,32.6376,-85.409,America/Chicago,,,334-610-0642,01,01081,01081041104,010810411041027,12220,194,ceo,census
364211,,https://locations.dunkindonuts.com/en/al/rainbow-city/3352-rainbow-drive/364211,Dunkin',open,3352 Rainbow Drive,Rainbow City,,Alabama,AL,35906,US,33.9572,-86.0385,America/Chicago,,,256-850-2271,01,01055,01055001100,010550011003029,23460,,ceo,census
