store_number,slug,url,location_name,status,address_line1,city,county,state,region,postal_code,country_code,latitude,longitude,time_zone,format,total_building_area_sqft,main_voice_phone_number,state_fips,county_fips,tract_fips,block_fips,cbsa_fips,csa_fips,coord_source,fips_source
35-memorial-pky-e,,https://locations.familydollar.com/al/aliceville/35-memorial-pky-e,Family Dollar,open,35 Memorial Pky E,Aliceville,,Alabama,AL,35442,US,33.1275,-88.1514,America/Chicago,,,205-779-1346,01,01107,01107050401,011070504013017,46220,,ceo,census
214-kirkland-street,,https://locations.familydollar.com/al/abbeville/214-kirkland-street,Family Dollar,open,214 Kirkland Street,Abbeville,,Alabama,AL,36310,US,31.5676,-85.2512,America/Chicago,,,334-223-4498,01,01067,01067030200,010670302003002,20020,222,ceo,census
35360-us-highway-231,,https://locations.familydollar.com/al/ashville/35360-us-highway-231,Family Dollar,open,35360 Us Highway 231,Ashville,,Alabama,AL,35953,US,33.8407,-86.2631,America/Chicago,,,205-208-1376,01,01115,01115040401,011150404014035,13820,142,ceo,census
7198-al-highway-207,,https://locations.familydollar.com/al/anderson/7198-al-highway-207,Family Dollar,open,7198 Al Highway 207,Anderson,,Alabama,AL,35610,US,34.9239,-87.2689,America/Chicago,,,256-802-0131,01,01077,01077011801,010770118013027,22520,250,ceo,census
1718-quintard-ave,,https://locations.familydollar.com/al/anniston/1718-quintard-ave,Family Dollar,open,1718 Quintard Ave,Anniston,,Alabama,AL,36201,US,33.6672,-85.8281,America/Chicago,,,256-954-5664,01,01015,01015000300,010150003001059,11500,,ceo,census
3200-main-st,,https://locations.familydollar.com/al/altoona/3200-main-st,Family Dollar,open,3200 Main St.,Altoona,,Alabama,AL,35952,US,34.029,-86.3202,America/Chicago,,,337-888-8252,01,01055,01055011100,010550111003077,23460,,ceo,fcc
73-n-broadway-street,,https://locations.familydollar.com/al/ashford/73-n-broadway-street,Family Dollar,open,73 N Broadway Street,Ashford,,Alabama,AL,36312,US,31.1779,-85.2384,America/Chicago,,,251-206-5576,01,01069,01069041902,010690419021007,20020,222,ceo,census
25332-straughn-school-road,,https://locations.familydollar.com/al/andalusia/25332-straughn-school-road,Family Dollar,open,25332 Straughn School Road,Andalusia,,Alabama,AL,36421,US,31.3589,-86.4682,America/Chicago,,,251-272-7426,01,01039,01039962000,010399620002001,,,ceo,fcc
315-sand-mountain-dr-e,,https://locations.familydollar.com/al/albertville/315-sand-mountain-dr-e,Family Dollar,open,315 Sand Mountain Dr E,Albertville,,Alabama,AL,35950,US,34.2689,-86.2079,America/Chicago,,,256-907-0681,01,01095,01095030903,010950309031045,10700,290,ceo,census
6201-us-highway-431,,https://locations.familydollar.com/al/alexandria/6201-us-highway-431,Family Dollar,open,6201 Us Highway 431,Alexandria,,Alabama,AL,36250,US,33.7619,-85.8918,America/Chicago,,,256-343-0951,01,01015,01015002504,010150025043027,11500,,ceo,census
500-e-church-st,,https://locations.familydollar.com/al/atmore/500-e-church-st,Family Dollar,open,500 E Church St,Atmore,,Alabama,AL,36502,US,31.0226,-87.4882,America/Chicago,,,251-321-9259,01,01053,01053970700,010539707002032,,,ceo,census
2020-center-point-parkway,,https://locations.familydollar.com/al/center-point/2020-center-point-parkway,Family Dollar,open,2020 Center Point Parkway,Center Point,,Alabama,AL,35215,US,33.6398,-86.6843,America/Chicago,,,659-674-9915,01,01073,01073011804,010730118042022,13820,142,ceo,census
15704-al-highway-216,,https://locations.familydollar.com/al/brookwood/15704-al-highway-216,Family Dollar,open,15704 Al Highway 216,Brookwood,,Alabama,AL,35444,US,33.2549,-87.3289,America/Chicago,,,659-215-5942,01,01125,01125010601,011250106014028,46220,,ceo,census
302-w-pushmataha-st,,https://locations.familydollar.com/al/butler/302-w-pushmataha-st,Family Dollar,open,302 W Pushmataha St,Butler,,Alabama,AL,36904,US,32.0898,-88.2238,America/Chicago,,,205-462-8534,01,01023,01023956800,010239568003002,,,ceo,census
