store_number,slug,url,location_name,status,address_line1,city,county,state,region,postal_code,country_code,latitude,longitude,time_zone,format,total_building_area_sqft,main_voice_phone_number,state_fips,county_fips,tract_fips,block_fips,cbsa_fips,csa_fips,coord_source,fips_source
801,,https://www.homedepot.com/l/West-Mobile/AL/Mobile/36695/801,West Mobile#801,open,755 Schillinger Rd S,Mobile,,Alabama,AL,36695,US,30.675,-88.2236,America/Chicago,,,251-634-0351,01,01097,01097006411,010970064111005,33660,380,ceo,census
802,,https://www.homedepot.com/l/Foley/AL/Foley/36535/802,Foley#802,open,2899 S Mckenzie St,Foley,,Alabama,AL,36535,US,30.3722,-87.6803,America/Chicago,,,251-955-2401,01,01003,01003011503,010030115033026,19300,380,ceo,census
803,,https://www.homedepot.com/l/West-Huntsville/AL/Madison/35757/803,West Huntsville#803,open,4045 Lawson Ridge Dr,Madison,,Alabama,AL,35757,US,34.7573,-86.7393,America/Chicago,,,256-837-6658,01,01089,01089010612,010890106123029,26620,290,ceo,census
804,,https://www.homedepot.com/l/North-Huntsville/AL/Huntsville/35801/804,North Huntsville#804,open,1035 Memorial Pkwy Nw,Huntsville,,Alabama,AL,35801,US,34.7415,-86.603,America/Chicago,,,256-536-2216,01,01089,01089000702,010890007022023,26620,290,ceo,fcc
805,,https://www.homedepot.com/l/Pelham/AL/Pelham/35124/805,Pelham#805,open,3191 Pelham Pkwy,Pelham,,Alabama,AL,35124,US,33.284,-86.8088,America/Chicago,,,205-685-1837,01,01117,01117030315,011170303153052,13820,142,ceo,census
806,,https://www.homedepot.com/l/Prattville/AL/Prattville/36066/806,Prattville#806,open,2710 Legends Parkway,Prattville,,Alabama,AL,36066,US,32.4571,-86.3999,America/Chicago,,,334-285-1693,01,01051,01051031300,010510313001019,33860,388,ceo,census
808,,https://www.homedepot.com/l/Dothan/AL/Dothan/36303/808,Dothan#808,open,3489 Ross Clark Cir,Dothan,,Alabama,AL,36303,US,31.2486,-85.4286,America/Chicago,,,334-677-2790,01,01069,01069040204,010690402042022,20020,222,ceo,census
809,,https://www.homedepot.com/l/Sylacauga/AL/Sylacauga/35150/809,Sylacauga#809,open,41310 Us Hwy 280,Sylacauga,,Alabama,AL,35150,US,33.172,-86.2885,America/Chicago,,,256-245-4953,01,01121,01121011900,011210119001034,45180,142,ceo,census
810,,https://www.homedepot.com/l/Jasper/AL/Jasper/35501/810,Jasper#810,open,1808 Hwy 78 E,Jasper,,Alabama,AL,35501,US,33.8451,-87.2537,America/Chicago,,,205-221-0367,01,01127,01127020301,011270203012034,13820,142,ceo,census
812,,https://www.homedepot.com/l/Scottsboro/AL/Scottsboro/35768/812,Scottsboro#812,open,24635 John T Reid Pkwy,Scottsboro,,Alabama,AL,35768,US,34.6646,-86.01,America/Chicago,,,256-575-2100,01,01071,01071950901,010719509012006,42460,174,ceo,census
813,,https://www.homedepot.com/l/East-Montgomery/AL/Montgomery/36117/813,East Montgomery#813,open,10655 Chantilly Pkwy,Montgomery,,Alabama,AL,36117,US,32.3582,-86.1314,America/Chicago,,,334-260-8702,01,01101,01101005503,011010055033042,33860,388,ceo,census
816,,https://www.homedepot.com/l/Auburn-Opelika/AL/Opelika/36801/816,Auburn (Opelika)#816,open,2190 Tigertown Parkway,Opelika,,Alabama,AL,36801,US,32.6198,-85.4063,America/Chicago,,,334-737-0136,01,01081,01081041101,010810411011023,12220,194,ceo,fcc
817,,https://www.homedepot.com/l/Phenix-City/AL/Phenix-City/36867/817,Phenix City#817,open,3784 Us Highway 431 N,Phenix City,,Alabama,AL,36867,US,32.5062,-85.0523,America/Chicago,,,334-297-2045,01,01113,01113030402,011130304021035,17980,194,ceo,census
818,,https://www.homedepot.com/l/Pell-City/AL/Pell-City/35125/818,Pell City#818,open,289 Vaughan Lane,Pell City,,Alabama,AL,35125,US,33.6087,-86.2793,America/Chicago,,,205-338-1070,01,01115,01115040207,011150402071055,13820,142,ceo,census
863,,https://www.homedepot.com/l/Daphne/AL/Daphne/36526/863,Daphne#863,open,7100 Hwy 90,Daphne,,Alabama,AL,36526,US,30.6536,-87.9014,America/Chicago,,,251-625-0890,01,01003,01003010704,010030107041009,19300,380,ceo,census
865,,https://www.homedepot.com/l/Mobile/AL/Mobile/36609/865,Mobile#865,open,851 Montlimar Dr,Mobile,,Alabama,AL,36609,US,30.6731,-88.1337,America/Chicago,,,251-380-0017,01,01097,01097003206,010970032061018,33660,380,ceo,fcc
866,,https://www.homedepot.com/l/Oxford/AL/Oxford/36203/866,Oxford#866,open,350 Crystal Water Drive,Oxford,,Alabama,AL,36203,US,33.6054,-85.7844,America/Chicago,,,256-832-2279,01,01015,01015001101,010150011012009,11500,,ceo,census
875,,https://www.homedepot.com/l/Inverness/AL/Birmingham/35242/875,Inverness#875,open,4995 Highway 280,Birmingham,,Alabama,AL,35242,US,33.4224,-86.6951,America/Chicago,,,205-995-9357,01,01073,01073012910,010730129102009,13820,142,ceo,census
877,,https://www.homedepot.com/l/Tuscaloosa/AL/Tuscaloosa/35404/877,Tuscaloosa#877,open,1601 13th Ave East,Tuscaloosa,,Alabama,AL,35404,US,33.1957,-87.5181,America/Chicago,,,205-633-2038,01,01125,01125012101,011250121012016,46220,,ceo,fcc
880,,https://www.homedepot.com/l/Eastwood/AL/Birmingham/35210/880,Eastwood#880,open,7001 Crestwood Blvd,Birmingham,,Alabama,AL,35210,US,33.5286,-86.7303,America/Chicago,,,205-595-7780,01,01073,01073005600,010730056004000,13820,142,ceo,census
881,,https://www.homedepot.com/l/Hoover/AL/Birmingham/35244/881,Hoover#881,open,3670 Galleria Circle,Birmingham,,Alabama,AL,35244,US,33.376,-86.8115,America/Chicago,,,205-988-8141,01,01073,01073014408,010730144082010,13820,142,ceo,census
882,,https://www.homedepot.com/l/Fairfield/AL/Fairfield/35064/882,Fairfield#882,open,6405 Flintridge Dr,Fairfield,,Alabama,AL,35064,US,33.478,-86.9206,America/Chicago,,,205-781-0110,01,01073,01073010604,010730106042001,13820,142,ceo,fcc
883,,https://www.homedepot.com/l/Montgomery/AL/Montgomery/36117/883,Montgomery#883,open,2312 Eastern Blvd,Montgomery,,Alabama,AL,36117,US,32.3511,-86.2232,America/Chicago,,,334-272-8552,01,01101,01101003304,011010033043001,33860,388,ceo,census
884,,https://www.homedepot.com/l/Decatur/AL/Decatur/35603/884,Decatur#884,open,1225 Wimberly Dr Sw,Decatur,,Alabama,AL,35603,US,34.5574,-87.0058,America/Chicago,,,256-353-2031,01,01103,01103005108,011030051083002,19460,290,ceo,fcc
887,,https://www.homedepot.com/l/Trussville/AL/Trussville/35173/887,Trussville#887,open,1600 Gadsden Hwy,Trussville,,Alabama,AL,35173,US,33.602,-86.6423,America/Chicago,,,205-661-9415,01,01073,01073011108,010730111081026,13820,142,ceo,census
888,,https://www.homedepot.com/l/South-Huntsville/AL/Huntsville/35803/888,South Huntsville#888,open,10012 Memorial Pkwy Sw,Huntsville,,Alabama,AL,35803,US,34.6463,-86.5671,America/Chicago,,,256-881-8270,01,01089,01089002801,010890028012011,26620,290,ceo,census
6889,,https://www.homedepot.com/l/Alexander-City/AL/Alexander-City/35010/6889,Alexander City#6889,open,1460 Hwy 280,Alexander City,,Alabama,AL,35010,US,32.9509,-85.9913,America/Chicago,,,256-234-6399,01,01123,01123962100,011239621002001,10760,194,ceo,census
8577,,https://www.homedepot.com/l/Florence/AL/Florence/35630/8577,Florence#8577,open,351 Seville St,Florence,,Alabama,AL,35630,US,34.8389,-87.6293,America/Chicago,,,256-764-5037,01,01077,01077010901,010770109012005,22520,250,ceo,fcc
1301,,https://www.homedepot.com/l/Anchorage/AK/Anchorage/99503/1301,Anchorage#1301,open,515 E Tudor Rd,Anchorage,,Alaska,AK,99503,US,61.1827,-149.8736,America/Anchorage,,,907-563-9800,02,02020,02020001900,020200019004027,11260,,ceo,census
1302,,https://www.homedepot.com/l/NE-Anchorage/AK/Anchorage/99508/1302,NE Anchorage#1302,open,400 Rodeo Place,Anchorage,,Alaska,AK,99508,US,61.2182,-149.8141,America/Anchorage,,,907-276-2006,02,02020,02020000901,020200009012006,11260,,ceo,census
