store_number,slug,url,location_name,status,address_line1,city,county,state,region,postal_code,country_code,latitude,longitude,time_zone,format,total_building_area_sqft,main_voice_phone_number,state_fips,county_fips,tract_fips,block_fips,cbsa_fips,csa_fips,coord_source,fips_source
7582,,,Urbandale Fast & Fresh #3,open,12905 Meredith Drive,Urbandale,,Iowa,IA,50323,US,41.6444,-93.7961,America/Chicago,,,515-705-0755,19,19153,19153011303,191530113032044,19780,218,ceo,census
7538,,,Grimes Fast & Fresh #2,open,1701 SE 37th Street,Grimes,,Iowa,IA,50111,US,41.6591,-93.7764,America/Chicago,,,515-705-0753,19,19153,19153011303,191530113032011,19780,218,ceo,fcc
7583,,,Urbandale Fast & Fresh #4,open,14200 Douglas Parkway,Urbandale,,Iowa,IA,50323,US,41.6292,-93.8144,America/Chicago,,,515-705-0760,19,19153,19153011304,191530113042015,19780,218,ceo,census
7584,,,Urbandale Fast & Fresh #5,open,15501 Meredith Drive,Urbandale,,Iowa,IA,50323,US,41.6441,-93.8326,America/Chicago,,,515-705-0761,19,19049,19049050100,190490501002108,19780,218,ceo,census
1224,,,Grimes,open,351 NE Gateway Drive,Grimes,,Iowa,IA,50111,US,41.6906,-93.7771,America/Chicago,,,515-224-7730,19,19153,19153011302,191530113021031,19780,218,ceo,census
7580,,,Urbandale Fast & Fresh #1,open,9915 Douglas Ave,Urbandale,,Iowa,IA,50322,US,41.63,-93.7555,America/Chicago,,,515-695-3048,19,19153,19153010407,191530104072009,19780,218,ceo,census
1759,,,Urbandale,open,8701 Douglas Ave,Urbandale,,Iowa,IA,50322,US,41.6307,-93.7393,America/Chicago,,,515-270-2572,19,19153,19153010407,191530104072000,19780,218,ceo,census
7520,,,Clive Fast & Fresh,open,11925 Univeristy Ave,Clive,,Iowa,IA,50325,US,41.6011,-93.7822,America/Chicago,,,515-695-3043,19,19153,19153011203,191530112033005,19780,218,ceo,census
7591,,,West Des Moines Fast & Fresh #2,open,9150 University Ave,West Des Moines,,Iowa,IA,50266,US,41.5996,-93.8325,America/Chicago,,,515-705-0765,19,19049,19049050813,190490508132002,19780,218,ceo,census
1889,,,West Des Moines #3,open,1725 Jordan Creek Pkwy,West Des Moines,,Iowa,IA,50266,US,41.5983,-93.8079,America/Chicago,,,515-226-8753,19,19049,19049050813,190490508131004,19780,218,ceo,census
1873,,,Waukee,open,1005 E Hickman Rd,Waukee,,Iowa,IA,50263,US,41.6174,-93.8543,America/Chicago,,,515-216-2760,19,19049,19049050803,190490508032039,19780,218,ceo,census
1887,,,West Des Moines #1,open,1700 Valley West Dr,West Des Moines,,Iowa,IA,50266,US,41.5977,-93.7535,America/Chicago,,,515-223-4597,19,19153,19153011114,191530111141006,19780,218,ceo,census
7082,,,West Des Moines Drugstore,open,1010 60th St,West Des Moines,,Iowa,IA,50266,US,41.5849,-93.7913,America/Chicago,,,515-440-1481,19,19049,19049050814,190490508141024,19780,218,ceo,census
1318,,,Johnston,open,5750 Merle Hay Rd,Johnston,,Iowa,IA,50131,US,41.665,-93.6991,America/Chicago,,,515-270-9045,19,19153,19153011702,191530117021010,19780,218,ceo,census
7540,,,Johnston Fast & Fresh,open,5169 Merle Hay Rd,Johnston,,Iowa,IA,50131,US,41.6542,-93.6969,America/Chicago,,,515-695-3047,19,19153,19153011702,191530117023015,19780,218,ceo,fcc
7588,,,Waukee Fast & Fresh #2,open,155 W Hickman Road,Waukee,,Iowa,IA,50263,US,41.6155,-93.8764,America/Chicago,,,515-695-3144,19,19049,19049050902,190490509022007,19780,218,ceo,fcc
1895,,,Windsor Heights,open,7101 University Ave,Windsor Heights,,Iowa,IA,50324,US,41.6009,-93.7156,America/Chicago,,,515-279-4225,19,19153,19153011201,191530112014015,19780,218,ceo,census
7535,,,Des Moines Fast & Fresh,open,5801 Hickman Rd,Des Moines,,Iowa,IA,50322,US,41.6151,-93.6981,America/Chicago,,,515-279-0152,19,19153,19153000803,191530008033015,19780,218,ceo,census
7587,,,Waukee Fast & Fresh #1,open,2855 Grand Prairie Pkwy,Waukee,,Iowa,IA,50263,US,41.5818,-93.8535,America/Chicago,,,515-695-3092,19,19049,19049050817,190490508171020,19780,218,ceo,census
1886,,,West Des Moines Wall to Wall,open,375 S Jordan Creek Pkwy,West Des Moines,,Iowa,IA,50266,US,41.5634,-93.8106,America/Chicago,,,515-341-9900,19,19049,19049050815,190490508151014,19780,218,ceo,census
7590,,,West Des Moines Fast & Fresh #1,open,425 S Jordan Creek Pkwy,West Des Moines,,Iowa,IA,50266,US,41.5627,-93.8103,America/Chicago,,,515-695-3091,19,19049,19049050815,190490508151014,19780,218,ceo,census
1890,,,West Des Moines #4,open,555 S 51st St,West Des Moines,,Iowa,IA,50265,US,41.5613,-93.7747,America/Chicago,,,515-225-1193,19,19153,19153011027,191530110272000,19780,218,ceo,census
1888,,,West Des Moines #2,open,1990 Grand Ave,West Des Moines,,Iowa,IA,50265,US,41.571,-93.7298,America/Chicago,,,515-223-8151,19,19153,19153011001,191530110011001,19780,218,ceo,census
7592,,,West Des Moines Fast & Fresh #3,open,300 Grand Avenue,West Des Moines,,Iowa,IA,50265,US,41.5824,-93.7061,America/Chicago,,,515-705-0763,19,19153,19153011111,191530111111011,19780,218,ceo,census
7031,,,Des Moines Drugstore,open,4100 University Ave,Des Moines,,Iowa,IA,50311,US,41.5998,-93.6732,America/Chicago,,,515-633-8603,19,19153,19153002800,191530028003003,19780,218,ceo,census
1136,,,Des Moines #1,open,3330 Martin Luther K,Des Moines,,Iowa,IA,50310,US,41.6256,-93.6526,America/Chicago,,,515-255-0007,19,19153,19153000701,191530007012002,19780,218,ceo,census
1023,,,Ankeny #2,open,2510 SW State St,Ankeny,,Iowa,IA,50023,US,41.705,-93.6233,America/Chicago,,,515-963-3130,19,19153,19153010205,191530102053096,19780,218,ceo,fcc
1155,,,Des Moines #6,open,420 Court Ave,Des Moines,,Iowa,IA,50309,US,41.5844,-93.6223,America/Chicago,,,515-697-0360,19,19153,19153005101,191530051014040,19780,218,ceo,census
1148,,,Des Moines #4,open,4605 Fleur Dr,Des Moines,,Iowa,IA,50321,US,41.5422,-93.6431,America/Chicago,,,515-285-7266,19,19153,19153004502,191530045021000,19780,218,ceo,census
1250,,,Mail Order Pharmacy,open,4707 Fleur Drive,Des Moines,,Iowa,IA,50321,US,41.542,-93.6433,America/Chicago,,,844-733-2697,19,19153,19153004502,191530045021000,19780,218,ceo,census
1022,,,Ankeny #1,open,410 N Ankeny Blvd,Ankeny,,Iowa,IA,50023,US,41.7346,-93.6021,America/Chicago,,,515-964-0900,19,19153,19153010205,191530102051021,19780,218,ceo,census
1138,,,Des Moines #2,open,2540 E Euclid Ave,Des Moines,,Iowa,IA,50317,US,41.6285,-93.5697,America/Chicago,,,515-262-0640,19,19153,19153000201,191530002011004,19780,218,ceo,census
7525,,,Cumming Fast & Fresh,open,5237 Cumming Ave,Cumming,,Iowa,IA,50061,US,41.4849,-93.7753,America/Chicago,,,515-461-2992,19,19181,19181020300,191810203002032,19780,218,ceo,fcc
1142,,,Des Moines #3,open,3221 SE 14th St,Des Moines,,Iowa,IA,50320,US,41.5547,-93.5949,America/Chicago,,,515-243-7271,19,19153,19153003902,191530039021005,19780,218,ceo,census
1151,,,Des Moines #5,open,1107 E Army Post Rd,Des Moines,,Iowa,IA,50315,US,41.5254,-93.6025,America/Chicago,,,515-285-6394,19,19153,19153004702,191530047021001,19780,218,ceo,census
7505,,,Altoona Fast & Fresh,open,3950 Prairie Fire NW,Altoona,,Iowa,IA,50009,US,41.6519,-93.5093,America/Chicago,,,515-967-7575,19,19153,19153010602,191530106022010,19780,218,ceo,census
1530,,,Pleasant Hill,open,4815 Maple Dr,Pleasant Hill,,Iowa,IA,50327,US,41.5972,-93.5196,America/Chicago,,,515-262-7956,19,19153,19153010803,191530108031033,19780,218,ceo,census
1011,,,Altoona,open,108 8TH ST SW,Altoona,,Iowa,IA,50009,US,41.6426,-93.4664,America/Chicago,,,515-967-7676,19,19153,19153010708,191530107082015,19780,218,ceo,census
1522,,,Perry,open,1215 141st St,Perry,,Iowa,IA,50220,US,41.8289,-94.1046,America/Chicago,,,515-465-5321,19,19049,19049050300,190490503001038,19780,218,ceo,fcc
1271,,,Indianola,open,910 N Jefferson Way,Indianola,,Iowa,IA,50125,US,41.3687,-93.5569,America/Chicago,,,515-961-5329,19,19181,19181020702,191810207022005,19780,218,ceo,census
1898,,,Winterset,open,923 N 1st St,Winterset,,Iowa,IA,50273,US,41.3427,-94.0125,America/Chicago,,,515-462-4235,19,19121,19121060200,191210602002004,19780,218,ceo,census
1013,,,Ames #1,open,3800 Lincoln Way,Ames,,Iowa,IA,50014,US,42.0219,-93.6698,America/Chicago,,,515-292-5580,19,19169,19169001304,191690013044002,11180,218,ceo,census
1018,,,Ames #2,open,640 Lincoln Way,Ames,,Iowa,IA,50010,US,42.0203,-93.6196,America/Chicago,,,515-232-1961,19,19169,19169001000,191690010004004,11180,218,ceo,census
1038,,,Boone,open,1111 8th St,Boone,,Iowa,IA,50036,US,42.0647,-93.8764,America/Chicago,,,515-432-6065,19,19015,19015020200,190150202001143,11180,218,ceo,census
1442,,,Nevada Dollar Fresh Market,open,1622 Fawcett Parkway,Nevada,,Iowa,IA,50201,US,42.0119,-93.4372,America/Chicago,,,515-215-6083,19,19169,19169010300,191690103001004,11180,218,ceo,census
