store_number,slug,url,location_name,status,address_line1,city,county,state,region,postal_code,country_code,latitude,longitude,time_zone,format,total_building_area_sqft,main_voice_phone_number,state_fips,county_fips,tract_fips,block_fips,cbsa_fips,csa_fips,coord_source,fips_source
34,,https://www.kohls.com/stores/az/yuma-34.shtml,Kohl's Yuma,open,1350 S CASTLE DOME AVE,Yuma,,Arizona,AZ,85365,US,32.7039,-114.6087,America/Phoenix,,,928-783-0224,04,04027,04027010913,040270109131033,49740,,ceo,census
1445,,https://www.kohls.com/stores/fl/yulee-1445.shtml,Kohl's Yulee,open,463893 STATE ROAD 200,Yulee,,Florida,FL,32097,US,30.6276,-81.544,America/New_York,,,904-491-8805,12,12089,12089050306,120890503064020,27260,300,ceo,census
1020,,https://www.kohls.com/stores/ca/yubacity-1020.shtml,Kohl's Yuba City,open,1480 SUNSWEET BLVD,Yuba City,,California,CA,95993,US,39.1351,-121.6385,America/Los_Angeles,,,530-751-0441,06,06101,06101050501,061010505013004,49700,472,ceo,census
755,,https://www.kohls.com/stores/ca/yorbalinda-755.shtml,Kohl's Yorba Linda-savi Ranch,open,23001 SAVI RANCH PKWY,Yorba Linda,,California,CA,92887,US,33.8742,-88.3439,America/Chicago,,,714-998-8480,06,06059,06059021924,060590219243015,31080,348,ceo,census
443,,https://www.kohls.com/stores/ga/woodstock-443.shtml,Kohl's Woodstock,open,120 WOODSTOCK SQUARE AVE,Woodstock,,Georgia,GA,30189,US,34.0828,-84.5449,America/New_York,,,678-445-6079,13,13057,13057091013,130570910131002,12060,122,ceo,census
271,,https://www.kohls.com/stores/de/wilmington-271.shtml,Kohl's Brandywine,open,401 ROCKY RUN PKWY,Wilmington,,Delaware,DE,19803,US,39.8209,-75.5493,America/New_York,,,302-477-9780,10,10003,10003011700,100030117004017,37980,428,ceo,census
272,,https://www.kohls.com/stores/de/wilmington-272.shtml,Kohl's Kirkwood,open,4437 KIRKWOOD HWY,Wilmington,,Delaware,DE,19808,US,39.7268,-75.6545,America/New_York,,,302-633-9960,10,10003,10003013300,100030133001004,37980,428,ceo,census
165,,https://www.kohls.com/stores/ct/willimantic-165.shtml,Kohl's Willimantic,open,95 STORRES RD,Willimantic,,Connecticut,CT,06226,US,41.7347,-72.2009,America/New_York,,,860-456-4700,09,09013,09013881500,090138815003013,,,ceo,fcc
1386,,https://www.kohls.com/stores/ca/whittier-1386.shtml,Kohl's Whittier,open,15602 E WHITTWOOD LN,Whittier,,California,CA,90603,US,33.9435,-117.9981,America/Los_Angeles,,,562-943-9287,06,06037,06037503402,060375034021000,31080,348,ceo,census
344,,https://www.kohls.com/stores/co/westminster-344.shtml,Kohl's Westminster-co,open,11875 SHERIDAN BLVD,Westminster,,Colorado,CO,80020,US,39.9122,-105.0545,America/Denver,,,303-466-4900,08,08059,08059060300,080590603002000,19740,216,ceo,census
