store_number,slug,url,location_name,status,address_line1,city,county,state,region,postal_code,country_code,latitude,longitude,time_zone,format,total_building_area_sqft,main_voice_phone_number,state_fips,county_fips,tract_fips,block_fips,cbsa_fips,csa_fips,coord_source,fips_source
026-00854,,https://www.kroger.com/stores/grocery/al/decatur/decatur/026/00854,Kroger,open,1101 Beltline RD SE STE A,Decatur,,Alabama,AL,35601,US,34.5614,-86.9763,America/Chicago,,,256-350-9770,01,01103,01103005109,011030051093004,19460,290,ceo,census
011-00260,,https://www.kroger.com/stores/grocery/al/auburn/corner-village/011/00260,Kroger,open,300 N Dean Rd,Auburn,,Alabama,AL,36830,US,32.6107,-85.4632,America/Chicago,,,334-821-1325,01,01081,01081040300,010810403002000,12220,194,ceo,census
026-00894,,https://www.kroger.com/stores/grocery/al/hartselle/crestwood-shopping-center/026/00894,Kroger,open,241 Highway 31 SW Ste K,Hartselle,,Alabama,AL,35640,US,34.4395,-86.9429,America/Chicago,,,256-773-6413,01,01103,01103005302,011030053021039,19460,290,ceo,census
026-00517,,https://www.kroger.com/stores/grocery/al/huntsville/kroger-moores-mill-road-huntsville/026/00517,Kroger,open,6070 Moores Mill Rd,Huntsville,,Alabama,AL,35811,US,34.7995,-86.5346,America/Chicago,,,256-852-5770,01,01089,01089010706,010890107062021,26620,290,ceo,census
026-00508,,https://www.kroger.com/stores/grocery/al/huntsville/kroger-oakwood-ave-huntsville/026/00508,Kroger,open,2110 Oakwood Ave Nw,Huntsville,,Alabama,AL,35810,US,34.7507,-86.6007,America/Chicago,,,256-536-0715,01,01089,01089000702,010890007022013,26620,290,ceo,census
026-00849,,https://www.kroger.com/stores/grocery/al/huntsville/logan-square/026/00849,Kroger,open,8404 Memorial Pkwy Sw,Huntsville,,Alabama,AL,35802,US,34.6566,-86.5712,America/Chicago,,,256-881-5696,01,01089,01089002801,010890028012005,26620,290,ceo,census
011-00310,,https://www.kroger.com/stores/grocery/al/lanett/lanett/011/00310,Kroger,open,1401 S Gilmer Ave,Lanett,,Alabama,AL,36863,US,32.8558,-85.1909,America/Chicago,,,334-644-2100,01,01017,01017954800,010179548003014,29300,122,ceo,census
026-00606,,https://www.kroger.com/stores/grocery/al/madison/kroger-county-line-rd/026/00606,Kroger,open,8855 Highway 72 W,Madison,,Alabama,AL,35758,US,34.747,-86.7843,America/Chicago,,,256-870-4350,01,01089,01089011024,010890110241009,26620,290,ceo,census
026-00677,,https://www.kroger.com/stores/grocery/al/huntsville/watercress/026/00677,Kroger,open,7090 Highway 72 W,Huntsville,,Alabama,AL,35806,US,34.7569,-86.7119,America/Chicago,,,256-726-0600,01,01089,01089010627,010890106273006,26620,290,ceo,census
026-00605,,https://www.kroger.com/stores/grocery/al/madison/midtown-marketplace/026/00605,Kroger,open,4579 Wall Triana Hwy,Madison,,Alabama,AL,35758,US,34.7079,-86.7486,America/Chicago,,,256-461-0914,01,01089,01089011025,010890110251007,26620,290,ceo,census
