store_number,slug,url,location_name,status,address_line1,city,county,state,region,postal_code,country_code,latitude,longitude,time_zone,format,total_building_area_sqft,main_voice_phone_number,banner,province_code,province_name,cma_code,cma_name,cma_type,fsa,coord_source,geo_source,osm_id,osm_type
osm:node/221063335,,,Provigo,open,,,,,Quebec,,CA,45.5088138,-73.5717973,America/Toronto,Supermarket,,,Provigo,QC,Quebec,462,Montréal,B,,osm,osm+pip,221063335,node
osm:node/245799635,,,Maxi,open,6381 Route Transcanadienne,Pointe-Claire,,,Quebec,H9R 5A5,CA,45.4671133,-73.8268437,America/Toronto,Discount,,514-694-7450,Maxi,QC,Quebec,462,Montréal,B,H9R,osm,osm+postcode_letter,245799635,node
osm:node/252683954,,https://www.realcanadiansuperstore.ca/store-locator/details/1545,Real Canadian Superstore,open,7020 4 Street NW,Calgary,,,Alberta,T2K 1C4,CA,51.1158258,-114.0693725,America/Edmonton,Hypermarket,,,Real Canadian Superstore,AB,Alberta,825,Calgary,B,T2K,osm,osm+postcode_letter,252683954,node
osm:node/254039705,,,大統華 T&T Supermarket,open,9650 Harvest Hills Boulevard N,Calgary,,,Alberta,T3K 0B3,CA,51.1406324,-114.0686256,America/Edmonton,Asian Specialty,,403-237-6608,T&T Supermarket,AB,Alberta,825,Calgary,B,T3K,osm,osm+postcode_letter,254039705,node
osm:node/258607808,,,Fortinos,open,50 Dundurn Street South,Hamilton,,,Ontario,L8P 4W3,CA,43.2616844,-79.8895955,America/Toronto,Supermarket,,905-529-4290,Fortinos,ON,Ontario,537,Hamilton,B,L8P,osm,osm+postcode_letter,258607808,node
osm:node/260801309,,https://www.maxi.ca/store-locator/details/8636,Maxi,open,Boulevard Taschereau,La Prairie,,,Quebec,,CA,45.4216883,-73.4866387,America/Toronto,Discount,,,Maxi,QC,Quebec,462,Montréal,B,,osm,osm+pip,260801309,node
osm:node/271813303,,,No Frills,open,1800 Eglinton Avenue East,Scarborough,,,Ontario,,CA,43.7266499,-79.2997516,America/Toronto,Discount,,,No Frills,ON,Ontario,535,Toronto,B,,osm,osm+pip,271813303,node
osm:node/276091459,,,Fortinos,open,,,,,Ontario,,CA,43.3666024,-79.8226891,America/Toronto,Supermarket,,,Fortinos,ON,Ontario,537,Hamilton,B,,osm,osm+pip,276091459,node
osm:node/283838693,,https://www.maxi.ca/,Maxi,open,7200 Boulevard Taschereau,Brossard,,,Quebec,J4W 1M9,CA,45.4604109,-73.4679184,America/Toronto,Discount,,450-672-3201,Maxi,QC,Quebec,462,Montréal,B,J4W,osm,osm+postcode_letter,283838693,node
osm:node/287174479,,,Your Independent Grocer,open,,,,,Nova Scotia,,CA,44.6376711,-64.0710693,America/Halifax,Supermarket,,,Your Independent Grocer,NS,Nova Scotia,,,,,osm,osm+pip,287174479,node
osm:node/288341867,,,No Frills,open,,,,,Ontario,,CA,43.3739726,-79.8367727,America/Toronto,Discount,,,No Frills,ON,Ontario,537,Hamilton,B,,osm,osm+pip,288341867,node
osm:node/302045073,,,No Frills,open,,,,,Ontario,,CA,43.7944656,-79.3544452,America/Toronto,Discount,,,No Frills,ON,Ontario,535,Toronto,B,,osm,osm+pip,302045073,node
osm:node/303207540,,,Loblaws Great Food,open,,,,,Ontario,,CA,43.6551536,-79.4495878,America/Toronto,Supermarket,,,Loblaws,ON,Ontario,535,Toronto,B,,osm,osm+pip,303207540,node
osm:node/307899337,,,Maxi,open,,,,,Quebec,,CA,46.8198661,-71.3305583,America/Toronto,Discount,,,Maxi,QC,Quebec,421,Québec,B,,osm,osm+pip,307899337,node
osm:node/380199493,,,No Frills,open,,,,,Ontario,,CA,43.7691082,-79.1868613,America/Toronto,Discount,,,No Frills,ON,Ontario,535,Toronto,B,,osm,osm+pip,380199493,node
osm:node/380290840,,,No Frills,open,,,,,Ontario,,CA,43.9474794,-79.4541064,America/Toronto,Discount,,,No Frills,ON,Ontario,535,Toronto,B,,osm,osm+pip,380290840,node
osm:node/380312280,,,No Frills,open,,,,,Ontario,,CA,43.8947514,-79.4396841,America/Toronto,Discount,,905-737-1222,No Frills,ON,Ontario,535,Toronto,B,,osm,osm+pip,380312280,node
osm:node/384253202,,https://www.tntsupermarket.com/bc/,大統華 T&T Supermarket,open,10153 King George Boulevard,,,,British Columbia,,CA,49.1855236,-122.848078,America/Vancouver,Asian Specialty,,604-580-3168,T&T Supermarket,BC,British Columbia,933,Vancouver,B,,osm,osm+pip,384253202,node
osm:node/384253823,,https://www.tntsupermarket.com,大統華 T&T Supermarket,open,15277 100 Avenue,,,,British Columbia,,CA,49.1845299,-122.798794,America/Vancouver,Asian Specialty,,604-930-2388,T&T Supermarket,BC,British Columbia,933,Vancouver,B,,osm,osm+pip,384253823,node
osm:node/386776792,,https://www.loblaws.ca/,Loblaws,open,2877 Bayview Avenue,Toronto,,,Ontario,,CA,43.7687732,-79.3872517,America/Toronto,Supermarket,,416-733-1783,Loblaws,ON,Ontario,535,Toronto,B,,osm,osm+pip,386776792,node
osm:node/393559703,,,Provigo,open,,,,,Quebec,,CA,46.8372622,-71.3565143,America/Toronto,Supermarket,,,Provigo,QC,Quebec,421,Québec,B,,osm,osm+pip,393559703,node
osm:node/410375809,,,No Frills,open,,,,,Ontario,,CA,43.7198074,-79.509795,America/Toronto,Discount,,,No Frills,ON,Ontario,535,Toronto,B,,osm,osm+pip,410375809,node
osm:node/411670085,,,Your Independent Grocer,open,1125 Bloor Street,Mississauga,,,Ontario,L4Y 2N6,CA,43.6111843,-79.6006472,America/Toronto,Supermarket,,,Your Independent Grocer,ON,Ontario,535,Toronto,B,L4Y,osm,osm+postcode_letter,411670085,node
osm:node/414951337,,,No Frills,open,620 Eglinton Avenue West,Mississauga,,,Ontario,,CA,43.593442,-79.6668605,America/Toronto,Discount,,,No Frills,ON,Ontario,535,Toronto,B,,osm,osm+pip,414951337,node
osm:node/421328735,,,Valu-mart,open,83 Underhill Drive,North York,,,Ontario,M3A 2P5,CA,43.7461366,-79.3245982,America/Toronto,Supermarket,,416-449-2162,Valu-Mart,ON,Ontario,535,Toronto,B,M3A,osm,osm+postcode_letter,421328735,node
osm:node/425215065,,,Your Independent Grocer,open,,,,,Nova Scotia,,CA,44.4489069,-64.3808683,America/Halifax,Supermarket,,,Your Independent Grocer,NS,Nova Scotia,,,,,osm,osm+pip,425215065,node
osm:node/431001737,,,Loblaws,open,,,,,Ontario,,CA,43.9084687,-78.7107965,America/Toronto,Supermarket,,,Loblaws,ON,Ontario,532,Oshawa,B,,osm,osm+pip,431001737,node
osm:node/431299397,,,No Frills,open,,,,,Ontario,,CA,43.7093804,-79.24815,America/Toronto,Discount,,,No Frills,ON,Ontario,535,Toronto,B,,osm,osm+pip,431299397,node
osm:node/431574215,,,Maxi,open,,,,,Quebec,,CA,45.7048933,-73.6479842,America/Toronto,Discount,,,Maxi,QC,Quebec,462,Montréal,B,,osm,osm+pip+nearest,431574215,node
osm:node/437981048,,,No Frills,open,,,,,Ontario,,CA,43.8723563,-79.2661301,America/Toronto,Discount,,,No Frills,ON,Ontario,535,Toronto,B,,osm,osm+pip,437981048,node
osm:node/439909930,,https://www.realcanadiansuperstore.ca/store-locator/details/1533,Real Canadian Superstore,open,3806 Albert Street,Regina,,,Saskatchewan,S4S 3R2,CA,50.4177072,-104.6200308,America/Regina,Hypermarket,,306-585-8890,Real Canadian Superstore,SK,Saskatchewan,705,Regina,B,S4S,osm,osm+postcode_letter,439909930,node
osm:node/443195869,,,No Frills,open,,,,,British Columbia,,CA,50.6990647,-119.2900915,America/Vancouver,Discount,,,No Frills,BC,British Columbia,920,Salmon Arm,D,,osm,osm+pip,443195869,node
osm:node/455060781,,,No Frills,open,571 Brant Street,Burlington,,,Ontario,L7R 2G6,CA,43.3296239,-79.8018831,America/Toronto,Discount,,,No Frills,ON,Ontario,537,Hamilton,B,L7R,osm,osm+postcode_letter,455060781,node
osm:node/470575480,,,Maxi,open,,,,,Quebec,,CA,46.0320509,-73.4304698,America/Toronto,Discount,,,Maxi,QC,Quebec,456,Joliette,D,,osm,osm+pip,470575480,node
osm:node/489519143,,,Maxi,open,,,,,Quebec,,CA,45.6300993,-73.8136644,America/Toronto,Discount,,,Maxi,QC,Quebec,462,Montréal,B,,osm,osm+pip+nearest,489519143,node
osm:node/495883888,,,Your Independent Grocer,open,,,,,Ontario,,CA,43.7465518,-79.2008768,America/Toronto,Supermarket,,,Your Independent Grocer,ON,Ontario,535,Toronto,B,,osm,osm+pip,495883888,node
osm:node/503064461,,https://www.zehrs.ca/,Zehrs,open,,,,,Ontario,,CA,43.4320879,-80.4414668,America/Toronto,Supermarket,,,Zehrs,ON,Ontario,541,Kitchener - Cambridge - Waterloo,B,,osm,osm+pip,503064461,node
osm:node/518278748,,,Maxi,open,,,,,Quebec,,CA,46.8549273,-71.4176421,America/Toronto,Discount,,,Maxi,QC,Quebec,421,Québec,B,,osm,osm+pip,518278748,node
osm:node/535070353,,,Maxi,open,,,,,Quebec,,CA,46.3304002,-72.5929562,America/Toronto,Discount,,,Maxi,QC,Quebec,442,Trois-Rivières,B,,osm,osm+pip,535070353,node
osm:node/537074530,,,Loblaws,open,12 St. Clair Avenue East,Toronto,,,Ontario,M4T 1L7,CA,43.6887263,-79.3940485,America/Toronto,Supermarket,,416-960-8108,Loblaws,ON,Ontario,535,Toronto,B,M4T,osm,osm+postcode_letter,537074530,node
osm:node/549033787,,,No Frills,open,1435 King Street West,Toronto,,,Ontario,,CA,43.63685,-79.436777,America/Toronto,Discount,,,No Frills,ON,Ontario,535,Toronto,B,,osm,osm+pip,549033787,node
osm:node/582753435,,,No Frills,open,,,,,Ontario,,CA,43.6444495,-79.755303,America/Toronto,Discount,,,No Frills,ON,Ontario,535,Toronto,B,,osm,osm+pip,582753435,node
osm:node/601062739,,https://www.maxi.ca/store-locator/details/7223,Maxi,open,815 Avenue Myrand,,,,Quebec,,CA,46.7889272,-71.2693786,America/Toronto,Discount,,418-683-1981,Maxi,QC,Quebec,421,Québec,B,,osm,osm+pip+nearest,601062739,node
osm:node/601588836,,https://www.tntsupermarket.com/,大統華 T&T Supermarket,open,2929 Barnet Highway,Coquitlam,,,British Columbia,V3B 5R5,CA,49.2807594,-122.7994209,America/Vancouver,Asian Specialty,,604-945-3818,T&T Supermarket,BC,British Columbia,933,Vancouver,B,V3B,osm,osm+postcode_letter,601588836,node
osm:node/602192444,,,No Frills,open,,,,,Ontario,,CA,44.3960447,-79.6574387,America/Toronto,Discount,,,No Frills,ON,Ontario,568,Barrie,B,,osm,osm+pip,602192444,node
osm:node/622562438,,https://www.yourindependentgrocer.ca/store-locator/details/7917,Your Independent Grocer,open,75 King Street South,Waterloo,,,Ontario,N2J 1P2,CA,43.4637618,-80.5238449,America/Toronto,Supermarket,,,Your Independent Grocer,ON,Ontario,541,Kitchener - Cambridge - Waterloo,B,N2J,osm,osm+postcode_letter,622562438,node
osm:node/638183189,,,大統華 T&T Supermarket,open,8882 170 Street NW,Edmonton,,,Alberta,T5T 4J2,CA,53.5234966,-113.6239469,America/Edmonton,Asian Specialty,,,T&T Supermarket,AB,Alberta,835,Edmonton,B,T5T,osm,osm+postcode_letter,638183189,node
osm:node/656328619,,https://www.loblaws.ca/,Provigo,open,16900 TransCanada Hwy,,,,Quebec,H9H 4M7,CA,45.4536921,-73.8514268,America/Toronto,Supermarket,,,Provigo,QC,Quebec,462,Montréal,B,H9H,osm,osm+postcode_letter,656328619,node
osm:node/666480292,,,No Frills,open,,,,,Ontario,,CA,43.7025339,-79.7367173,America/Toronto,Discount,,,No Frills,ON,Ontario,535,Toronto,B,,osm,osm+pip,666480292,node
osm:node/670685424,,https://www.maxi.ca/store-locator/details/4552,Maxi,open,1855 Boulevard René-Laennec,Laval,,,Quebec,H7M 5E2,CA,45.6064767,-73.715085,America/Toronto,Discount,,450-629-1850,Maxi,QC,Quebec,462,Montréal,B,H7M,osm,osm+postcode_letter,670685424,node
osm:node/683617071,,https://www.tntsupermarket.com/,大統華 T&T Supermarket,open,7070 Warden Avenue,Markham,,,Ontario,L3R 5Y2,CA,43.8220321,-79.3263892,America/Toronto,Asian Specialty,,905-470-8113,T&T Supermarket,ON,Ontario,535,Toronto,B,L3R,osm,osm+postcode_letter,683617071,node
osm:node/686793977,,,Maxi,open,,,,,Quebec,,CA,47.3600499,-70.0542212,America/Toronto,Discount,,418-856-2667,Maxi,QC,Quebec,,,,,osm,osm+pip,686793977,node
osm:node/724596931,,,Loblaws,open,,,,,British Columbia,,CA,49.2576848,-123.1533962,America/Vancouver,Supermarket,,,Loblaws,BC,British Columbia,933,Vancouver,B,,osm,osm+pip,724596931,node
osm:node/724833096,,https://www.realcanadiansuperstore.ca/store-locator/details/2810,Real Canadian Superstore,open,820 Main St E,Milton,,,Ontario,L9T 0J4,CA,43.525558,-79.8667316,America/Toronto,Hypermarket,,905-875-3451,Real Canadian Superstore,ON,Ontario,535,Toronto,B,L9T,osm,osm+postcode_letter,724833096,node
osm:node/726453066,,,No Frills,open,325 Central Parkway West,Mississauga,,,Ontario,,CA,43.5825997,-79.6383729,America/Toronto,Discount,,,No Frills,ON,Ontario,535,Toronto,B,,osm,osm+pip,726453066,node
