store_number,slug,url,location_name,status,address_line1,city,county,state,region,postal_code,country_code,latitude,longitude,time_zone,format,total_building_area_sqft,main_voice_phone_number,state_fips,county_fips,tract_fips,block_fips,cbsa_fips,csa_fips,coord_source,fips_source
lowes-2327,,https://www.lowes.com/store/CT-Derby/2327,Derby Lowe's,open,496 New Haven Avenue,Derby,,Connecticut,CT,06418,US,41.3143,-73.0587,America/New_York,,,203-446-0080,09,09009,09009120100,090091201002010,,,ceo,census
lowes-2795,,https://www.lowes.com/store/DE-Millsboro/2795,Millsboro Lowe's,open,26688 Centerview Drive,Millsboro,,Delaware,DE,19966,US,38.5709,-75.2874,America/New_York,,,302-934-3740,10,10005,10005050604,100050506041035,42580,,ceo,fcc
lowes-1985,,https://www.lowes.com/store/AK-Fairbanks/1985,Fairbanks Lowe's,open,425 MERHAR AVENUE,Fairbanks,,Alaska,AK,99701,US,64.8565,-147.6952,America/Anchorage,,,907-451-4700,02,02090,02090001300,020900013003041,21820,,ceo,census
lowes-3256,,https://www.lowes.com/store/DC-Washington/3256,Washington Lowe's,open,2438 MARKET STREET NE,Washington,,District of Columbia,DC,20018,US,38.92,-76.9552,America/New_York,,,202-378-2500,11,11001,11001009000,110010090003000,47900,548,ceo,fcc
lowes-2788,,https://www.lowes.com/store/FL-Pensacola/2788,Ensley Lowe's,open,777 West Nine Mile Road,Pensacola,,Florida,FL,32534,US,30.5317,-87.2854,America/Chicago,,,850-316-3359,12,12033,12033003400,120330034004001,37860,,ceo,census
lowes-2790,,https://www.lowes.com/store/CA-San-Jose/2790,E. San Jose Lowe's,open,775 RIDDER PARK DRIVE,San Jose,,California,CA,95131,US,37.3802,-121.9022,America/Los_Angeles,,,408-518-4165,06,06085,06085504318,060855043181012,41940,488,ceo,census
lowes-1032,,https://www.lowes.com/store/AZ-Chandler/1032,E. Chandler Lowe's,open,2900 WEST CHANDLER BLVD,Chandler,,Arizona,AZ,85224,US,33.3075,-111.8923,America/Phoenix,,,480-855-0012,04,04013,04013810800,040138108002000,38060,429,ceo,census
lowes-3206,,https://www.lowes.com/store/CO-Silverthorne/3206,Silverthorne Lowe's,open,201 BUFFALO MOUNTAIN DRIVE,Silverthorne,,Colorado,CO,80498,US,39.6254,-106.0744,America/Denver,,,970-968-4000,08,08117,08117000102,081170001023028,14720,,ceo,census
lowes-3645,,https://www.lowes.com/store/AL-Huntsville/3645,Lowe's Outlet Huntsville,open,6275 UNIVERSITY DRIVE,Huntsville,,Alabama,AL,35806,US,34.7411,-86.6815,America/Chicago,,,938-227-6900,01,01089,01089001403,010890014032006,26620,290,ceo,census
lowes-2847,,https://www.lowes.com/store/AR-Paragould/2847,Paragould Lowe's,open,212 NORTH 23RD STREET,Paragould,,Arkansas,AR,72450,US,36.0617,-90.5161,America/Chicago,,,870-586-2000,05,05055,05055480401,050554804012040,37500,308,ceo,census
lowes-0674,,https://www.lowes.com/store/AZ-Chandler/0674,W. Chandler Lowe's,open,7100 West Ray Road,Chandler,,Arizona,AZ,85226,US,33.3217,-111.9646,America/Phoenix,,,480-753-0103,04,04013,04013810400,040138104002015,38060,429,ceo,census
lowes-1142,,https://www.lowes.com/store/FL-Pensacola/1142,S.W. Pensacola Lowe's,open,4301 West Fairfield Drive,Pensacola,,Florida,FL,32505,US,30.4339,-87.2712,America/Chicago,,,850-453-0159,12,12033,12033002000,120330020002038,37860,,ceo,census
lowes-1756,,https://www.lowes.com/store/CA-San-Jose/1756,S. San Jose Lowe's,open,5550 COTTLE ROAD,San Jose,,California,CA,95123,US,37.2533,-121.802,America/Los_Angeles,,,408-705-9900,06,06085,06085512058,060855120581002,41940,488,ceo,census
lowes-1099,,https://www.lowes.com/store/CO-Colorado-Springs/1099,E. Colorado Springs Lowe's,open,2945 NEW CENTER POINT,Colorado Springs,,Colorado,CO,80922,US,38.8739,-104.7179,America/Denver,,,719-591-4614,08,08041,08041005118,080410051182008,17820,,ceo,census
lowes-0694,,https://www.lowes.com/store/AR-Rogers/0694,Rogers Lowe's,open,300 NORTH 46TH ST.,Rogers,,Arkansas,AR,72756,US,36.3373,-94.1811,America/Chicago,,,479-936-9700,05,05007,05007020305,050070203052012,22220,,ceo,census
lowes-1577,,https://www.lowes.com/store/AL-Huntsville/1577,N. Huntsville Lowe's,open,3505 Memorial Pkwy Nw,Huntsville,,Alabama,AL,35810,US,34.7712,-86.5863,America/Chicago,,,256-859-0735,01,01089,01089000301,010890003011029,26620,290,ceo,census
lowes-2383,,https://www.lowes.com/store/CT-Cromwell/2383,Cromwell Lowe's,open,90 Berlin Road,Cromwell,,Connecticut,CT,06416,US,41.6037,-72.6974,America/New_York,,,860-894-3800,09,09007,09007570100,090075701001041,,,ceo,census
lowes-2806,,https://www.lowes.com/store/CO-Colorado-Springs/2806,C. Colorado Springs Lowe's,open,701 NORTH ACADEMY BOULEVARD,Colorado Springs,,Colorado,CO,80909,US,38.8433,-104.7554,America/Denver,,,719-313-4650,08,08041,08041006000,080410060002004,17820,,ceo,census
lowes-0438,,https://www.lowes.com/store/FL-Pensacola/0438,Pensacola Lowe's,open,1201 Airport BLVD.,Pensacola,,Florida,FL,32504,US,30.48,-87.2138,America/Chicago,,,850-857-7900,12,12033,12033001201,120330012014001,37860,,ceo,census
lowes-0622,,https://www.lowes.com/store/DE-Wilmington/0622,N. Wilmington Lowe's,open,3100 Brandywine Pkwy 1ST Floor,Wilmington,,Delaware,DE,19803,US,39.8326,-75.5363,America/New_York,,,302-479-7799,10,10003,10003011202,100030112022019,37980,428,ceo,census
lowes-0289,,https://www.lowes.com/store/AK-Anchorage/0289,Anchorage Lowe's,open,333 EAST TUDOR ROAD,Anchorage,,Alaska,AK,99503,US,61.181,-149.8786,America/Anchorage,,,907-563-0391,02,02020,02020001900,020200019004028,11260,,ceo,census
