store_number,slug,url,location_name,status,address_line1,city,county,state,region,postal_code,country_code,latitude,longitude,time_zone,format,total_building_area_sqft,main_voice_phone_number,state_fips,county_fips,tract_fips,block_fips,cbsa_fips,csa_fips,coord_source,fips_source
auburn-popup,,https://shop.lululemon.com/stores/us/auburn/auburn-pop-up,Auburn Pop Up,open,234 N. Gay Street,Auburn,,Alabama,AL,36830,US,32.61,-85.4797,America/Chicago,,,334-769-2561,01,01081,01081040201,010810402013006,12220,194,ceo,census
birmingham-store,,https://shop.lululemon.com/stores/us/birmingham/birmingham,Summit Birmingham,open,243 Summit Boulevard,Birmingham,,Alabama,AL,35243,US,33.4481,-86.7301,America/Chicago,,,205-303-1892,01,01073,01073012805,010730128052007,13820,142,ceo,census
merchantswalk-store,,https://shop.lululemon.com/stores/us/huntsville/merchants-walk,Bridge Street Town Centre,open,365 The Bridge Street,Huntsville,,Alabama,AL,35806,US,34.7187,-86.6742,America/Chicago,,,256-904-5914,01,01089,01089001403,010890014032029,26620,290,ceo,fcc
legacyvillage-store,,https://shop.lululemon.com/stores/us/mobile/legacy-village-at-spring-hill,Legacy Village at Spring Hill,open,9 Du Rhu Drive,Mobile,,Alabama,AL,36608,US,30.6889,-88.1317,America/Chicago,,,251-320-6347,01,01097,01097003302,010970033021031,33660,380,ceo,fcc
eastchase-popup,,https://shop.lululemon.com/stores/us/montgomery/the-shoppes-at-eastchase-pop-up,The Shoppes at EastChase Pop Up,open,7060 EastChase Parkway,Montgomery,,Alabama,AL,36117,US,32.3582,-86.1676,America/Chicago,,,334-396-3889,01,01101,01101005412,011010054124030,33860,388,ceo,census
tuscaloosa-popup,,https://shop.lululemon.com/stores/us/tuscaloosa/midtown-village-pop-up,Midtown Village Pop Up,open,1800 McFarland Boulevard East,Tuscaloosa,,Alabama,AL,35404,US,33.1941,-87.5277,America/Chicago,,,205-344-7503,01,01125,01125012001,011250120012005,46220,,ceo,census
dimondcenter-store,,https://shop.lululemon.com/stores/us/anchorage/dimond-center,Dimond Center,open,800 E Dimond Blvd,Anchorage,,Alaska,AK,99515,US,61.1436,-149.8692,America/Anchorage,,,907-531-1824,02,02020,02020002712,020200027121000,11260,,ceo,census
anchorage-store,,https://shop.lululemon.com/stores/us/anchorage/5th-avenue-mall,5th Avenue Mall,open,320 W 5th Ave,Anchorage,,Alaska,AK,99501,US,61.2174,-149.8878,America/Anchorage,,,907-274-0003,02,02020,02020001100,020200011001042,11260,,ceo,census
chandler-store,,https://shop.lululemon.com/stores/us/chandler/chandler,Chandler Blvd,open,3111 West Chandler Boulevard,Chandler,,Arizona,AZ,85226,US,33.3017,-111.8991,America/Phoenix,,,480-485-3359,04,04013,04013811100,040138111001001,38060,429,ceo,census
flagstaff-local,,https://shop.lululemon.com/stores/us/flagstaff/aspen-place-flagstaff-local,Aspen Place Flagstaff - Local,open,320 S Regent St,Flagstaff,,Arizona,AZ,86001,US,35.1918,-111.6423,America/Phoenix,,,928-236-0928,04,04005,04005000800,040050008004007,22380,,ceo,census
santanvillage-store,,https://shop.lululemon.com/stores/us/gilbert/santan-village,SanTan Village,open,2156 E. Williams Field Rd,Gilbert,,Arizona,AZ,85295,US,33.3088,-111.7436,America/Phoenix,,,480-618-7762,04,04013,04013814600,040138146003013,38060,429,ceo,census
arrowhead-store,,https://shop.lululemon.com/stores/us/glendale/arrowhead-towne-center,Arrowhead Towne Center,open,7700 W Arrowhead Towne Center,Glendale,,Arizona,AZ,85308,US,33.6417,-112.2257,America/Phoenix,,,623-257-6665,04,04013,04013617700,040136177002002,38060,429,ceo,census
