store_number,slug,url,location_name,status,address_line1,city,county,state,region,postal_code,country_code,latitude,longitude,time_zone,format,total_building_area_sqft,main_voice_phone_number,state_fips,county_fips,tract_fips,block_fips,cbsa_fips,csa_fips,coord_source,fips_source
4979,,https://www.mcdonalds.com/us/en-us/location/id/burley/394-n-overland-ave/4979.html,McDonald's BURLEY-OVERLAND,open,394 N Overland Ave,Burley,,Idaho,ID,83318,US,42.5599,-113.7938,America/Boise,,,208-678-2230,16,16031,16031950500,160319505004001,15420,,ceo,census
10803,,https://www.mcdonalds.com/us/en-us/location/ut/saint-george/1235-s-bluff-st/10803.html,McDonald's ST GEORGE/BLUFF,open,1235 S Bluff St,Saint George,,Utah,UT,84770,US,37.0874,-113.5844,America/Denver,,,435-673-1422,49,49053,49053271400,490532714003029,41100,,ceo,census
40447,,https://www.mcdonalds.com/us/en-us/location/ut/saint-george/1404-e-george-washington-blvd/40447.html,"McDonald's 1450 S STREET AND RIVER RD-ST. GEORGE, U",open,1404 E George Washington Blvd,Saint George,,Utah,UT,84790,US,37.0844,-113.554,America/Denver,,,435-674-4005,49,49053,49053271703,490532717033044,41100,,ceo,fcc
20759,,https://www.mcdonalds.com/us/en-us/location/ut/saint-george/1911-w-sunset-blvd/20759.html,McDonald's ST. GEORGE,open,1911 W Sunset Blvd,Saint George,,Utah,UT,84770,US,37.1224,-113.6242,America/Denver,,,435-688-2199,49,49053,49053270601,490532706014000,41100,,ceo,census
2929,,https://www.mcdonalds.com/us/en-us/location/ut/saint-george/798-e-saint-george-blvd/2929.html,McDonald's ST GEORGE-BLVD,open,798 E Saint George Blvd,Saint George,,Utah,UT,84770,US,37.1095,-113.5666,America/Denver,,,435-673-5938,49,49053,49053270301,490532703014003,41100,,ceo,census
34265,,https://www.mcdonalds.com/us/en-us/location/ut/washington/735-w-telegraph-st/34265.html,"McDonald's TELEGRAPH STREET, WASHINGTON CITY, UT",open,735 W Telegraph St,Washington,,Utah,UT,84780,US,37.1276,-113.5216,America/Denver,,,435-652-6100,49,49053,49053270802,490532708021011,41100,,ceo,census
39857,,https://www.mcdonalds.com/us/en-us/location/ut/washington/922-n-commerce-blvd/39857.html,McDonald's WASHINGTON PKWY AND COMMERCE BLVD-WASHIN,open,922 N Commerce Blvd,Washington,,Utah,UT,84780,US,37.1437,-113.488,America/Denver,,,435-922-0832,49,49053,49053270805,490532708052020,41100,,ceo,fcc
4707,,https://www.mcdonalds.com/us/en-us/location/nd/williston/2222-2nd-ave-w/4707.html,McDonald's WILLISTON - 2ND AV,open,2222 2nd Ave W,Williston,,North Dakota,ND,58801,US,48.1662,-103.6252,America/Chicago,,,701-572-2364,38,38105,38105953900,381059539002002,48780,,ceo,census
6524,,https://www.mcdonalds.com/us/en-us/location/mt/sidney/1550-south-central-ave/6524.html,McDonald's SIDNEY-S CENTRAL,open,1550 South Central Ave,Sidney,,Montana,MT,59270,US,47.7021,-104.1658,America/Denver,,,406-433-1983,30,30083,30083070400,300830704003037,,,ceo,census
21191,,https://www.mcdonalds.com/us/en-us/location/nm/carlsbad/2311-w-pierce/21191.html,McDonald's CARLSBAD-PIERCE,open,2311 W Pierce,Carlsbad,,New Mexico,NM,88220,US,32.4386,-104.2553,America/Denver,,,575-885-5789,35,35015,35015000401,350150004013002,16100,,ceo,census
4071,,https://www.mcdonalds.com/us/en-us/location/nm/carlsbad/327-s-canal/4071.html,McDonald's CARLSBAD-CANAL,open,327 S Canal,Carlsbad,,New Mexico,NM,88220,US,32.417,-104.2294,America/Denver,,,575-725-5213,35,35015,35015000100,350150001001119,16100,,ceo,census
41143,,https://www.mcdonalds.com/us/en-us/location/nm/carlsbad/3516-national-parks-hwy/41143.html,McDonald's NATIONAL PARKS HIGHWAY AND RUSSELL-CARLS,open,3516 National Parks Hwy,Carlsbad,,New Mexico,NM,88220,US,32.3808,-104.2252,America/Denver,,,,35,35015,35015000600,350150006002051,16100,,ceo,census
5731,,https://www.mcdonalds.com/us/en-us/location/nm/tucumcari/2608-s-1st-st/5731.html,McDonald's TUCUMCARI-I-40,open,2608 S 1st St,Tucumcari,,New Mexico,NM,88401,US,35.1543,-103.7245,America/Denver,,,575-461-4900,35,35037,35037958601,350379586011151,,,ceo,fcc
34515,,https://www.mcdonalds.com/us/en-us/location/co/fort-morgan/1203-main-street/34515.html,McDonald's FORT MORGAN RELO,open,1203 Main Street,Fort Morgan,,Colorado,CO,80701,US,40.2617,-103.802,America/Denver,,,970-867-8833,08,08087,08087000300,080870003001051,22820,,ceo,census
7165,,https://www.mcdonalds.com/us/en-us/location/co/limon/837-us-hwy-24/7165.html,McDonald's LIMON-HWY 24,open,837 Us Hwy 24,Limon,,Colorado,CO,80828,US,39.2707,-103.7088,America/Denver,,,719-775-2782,08,08073,08073961700,080739617003042,,,ceo,fcc
11696,,https://www.mcdonalds.com/us/en-us/location/tx/van-horn/1809-se-frontage-rd/11696.html,McDonald's VANHORN-10&VICTO,open,1809 Se Frontage Rd,Van Horn,,Texas,TX,79855,US,31.0348,-104.8555,America/Chicago,,,432-283-2692,48,48109,48109950300,481099503001039,,,ceo,census
33658,,https://www.mcdonalds.com/us/en-us/location/wy/torrington/800-east-valley-highway/33658.html,McDonald's TORRINGTON,open,800 East Valley Highway,Torrington,,Wyoming,WY,82240,US,42.0589,-104.1746,America/Denver,,,307-532-0120,56,56015,56015957900,560159579003033,,,ceo,census
36715,,https://www.mcdonalds.com/us/en-us/location/nm/roswell/4100-n-main/36715.html,"McDonald's ROSWELL, NM - NORTH MAIN",open,4100 N Main,Roswell,,New Mexico,NM,88201,US,33.4468,-104.5237,America/Denver,,,575-291-2770,35,35005,35005001002,350050010023000,40740,,ceo,census
2427,,https://www.mcdonalds.com/us/en-us/location/nm/roswell/720-n-main/2427.html,McDonald's ROSWELL-MAIN,open,720 N Main,Roswell,,New Mexico,NM,88201,US,33.4004,-104.5233,America/Denver,,,575-208-0160,35,35005,35005000302,350050003022044,40740,,ceo,census
8084,,https://www.mcdonalds.com/us/en-us/location/nm/roswell/1804-s-main-st/8084.html,"McDonald's ROSWELL, NM - S. MAIN",open,1804 S Main St,Roswell,,New Mexico,NM,88203,US,33.3702,-104.5237,America/Denver,,,575-291-2778,35,35005,35005000700,350050007002015,40740,,ceo,census
41185,,https://www.mcdonalds.com/us/en-us/location/nm/artesia/602-n-26th-st/41185.html,"McDonald's 26 AND JJ CLARKE-ARTESIA, NM",open,602 N 26th St,Artesia,,New Mexico,NM,88210,US,32.847,-104.4293,America/Denver,,,575-288-2288,35,35015,35015001001,350150010011001,16100,,ceo,census
11885,,https://www.mcdonalds.com/us/en-us/location/nm/artesia/210-south-first-street/11885.html,McDonald's ARTESIA/MAIN,open,210 South First Street,Artesia,,New Mexico,NM,88210,US,32.8404,-104.3979,America/Denver,,,575-748-9030,35,35015,35015001002,350150010021131,16100,,ceo,census
6011,,https://www.mcdonalds.com/us/en-us/location/nm/raton/542-clayton-rd/6011.html,McDonald's RATON-CLAYTON HW,open,542 Clayton Rd,Raton,,New Mexico,NM,87740,US,36.8855,-104.4336,America/Denver,,,575-245-5569,35,35007,35007950500,350079505006049,,,ceo,census
11550,,https://www.mcdonalds.com/us/en-us/location/nm/santa-rosa/1504-will-rogers-dr/11550.html,"McDonald's SANTA ROSA, NM-WILL ROGERS",open,1504 Will Rogers Dr,Santa Rosa,,New Mexico,NM,88435,US,34.9443,-104.6696,America/Denver,,,575-472-3336,35,35019,35019961600,350199616002020,,,ceo,fcc
32690,,https://www.mcdonalds.com/us/en-us/location/co/peyton/7255-n-meridian-road/32690.html,"McDonald's FALCON, MERIDIAN & JOURNEY ROAD",open,7255 N Meridian Road,Peyton,,Colorado,CO,80831,US,38.9375,-104.6102,America/Denver,,,719-494-8498,08,08041,08041005122,080410051223001,17820,,ceo,census
39481,,https://www.mcdonalds.com/us/en-us/location/co/colorado-springs/7901-woodmen-center-heights/39481.html,McDonald's WOODMEN RD AND MARKSHEFFEL RD-COLORADO S,open,7901 Woodmen Center Heights,Colorado Springs,,Colorado,CO,80908,US,38.9412,-104.6788,America/Denver,,,719-203-4581,08,08041,08041007603,080410076033026,17820,,ceo,fcc
32565,,https://www.mcdonalds.com/us/en-us/location/co/colorado-springs/5450-tutt-boulevard/32565.html,McDonald's COLO SPGS - POWERS & STETSON HILLS,open,5450 Tutt Boulevard,Colorado Springs,,Colorado,CO,80922,US,38.9101,-104.7166,America/Denver,,,719-591-8541,08,08041,08041005112,080410051123000,17820,,ceo,census
23486,,https://www.mcdonalds.com/us/en-us/location/co/colorado-springs/3535-hartsel-dr/23486.html,McDonald's WOODMEN & LEXINGTON,open,3535 Hartsel Dr,Colorado Springs,,Colorado,CO,80920,US,38.9379,-104.7612,America/Denver,,,719-266-9772,08,08041,08041006802,080410068022020,17820,,ceo,fcc
18190,,https://www.mcdonalds.com/us/en-us/location/co/colorado-springs/4310-barnes-rd/18190.html,McDonald's AUSTIN BLUFFS,open,4310 Barnes Rd,Colorado Springs,,Colorado,CO,80917,US,38.8974,-104.7464,America/Denver,,,719-572-1782,08,08041,08041005501,080410055013002,17820,,ceo,census
39517,,https://www.mcdonalds.com/us/en-us/location/co/colorado-springs/1245-interquest-pkwy/39517.html,"McDonald's INTERQUEST AND FEDERAL-COLORADO SPRINGS,",open,1245 Interquest Pkwy,Colorado Springs,,Colorado,CO,80921,US,38.9905,-104.8059,America/Denver,,,719-424-7678,08,08041,08041007205,080410072051026,17820,,ceo,census
18807,,https://www.mcdonalds.com/us/en-us/location/co/colorado-springs/5765-constitution-ave/18807.html,McDonald's POWERS & CONSTITUION,open,5765 Constitution Ave,Colorado Springs,,Colorado,CO,80915,US,38.8709,-104.7208,America/Denver,,,719-637-0393,08,08041,08041005900,080410059002001,17820,,ceo,census
2205,,https://www.mcdonalds.com/us/en-us/location/co/colorado-springs/4801-north-academy-blvd/2205.html,McDonald's COL SPNGS-ACADEMY,open,4801 North Academy Blvd,Colorado Springs,,Colorado,CO,80918,US,38.9019,-104.7682,America/Denver,,,719-598-4982,08,08041,08041004800,080410048003007,17820,,ceo,census
6149,,https://www.mcdonalds.com/us/en-us/location/co/colorado-springs/8120-voyager-parkway/6149.html,McDonald's COLORADO SPRINGS- HWY 83,open,8120 Voyager Parkway,Colorado Springs,,Colorado,CO,80920,US,38.9497,-104.803,America/Denver,,,719-593-0511,08,08041,08041003906,080410039061022,17820,,ceo,census
32564,,https://www.mcdonalds.com/us/en-us/location/co/colorado-springs/765-west-baptist-road/32564.html,"McDonald's MONUMENT, CO BAPTIST ROAD",open,765 West Baptist Road,Colorado Springs,,Colorado,CO,80921,US,39.0562,-104.8436,America/Denver,,,719-481-8742,08,08041,08041007203,080410072032003,17820,,ceo,census
875,,https://www.mcdonalds.com/us/en-us/location/co/colorado-springs/1244-n-academy-blvd/875.html,McDonald's COL SPNGS-12ACAD,open,1244 N Academy Blvd,Colorado Springs,,Colorado,CO,80909,US,38.8508,-104.7578,America/Denver,,,719-596-1977,08,08041,08041002000,080410020001000,17820,,ceo,census
17985,,https://www.mcdonalds.com/us/en-us/location/co/colorado-springs/510-n-murray-blvd/17985.html,McDonald's MURRAY/PLATTE,open,510 N Murray Blvd,Colorado Springs,,Colorado,CO,80915,US,38.8403,-104.7484,America/Denver,,,424-444-1169,08,08041,08041006000,080410060002004,17820,,ceo,census
26480,,https://www.mcdonalds.com/us/en-us/location/co/colorado-springs/535-airport-creek-point/26480.html,"McDonald's COLO SPGS, CO-POWERS & AIRPORT",open,535 Airport Creek Point,Colorado Springs,,Colorado,CO,80916,US,38.824,-104.7275,America/Denver,,,719-574-3477,08,08041,08041006301,080410063011000,17820,,ceo,fcc
41160,,https://www.mcdonalds.com/us/en-us/location/co/colorado-springs/1103-n-circle-dr/41160.html,"McDonald's CIRCLE  AND GALLEY-COLORADO SPRINGS, CO",open,1103 N Circle Dr,Colorado Springs,,Colorado,CO,80909,US,38.8481,-104.7753,America/Denver,,,719-698-6045,08,08041,08041002000,080410020002007,17820,,ceo,census
11078,,https://www.mcdonalds.com/us/en-us/location/co/colorado-springs/434-garden-of-the-gods-rd/11078.html,McDonald's GRDN OF GODS I25,open,434 Garden Of The Gods Rd,Colorado Springs,,Colorado,CO,80903,US,38.8975,-104.8287,America/Denver,,,719-599-8774,08,08041,08041000302,080410003023019,17820,,ceo,fcc
