store_number,slug,url,location_name,status,address_line1,city,county,state,region,postal_code,country_code,latitude,longitude,time_zone,format,total_building_area_sqft,main_voice_phone_number,state_fips,county_fips,tract_fips,block_fips,cbsa_fips,csa_fips,coord_source,fips_source
daphne-al,,https://www.planetfitness.com/gyms/daphne-al,"Planet Fitness - Daphne, AL",open,29685 Renaissance Blvd,Daphne,,Alabama,AL,36526,US,30.6588,-87.8599,America/Chicago,,,251-621-7800,01,01003,01003010708,010030107081003,19300,380,ceo,census
prattville-al,,https://www.planetfitness.com/gyms/prattville-al,"Planet Fitness - Prattville, AL",open,2431 Cobbs Ford Rd,Prattville,,Alabama,AL,36066,US,32.4608,-86.3984,America/Chicago,,,334-290-5060,01,01051,01051031300,010510313001034,33860,388,ceo,census
fairhope-al,,https://www.planetfitness.com/gyms/fairhope-al,"Planet Fitness - Fairhope, AL",open,175 Baldwin Sq,Fairhope,,Alabama,AL,36532,US,30.5206,-87.884,America/Chicago,,,251-308-1020,01,01003,01003011104,010030111043007,19300,380,ceo,fcc
muscle-shoals-al,,https://www.planetfitness.com/gyms/muscle-shoals-al,"Planet Fitness - Muscle Shoals, AL",open,1306 Woodward Ave,Muscle Shoals,,Alabama,AL,35661,US,34.7471,-87.67,America/Chicago,,,256-826-3530,01,01033,01033020704,010330207043045,22520,250,ceo,census
madison-al,,https://www.planetfitness.com/gyms/madison-al,"Planet Fitness - Madison, AL",open,8050 Hwy 72 W,Madison,,Alabama,AL,35758,US,34.7537,-86.7515,America/Chicago,,,256-724-0990,01,01089,01089010612,010890106123046,26620,290,ceo,census
cullman-al,,https://www.planetfitness.com/gyms/cullman-al,"Planet Fitness - Cullman, AL",open,1727 2nd Ave SW,Cullman,,Alabama,AL,35055,US,34.1556,-86.8358,America/Chicago,,,256-747-5405,01,01043,01043965001,010439650012052,18980,142,ceo,census
birmingham-crestline-al,,https://www.planetfitness.com/gyms/birmingham-crestline-al,"Planet Fitness - Birmingham, AL",open,4500 Montevallo Rd,Birmingham,,Alabama,AL,35210,US,33.5216,-86.7274,America/Chicago,,,205-703-0571,01,01073,01073005600,010730056004004,13820,142,ceo,census
enterprise-al,,https://www.planetfitness.com/gyms/enterprise-al,"Planet Fitness - Enterprise, AL",open,913 Rucker Blvd,Enterprise,,Alabama,AL,36330,US,31.3252,-85.8277,America/Chicago,,,334-475-2328,01,01031,01031011205,010310112051023,21460,222,ceo,census
huntsville-al,,https://www.planetfitness.com/gyms/huntsville-al,"Planet Fitness - Huntsville, AL",open,1001 Memorial Pkwy,Huntsville,,Alabama,AL,35801,US,34.7404,-86.6027,America/Chicago,,,256-945-0501,01,01089,01089000702,010890007022023,26620,290,ceo,fcc
vestavia-hills-al,,https://www.planetfitness.com/gyms/vestavia-hills-al,"Planet Fitness - Vestavia Hills, AL",open,700 Montgomery Hwy,Vestavia Hills,,Alabama,AL,35216,US,33.4466,-86.7925,America/Chicago,,,205-208-0398,01,01073,01073012921,010730129211019,13820,142,ceo,census
alexander-city-al,,https://www.planetfitness.com/gyms/alexander-city-al,"Planet Fitness - Alexander City, AL",open,987 Market Place,Alexander City,,Alabama,AL,35010,US,32.921,-85.9607,America/Chicago,,,256-392-4866,01,01123,01123962302,011239623022033,10760,194,ceo,census
jasper-al,,https://www.planetfitness.com/gyms/jasper-al,"Planet Fitness - Jasper, AL",open,714 Hwy 78 E,Jasper,,Alabama,AL,35501,US,33.8498,-87.2656,America/Chicago,,,205-384-9161,01,01127,01127020302,011270203023010,13820,142,ceo,census
foley-al,,https://www.planetfitness.com/gyms/foley-al,"Planet Fitness - Foley, AL",open,1639 S McKenzie St,Foley,,Alabama,AL,36535,US,30.3881,-87.682,America/Chicago,,,251-943-9370,01,01003,01003011503,010030115033002,19300,380,ceo,fcc
hoover-al,,https://www.planetfitness.com/gyms/hoover-al,"Planet Fitness - Hoover, AL",open,1839 Montgomery Hwy Ste 40,Hoover,,Alabama,AL,35244,US,33.371,-86.7975,America/Chicago,,,205-444-2282,01,01117,01117030314,011170303141006,13820,142,ceo,census
dothan-al,,https://www.planetfitness.com/gyms/dothan-al,"Planet Fitness - Dothan, AL",open,3121 Ross Clark Cir,Dothan,,Alabama,AL,36303,US,31.2316,-85.4338,America/Chicago,,,334-792-1701,01,01069,01069040204,010690402043043,20020,222,ceo,census
florence-al,,https://www.planetfitness.com/gyms/florence-al,"Planet Fitness - Florence, AL",open,1518 Florence Blvd,Florence,,Alabama,AL,35630,US,34.8181,-87.6553,America/Chicago,,,256-924-6191,01,01077,01077010700,010770107002001,22520,250,ceo,census
northport-al,,https://www.planetfitness.com/gyms/northport-al,"Planet Fitness - Northport, AL",open,3380 McFarland Blvd,Northport,,Alabama,AL,35476,US,33.2413,-87.5897,America/Chicago,,,205-686-6004,01,01125,01125010206,011250102061031,46220,,ceo,census
decatur-al,,https://www.planetfitness.com/gyms/decatur-al,"Planet Fitness - Decatur, AL",open,809 Beltline Rd Sw Ste B,Decatur,,Alabama,AL,35601,US,34.5578,-86.9984,America/Chicago,,,256-724-0979,01,01103,01103005108,011030051083001,19460,290,ceo,census
bessemer-al,,https://www.planetfitness.com/gyms/bessemer-al,"Planet Fitness - Bessemer, AL",open,528 W Town Plaza,Bessemer,,Alabama,AL,35020,US,33.3909,-86.9776,America/Chicago,,,205-774-6888,01,01073,01073014104,010730141042005,13820,142,ceo,census
troy-al,,https://www.planetfitness.com/gyms/troy-al,"Planet Fitness - Troy, AL",open,1267 US Hwy 231 S,Troy,,Alabama,AL,36081,US,31.7795,-85.9487,America/Chicago,,,334-670-9000,01,01109,01109189002,011091890021008,45980,,ceo,census
opelika-al,,https://www.planetfitness.com/gyms/opelika-al,"Planet Fitness - Opelika, AL",open,2500 Pepperell Pkwy,Opelika,,Alabama,AL,36801,US,32.6404,-85.4138,America/Chicago,,,334-325-9140,01,01081,01081041104,010810411041004,12220,194,ceo,census
birmingham-homewood-al,,https://www.planetfitness.com/gyms/birmingham-homewood-al,"Planet Fitness - Birmingham, AL",open,140 Wildwood Pkwy,Birmingham,,Alabama,AL,35209,US,33.4494,-86.826,America/Chicago,,,205-719-1722,01,01073,01073010706,010730107061030,13820,142,ceo,fcc
phenix-city-al,,https://www.planetfitness.com/gyms/phenix-city-al,"Planet Fitness - Phenix City, AL",open,1409 US Hwy 280,Phenix City,,Alabama,AL,36867,US,32.457,-85.0145,America/Chicago,,,334-384-9975,01,01113,01113030700,011130307003010,17980,194,ceo,fcc
