store_number,slug,url,location_name,status,address_line1,city,county,state,region,postal_code,country_code,latitude,longitude,time_zone,format,total_building_area_sqft,main_voice_phone_number,state_fips,county_fips,tract_fips,block_fips,cbsa_fips,csa_fips,coord_source,fips_source
1756,,https://www.publix.com/,Publix Shops at Pike Road,open,9515 Vaughn Rd,Pike Road,,Alabama,AL,36064,US,32.3464,-86.0932,America/Chicago,,,334-694-5802,01,01101,01101005503,011010055032042,33860,388,ceo,census
1024,,https://www.publix.com/,Publix Taylor Junction,open,7076 Atlanta Hwy,Montgomery,,Alabama,AL,36117,US,32.3812,-86.1716,America/Chicago,,,334-290-4501,01,01101,01101005407,011010054073001,33860,388,ceo,census
1026,,https://www.publix.com/,Publix Cornerstone,open,7700 Vaughn Rd,Montgomery,,Alabama,AL,36116,US,32.3368,-86.1828,America/Chicago,,,334-290-4920,01,01101,01101005609,011010056091000,33860,388,ceo,census
1025,,https://www.publix.com/,Publix Dalraida Commons,open,4045 Atlanta Hwy,Montgomery,,Alabama,AL,36109,US,32.3836,-86.2418,America/Chicago,,,334-260-7782,01,01101,01101002600,011010026002008,33860,388,ceo,census
1027,,https://www.publix.com/,Publix Zelda Place,open,3026 Zelda Rd,Montgomery,,Alabama,AL,36106,US,32.3555,-86.2659,America/Chicago,,,334-244-4481,01,01101,01101003301,011010033011011,33860,388,ceo,fcc
2010,,https://www.publix.com/,Publix The Shoppes at Fort Toulouse,open,5039 US Hwy 231,Wetumpka,,Alabama,AL,36092,US,32.5145,-86.2142,America/Chicago,,,334-478-6185,01,01051,01051030702,010510307021005,33860,388,ceo,census
1228,,https://www.publix.com/,Publix High Point Town Center,open,2451 Cobbs Ford Rd,Prattville,,Alabama,AL,36066,US,32.4614,-86.3984,America/Chicago,,,334-285-0227,01,01051,01051031300,010510313001034,33860,388,ceo,census
2002,,https://www.publix.com/,Publix Camp Grandview Plaza,open,1400 AL Hwy 14,Millbrook,,Alabama,AL,36054,US,32.4936,-86.4028,America/Chicago,,,334-604-4819,01,01051,01051031001,010510310012014,33860,388,ceo,fcc
1878,,https://www.publix.com/,Publix The Gateway at Lake Martin,open,4812 Hwy 280,Alexander City,,Alabama,AL,35010,US,32.9149,-85.9534,America/Chicago,,,256-414-6016,01,01123,01123962302,011239623022030,10760,194,ceo,fcc
1822,,https://www.publix.com/,Publix Shops on Gay Street,open,138 S Gay St,Auburn,,Alabama,AL,36830,US,32.6057,-85.4802,America/Chicago,,,334-502-3616,01,01081,01081040201,010810402012006,12220,194,ceo,census
1525,,https://www.publix.com/,Publix Park Place,open,1147 US Hwy 231 S,Troy,,Alabama,AL,36081,US,31.7805,-85.9547,America/Chicago,,,334-807-5761,01,01109,01109189002,011091890021009,45980,,ceo,census
1355,,https://www.publix.com/,Publix The Shoppes at Cary Creek,open,2900 E University Dr,Auburn,,Alabama,AL,36830,US,32.6382,-85.4802,America/Chicago,,,334-502-2416,01,01081,01081040901,010810409011021,12220,194,ceo,census
1294,,https://www.publix.com/,Publix Hamilton Place,open,2415 Moores Mill Rd,Auburn,,Alabama,AL,36830,US,32.5854,-85.4364,America/Chicago,,,334-502-8667,01,01081,01081041701,010810417011056,12220,194,ceo,census
1794,,https://www.publix.com/,Publix Marble City Square,open,165 MCS Blvd,Sylacauga,,Alabama,AL,35150,US,33.1728,-86.2833,America/Chicago,,,256-487-0098,01,01121,01121011900,011210119001029,45180,142,ceo,fcc
1086,,https://www.publix.com/,Publix Phenix Crossing,open,5408 Summerville Rd Ste 200,Phenix City,,Alabama,AL,36867,US,32.5214,-85.0282,America/Chicago,,,334-291-8525,01,01081,01081042002,010810420021026,12220,194,ceo,census
1281,,https://www.publix.com/,Publix Calera Crossings,open,90 Marketplace Cir,Calera,,Alabama,AL,35040,US,33.1555,-86.7484,America/Chicago,,,205-668-3585,01,01117,01117030502,011170305022017,13820,142,ceo,census
474,,https://www.publix.com/,Publix Bradley Park Square,open,1639 Bradley Park Dr Ste 600,Columbus,,Georgia,GA,31904,US,32.5344,-84.9669,America/New_York,,,706-571-3420,13,13215,13215010303,132150103032024,17980,194,ceo,census
1390,,https://www.publix.com/,Publix Cross Country Plaza,open,3201 Macon Rd Ste 201,Columbus,,Georgia,GA,31906,US,32.4827,-84.9444,America/New_York,,,706-561-2160,13,13215,13215001100,132150011001007,17980,194,ceo,census
1880,,https://www.publix.com/,Publix Old Town Marketplace,open,8132 Veterans Pkwy Bldg 3,Columbus,,Georgia,GA,31909,US,32.5661,-84.934,America/New_York,,,706-223-6574,13,13215,13215010208,132150102082000,17980,194,ceo,census
