store_number,slug,url,location_name,status,address_line1,city,county,state,region,postal_code,country_code,latitude,longitude,time_zone,format,total_building_area_sqft,main_voice_phone_number,state_fips,county_fips,tract_fips,block_fips,cbsa_fips,csa_fips,coord_source,fips_source
1033801,,,Smith's Burley 123,open,937 E. Main Street,Burley,,Idaho,ID,83318,US,42.5367,-113.7817,America/Boise,,,208-678-2253,16,16031,16031950400,160319504004015,15420,,ceo,census
1055782,,,Smith's St George 280,open,4582 S. Pioneer Rd.,St. George,,Utah,UT,84790,US,37.0327,-113.6091,America/Denver,,,,49,49053,49053271600,490532716002038,41100,,ceo,fcc
1039476,,,River Rd and 1450 S,open,1513 S River Road,St George,,Utah,UT,84790,US,37.0831,-113.5545,America/Denver,,,435-222-1775,49,49053,49053271703,490532717033035,41100,,ceo,census
1014731,,,Smith's St. George 189,open,20 N Bluff Street,St. George,,Utah,UT,84770,US,37.1085,-113.5932,America/Denver,,,435-673-8880,49,49053,49053270301,490532703013033,41100,,ceo,census
6676,,,Albertsons St. George 1329,open,745 N Dixie Downs Dr,St. George,,Utah,UT,84770,US,37.1211,-113.6248,America/Denver,,,435-388-7156,49,49053,49053270601,490532706014000,41100,,ceo,census
1021527,,,Target St. George 1357,open,275 S River Rd,St. George,,Utah,UT,84790,US,37.1033,-113.5542,America/Denver,,,435-627-2030,49,49053,49053271200,490532712001014,41100,,ceo,census
9933,,,W Sunset Blvd & N Bluff St,open,1091 North Bluff St,St George,,Utah,UT,84770,US,37.1266,-113.602,America/Denver,,,435-674-0126,49,49053,49053270701,490532707012012,41100,,ceo,census
11703,,,Red Cliffs Dr & St. George Blv,open,158 N Red Cliff Dr,St George,,Utah,UT,84790,US,37.1108,-113.554,America/Denver,,,435-673-8320,49,49053,49053271200,490532712002002,41100,,ceo,census
1019269,,,Smith's St George 278,open,565 South Mall Drive,St. George,,Utah,UT,84790,US,37.0998,-113.5341,America/Denver,,,435-705-7410,49,49053,49053271102,490532711022021,41100,,ceo,census
1040665,,,Mall Dr and 2780 E.,open,2836 E Mall Dr,St George,,Utah,UT,84790,US,37.0955,-113.526,America/Denver,,,435-238-1415,49,49053,49053271703,490532717032000,41100,,ceo,fcc
1014442,,,Lin's St George 834,open,2928 East Mall Dr,St. George,,Utah,UT,84790,US,37.0945,-113.5242,America/Denver,,,435-773-6800,49,49053,49053271703,490532717032000,41100,,ceo,fcc
1018605,,,Green Springs Dr,open,880 W Red Cliffs Drive,Washington,,Utah,UT,84780,US,37.1274,-113.5244,America/Denver,,,435-218-4683,49,49053,49053271101,490532711013008,41100,,ceo,census
1024150,,,Sandhill & Hillside - Mesquite,open,390 Hillside Dr,Mesquite,,Nevada,NV,89027,US,36.8099,-114.0624,America/Los_Angeles,,,702-275-3716,32,32003,32003007600,320030076004007,29820,332,ceo,census
1054813,,,Terribles Mesquite Roadhouse,open,70 Falcon Ridge Pkwy,Mesquite,,Nevada,NV,89027,US,36.8044,-114.1085,America/Los_Angeles,,,702-347-3070,32,32003,32003005904,320030059041024,29820,332,ceo,census
1040361,,,2nd Ave and 38th St - Willisto,open,3715 2nd Ave W,Williston,,North Dakota,ND,58801,US,48.1789,-103.627,America/Chicago,,,701-409-1020,38,38105,38105953701,381059537012033,48780,,ceo,census
1024520,,,Albertsons Williston 28,open,20 26th St. E,Williston,,North Dakota,ND,58801,US,48.1677,-103.6229,America/Chicago,,,701-572-1097,38,38105,38105953900,381059539002000,48780,,ceo,census
1027763,,,20th & W. Main,open,1905 W Main St,Artesia,,New Mexico,NM,88210,US,32.8419,-104.4206,America/Denver,,,575-746-4464,35,35015,35015001001,350150010012010,16100,,ceo,census
1026728,,,Albertsons Carlsbad 665,open,202 W Church St,Carlsbad,,New Mexico,NM,88220,US,32.4293,-104.2283,America/Denver,,,575-885-2161,35,35015,35015000100,350150001001038,16100,,ceo,census
1021234,,,West Pierce St & Richard St,open,1208 Pierce,Carlsbad,,New Mexico,NM,88220,US,32.436,-104.2417,America/Denver,,,575-234-2136,35,35015,35015000300,350150003004044,16100,,ceo,census
1006259,,,Safeway Fort Morgan 2341,open,620 W Platte Ave,Fort Morgan,,Colorado,CO,80701,US,40.2539,-103.8097,America/Denver,,,970-867-3377,08,08087,08087000500,080870005001004,22820,,ceo,census
7446,,,King Soopers Bennett 112,open,1045 1st St.,Bennett,,Colorado,CO,80102,US,39.7431,-104.4356,America/Denver,,,303-778-3320,08,08001,08001008401,080010084012056,19740,216,ceo,census
18288,,,"Main & College, Roswell",open,1309 N Main St,Roswell,,New Mexico,NM,88201,US,33.4076,-104.5223,America/Denver,,,575-622-1358,35,35005,35005000302,350050003022016,40740,,ceo,fcc
13261,,,Albertsons Roswell 690,open,1110 South Main Street,Roswell,,New Mexico,NM,88201,US,33.381,-104.524,America/Denver,,,505-623-9300,35,35005,35005000302,350050003022026,40740,,ceo,census
15976,,,Safeway Falcon 1644,open,7655 McLaughlin Road,Falcon,,Colorado,CO,80831,US,38.9413,-104.6015,America/Denver,,,719-495-7300,08,08041,08041005122,080410051222000,17820,,ceo,census
1031554,,,King Soopers Falcon 147,open,7530 Falcon Marketplace,Peyton,,Colorado,CO,80831,US,38.9433,-104.6106,America/Denver,,,,08,08041,08041007603,080410076032010,17820,,ceo,fcc
1031538,,,Woodmen and Marksheffel Rd,open,8193 Carmela Grove,Colorado Springs,,Colorado,CO,80908,US,38.9413,-104.6749,America/Denver,,,719-934-2195,08,08041,08041007603,080410076033045,17820,,ceo,fcc
1016357,,,C Springs - Dublin and Tutt,open,5980 Dublin Blvd,Colorado Springs,,Colorado,CO,80923,US,38.9262,-104.7162,America/Denver,,,719-466-7449,08,08041,08041005121,080410051211026,17820,,ceo,fcc
7620,,,King Soopers Colorado Springs,open,9225 North Union Blvd,Colorado Springs,,Colorado,CO,80920,US,38.9646,-104.755,America/Denver,,,719-522-2200,08,08041,08041007103,080410071033002,17820,,ceo,census
6779,,,Briargate and Union,open,9275 NORTH UNION BLVD,Colorado Springs,,Colorado,CO,80920,US,38.9649,-104.757,America/Denver,,,719-282-8842,08,08041,08041007103,080410071033002,17820,,ceo,census
16734,,,Albertsons Colorado Springs 80,open,7055 Austin Bluffs Parkway,Colorado Springs,,Colorado,CO,80923,US,38.9324,-104.7392,America/Denver,,,719-264-8650,08,08041,08041004706,080410047062032,17820,,ceo,census
1044074,,,Dublin and Austin Bluffs,open,6905 Austin Bluffs Pkwy,Colorado Springs,,Colorado,CO,80923,US,38.9334,-104.7405,America/Denver,,,719-302-5610,08,08041,08041004706,080410047062032,17820,,ceo,census
8576400,,,King Soopers Colorado Springs,open,2731 North Gate Blvd,Colorado Springs,,Colorado,CO,80921,US,39.027,-104.7805,America/Denver,,,,08,08041,08041007206,080410072061003,17820,,ceo,census
11253,,,Albertsons Colorado Springs 84,open,8750 N Union Blvd,Colorado Springs,,Colorado,CO,80920,US,38.9588,-104.7667,America/Denver,,,719-282-9066,08,08041,08041007000,080410070003024,17820,,ceo,census
1037591,,,Carefree and Pony Tracks,open,3976 Pony Tracks Drive,Colorado Springs,,Colorado,CO,80922,US,38.8862,-104.7019,America/Denver,,,719-755-0881,08,08041,08041005119,080410051191014,17820,,ceo,census
7641,,,Target Colo Springs 2221,open,9670 Promenent Point,Colorado Springs,,Colorado,CO,80924,US,38.9546,-104.768,America/Denver,,,719-302-4266,08,08041,08041007105,080410071051018,17820,,ceo,census
91238,,,N Powers Rd & Barnes Rd,open,5808 Barnes Rd,Colorado Springs,,Colorado,CO,80922,US,38.8942,-104.7175,America/Denver,,,719-638-2624,08,08041,08041005112,080410051123000,17820,,ceo,census
113320,,,King Soopers Colorado Springs,open,3570 Hartsel Drive,Colorado Springs,,Colorado,CO,80920,US,38.9398,-104.7605,America/Denver,,,719-590-1099,08,08041,08041006802,080410068022018,17820,,ceo,census
