store_number,slug,url,location_name,status,address_line1,city,county,state,region,postal_code,country_code,latitude,longitude,time_zone,format,total_building_area_sqft,main_voice_phone_number,state_fips,county_fips,tract_fips,block_fips,cbsa_fips,csa_fips,county_name,cbsa_name,cbsa_metro,csa_name
3,crystal,https://www.target.com/sl/crystal/3,Crystal,Open,5537 W Broadway Ave,Crystal,Hennepin,Minnesota,MN,55428-3507,US,45.052732,-93.365555,America/Chicago,Pfresh,143186,763-533-2231,27,27053,27053020804,270530208041003,33460,378,Hennepin County,"Minneapolis-St. Paul-Bloomington, MN-WI",TRUE,"Minneapolis-St. Paul, MN-WI"
4,duluth,https://www.target.com/sl/duluth/4,Duluth,Open,1902 Miller Trunk Hwy,Duluth,St. Louis,Minnesota,MN,55811-1810,US,46.808391,-92.16745,America/Chicago,Pfresh,155559,218-727-8851,27,27137,27137000302,271370003022011,20260,228,St. Louis County,"Duluth, MN-WI",TRUE,"Duluth-Grand Rapids, MN-WI"
5,bloomington-79th-and-penn,https://www.target.com/sl/bloomington-79th-and-penn/5,Bloomington 79th and Penn,Open,2555 W 79th St,Bloomington,Hennepin,Minnesota,MN,55431-1250,US,44.860029,-93.311579,America/Chicago,Pfresh,148756,952-888-7701,27,27053,27053025603,270530256033003,33460,378,Hennepin County,"Minneapolis-St. Paul-Bloomington, MN-WI",TRUE,"Minneapolis-St. Paul, MN-WI"
12,bridgeton,https://www.target.com/sl/bridgeton/12,Bridgeton,Open,12275 St Charles Rock Rd,Bridgeton,St. Louis,Missouri,MO,63044-2502,US,38.754066,-90.426423,America/Chicago,Pfresh,137995,314-291-0600,29,29189,29189213104,291892131042018,41180,476,St. Louis County,"St. Louis, MO-IL",TRUE,"St. Louis-St. Charles-Farmington, MO-IL"
13,north-dallas,https://www.target.com/sl/north-dallas/13,North Dallas,Open,13131 Montfort Dr,Dallas,Dallas,Texas,TX,75240-5112,US,32.92778,-96.813082,America/Chicago,Pfresh,137484,972-239-8161,48,48113,48113013628,481130136285041,19100,206,Dallas County,"Dallas-Fort Worth-Arlington, TX",TRUE,"Dallas-Fort Worth, TX-OK"
19,tulsa,https://www.target.com/sl/tulsa/19,Tulsa,Open,1701 S Yale Ave,Tulsa,Tulsa,Oklahoma,OK,74112-6221,US,36.13727,-95.9204,America/Chicago,Pfresh,129628,918-744-1701,40,40143,40143003800,401430038002000,46140,538,Tulsa County,"Tulsa, OK",TRUE,"Tulsa-Bartlesville-Muskogee, OK"
26,ballwin,https://www.target.com/sl/ballwin/26,Ballwin,Open,15025 Manchester Rd,Ballwin,St. Louis,Missouri,MO,63011-4626,US,38.594512,-90.547463,America/Chicago,Pfresh,136657,636-391-7500,29,29189,29189217806,291892178063011,41180,476,St. Louis County,"St. Louis, MO-IL",TRUE,"St. Louis-St. Charles-Farmington, MO-IL"
43,oklahoma-city-north,https://www.target.com/sl/oklahoma-city-north/43,Oklahoma City North,Open,5400 N May Ave,Oklahoma City,Oklahoma,Oklahoma,OK,73112-5407,US,35.52441,-97.5644,America/Chicago,Pfresh,142546,405-947-6761,40,40109,40109106502,401091065021002,36420,416,Oklahoma County,"Oklahoma City, OK",TRUE,"Oklahoma City-Shawnee, OK"
48,arvada,https://www.target.com/sl/arvada/48,Arvada,Open,7899 Wadsworth Blvd,Arvada,Jefferson,Colorado,CO,80003-2107,US,39.840209,-105.085028,America/Denver,Pfresh,128392,303-425-0124,08,08059,08059010206,080590102063000,19740,216,Jefferson County,"Denver-Aurora-Centennial, CO",TRUE,"Denver-Aurora-Greeley, CO"
52,east-lake-street-and-hwy-55,https://www.target.com/sl/east-lake-street-and-hwy-55/52,East Lake Street and Hwy 55,Open,2500 E Lake St,Minneapolis,Hennepin,Minnesota,MN,55406-1909,US,44.949951,-93.236742,America/Chicago,Pfresh,127231,612-721-5701,27,27053,27053107400,270531074001005,33460,378,Hennepin County,"Minneapolis-St. Paul-Bloomington, MN-WI",TRUE,"Minneapolis-St. Paul, MN-WI"
