store_number,slug,url,location_name,status,address_line1,city,county,state,region,postal_code,country_code,latitude,longitude,time_zone,format,total_building_area_sqft,main_voice_phone_number,state_fips,county_fips,tract_fips,block_fips,cbsa_fips,csa_fips,coord_source,fips_source
737,,https://locations.traderjoes.com/al/birmingham/737/,Birmingham,open,205 Summit Blvd,Birmingham,,Alabama,AL,35243,US,33.4463,-86.7316,America/Chicago,,,205-969-7801,01,01073,01073012805,010730128052007,13820,142,ceo,census
838,,https://locations.traderjoes.com/al/hoover/838/,Hoover,open,1769 Montgomery Hwy,Hoover,,Alabama,AL,35244,US,33.3794,-86.8029,America/Chicago,,,205-202-7715,01,01073,01073012918,010730129182003,13820,142,ceo,census
785,,https://locations.traderjoes.com/al/huntsville/785/,Huntsville,open,1100 Mid City Dr NW,Huntsville,,Alabama,AL,35806,US,34.7402,-86.6653,America/Chicago,,,256-890-7156,01,01089,01089001404,010890014043008,26620,290,ceo,fcc
85,,https://locations.traderjoes.com/az/glendale/85/,Glendale,open,8078 W Bell Rd,Glendale,,Arizona,AZ,85308,US,33.6401,-112.2311,America/Phoenix,,,928-397-9921,04,04013,04013617700,040136177003009,38060,429,ceo,census
286,,https://locations.traderjoes.com/az/queen-creek/286/,Queen Creek,open,21186 S. Ellsworth Loop Rd,Queen Creek,,Arizona,AZ,85142,US,33.2561,-111.6386,America/Phoenix,,,480-877-7213,04,04013,04013816800,040138168003000,38060,429,ceo,census
177,,https://locations.traderjoes.com/az/phoenix/177/,Ahwatukee,open,4025 E Chandler Blvd,Phoenix,,Arizona,AZ,85048,US,33.3047,-111.9951,America/Phoenix,,,480-759-2293,04,04013,04013116712,040131167122004,38060,429,ceo,census
282,,https://locations.traderjoes.com/az/phoenix/282/,Paradise Valley,open,4726 East Shea Blvd,Phoenix,,Arizona,AZ,85028,US,33.5832,-111.9791,America/Phoenix,,,602-485-7788,04,04013,04013103208,040131032081023,38060,429,ceo,census
90,,https://locations.traderjoes.com/az/phoenix/90/,Phoenix - Town & Country,open,4821 N 20th St,Phoenix,,Arizona,AZ,85016,US,33.5072,-112.0379,America/Phoenix,,,602-912-9022,04,04013,04013108502,040131085024002,38060,429,ceo,census
287,,https://locations.traderjoes.com/az/chandler/287/,Chandler,open,3961 S Arizona Ave,Chandler,,Arizona,AZ,85248,US,33.2488,-111.8406,America/Phoenix,,,520-453-3452,04,04013,04013812400,040138124003014,38060,429,ceo,census
289,,https://locations.traderjoes.com/az/goodyear/289/,Goodyear,open,N Bullard Ave & McDowell Rd,Goodyear,,Arizona,AZ,85395,US,33.4627,-112.3906,America/Phoenix,,,480-712-6645,04,04013,04013061054,040130610543024,38060,429,ceo,fcc
285,,https://locations.traderjoes.com/az/gilbert/285/,Gilbert (SanTan),open,1779 E. Williams Field Rd.,Gilbert,,Arizona,AZ,85295,US,33.3064,-111.7517,America/Phoenix,,,480-857-9878,04,04013,04013815502,040138155022002,38060,429,ceo,census
283,,https://locations.traderjoes.com/az/prescott/283/,Prescott,open,252 N Lee Blvd,Prescott,,Arizona,AZ,86303,US,34.5487,-112.4053,America/Phoenix,,,928-443-9075,04,04025,04025000802,040250008023000,39150,,ceo,census
96,,https://locations.traderjoes.com/az/oro-valley/96/,Oro Valley,open,7912 N Oracle,Oro Valley,,Arizona,AZ,85704,US,32.3505,-110.9732,America/Phoenix,,,520-797-4207,04,04019,04019004713,040190047131018,46060,536,ceo,census
87,,https://locations.traderjoes.com/az/scottsdale/87/,N Scottsdale,open,7555 E Frank Lloyd Wright,Scottsdale,,Arizona,AZ,85260,US,33.636,-111.9172,America/Phoenix,,,480-367-8920,04,04013,04013216816,040132168161027,38060,429,ceo,census
94,,https://locations.traderjoes.com/az/scottsdale/94/,Scottsdale,open,6202 N Scottsdale Rd,Scottsdale,,Arizona,AZ,85253,US,33.529,-111.9275,America/Phoenix,,,480-948-9886,04,04013,04013216901,040132169012020,38060,429,ceo,census
89,,https://locations.traderjoes.com/az/mesa/89/,Mesa,open,2050 E Baseline Rd,Mesa,,Arizona,AZ,85204,US,33.381,-111.787,America/Phoenix,,,480-632-0951,04,04013,04013422503,040134225034010,38060,429,ceo,census
91,,https://locations.traderjoes.com/az/tempe/91/,ASU,open,940 E. University Drive,Tempe,,Arizona,AZ,85281,US,33.4226,-111.9249,America/Phoenix,,,480-303-9974,04,04013,04013318400,040133184002003,38060,429,ceo,census
93,,https://locations.traderjoes.com/az/tempe/93/,Tempe,open,6460 S McClintock Dr,Tempe,,Arizona,AZ,85283,US,33.3616,-111.9113,America/Phoenix,,,480-838-4142,04,04013,04013319905,040133199052000,38060,429,ceo,census
