store_number,slug,url,location_name,status,address_line1,city,county,state,region,postal_code,country_code,latitude,longitude,time_zone,format,total_building_area_sqft,main_voice_phone_number,state_fips,county_fips,tract_fips,block_fips,cbsa_fips,csa_fips,coord_source,fips_source
15614,,https://www.walgreens.com/locator/walgreens-3140+highway+280-alexander city-al-35010/id=15614,Walgreens,open,3140 HIGHWAY 280,Alexander City,,Alabama,AL,35010,US,32.9327,-85.9718,America/Chicago,,,256-329-8224,01,01123,01123962302,011239623022035,10760,194,ceo,census
18374,,https://www.walgreens.com/locator/walgreens-459+n+broadnax+st-dadeville-al-36853/id=18374,Walgreens,open,459 N BROADNAX ST,Dadeville,,Alabama,AL,36853,US,32.8351,-85.7639,America/Chicago,,,256-825-4242,01,01123,01123962400,011239624003045,10760,194,ceo,census
10598,,https://www.walgreens.com/locator/walgreens-100+w+fort+williams+st-sylacauga-al-35150/id=10598,Walgreens,open,100 W FORT WILLIAMS ST,Sylacauga,,Alabama,AL,35150,US,33.1676,-86.2527,America/Chicago,,,256-249-8646,01,01121,01121011800,011210118002026,45180,142,ceo,census
10664,,https://www.walgreens.com/locator/walgreens-795+wilson+st-wetumpka-al-36092/id=10664,Walgreens,open,795 WILSON ST,Wetumpka,,Alabama,AL,36092,US,32.5266,-86.2057,America/Chicago,,,334-514-7135,01,01051,01051030702,010510307023021,33860,388,ceo,census
12099,,https://www.walgreens.com/locator/walgreens-503+battle+st+e-talladega-al-35160/id=12099,Walgreens,open,503 BATTLE ST E,Talladega,,Alabama,AL,35160,US,33.4357,-86.094,America/Chicago,,,256-315-1659,01,01121,01121010900,011210109002032,45180,142,ceo,census
9397,,https://www.walgreens.com/locator/walgreens-765+e+glenn+ave-auburn-al-36830/id=9397,Walgreens,open,765 E GLENN AVE,Auburn,,Alabama,AL,36830,US,32.6095,-85.4655,America/Chicago,,,334-821-6538,01,01081,01081040201,010810402013007,12220,194,ceo,census
10947,,https://www.walgreens.com/locator/walgreens-2015+pepperell+pkwy-opelika-al-36801/id=10947,Walgreens,open,2015 PEPPERELL PKWY,Opelika,,Alabama,AL,36801,US,32.6374,-85.4063,America/Chicago,,,334-749-3073,01,01081,01081041104,010810411041029,12220,194,ceo,census
11389,,https://www.walgreens.com/locator/walgreens-3720+highway+14-millbrook-al-36054/id=11389,Walgreens,open,3720 HIGHWAY 14,Millbrook,,Alabama,AL,36054,US,32.5164,-86.3747,America/Chicago,,,334-285-1450,01,01051,01051031100,010510311002021,33860,388,ceo,census
18148,,https://www.walgreens.com/locator/walgreens-641+ollie+ave-clanton-al-35045/id=18148,Walgreens,open,641 OLLIE AVE,Clanton,,Alabama,AL,35045,US,32.8493,-86.6329,America/Chicago,,,205-755-5879,01,01021,01021060104,010210601043007,13820,142,ceo,census
7746,,https://www.walgreens.com/locator/walgreens-6680+atlanta+hwy-montgomery-al-36117/id=7746,Walgreens,open,6680 ATLANTA HWY,Montgomery,,Alabama,AL,36117,US,32.3817,-86.1808,America/Chicago,,,334-409-0611,01,01101,01101005407,011010054072003,33860,388,ceo,census
2203,,https://www.walgreens.com/locator/walgreens-3892+atlanta+hwy-montgomery-al-36109/id=2203,Walgreens,open,3892 ATLANTA HWY,Montgomery,,Alabama,AL,36109,US,32.3827,-86.2467,America/Chicago,,,334-270-0757,01,01101,01101001700,011010017001000,33860,388,ceo,census
13158,,https://www.walgreens.com/locator/walgreens-3110+taylor+rd-montgomery-al-36116/id=13158,Walgreens,open,3110 TAYLOR RD,Montgomery,,Alabama,AL,36116,US,32.3383,-86.1804,America/Chicago,,,334-244-0143,01,01101,01101005609,011010056091000,33860,388,ceo,census
6800,,https://www.walgreens.com/locator/walgreens-703+s+memorial+dr-prattville-al-36067/id=6800,Walgreens,open,703 S MEMORIAL DR,Prattville,,Alabama,AL,36067,US,32.46,-86.4498,America/Chicago,,,334-361-2261,01,01001,01001020400,010010204004009,33860,388,ceo,census
