store_number,slug,url,location_name,status,address_line1,city,county,state,region,postal_code,country_code,latitude,longitude,time_zone,format,total_building_area_sqft,main_voice_phone_number,state_fips,county_fips,tract_fips,block_fips,cbsa_fips,csa_fips,coord_source,fips_source,county_name,cbsa_name,cbsa_metro,csa_name
2070,,https://www.walmart.com/store/2070-anchorage-ak,Walmart Supercenter,open,3101 A St,Anchorage,,Alaska,AK,99503,US,61.1923,-149.8801,America/Anchorage,Supercenter,,907-563-5900,02,02020,02020001900,020200019001018,11260,,ceo,census,Anchorage Municipality,"Anchorage, AK",TRUE,
4359,,https://www.walmart.com/store/4359-anchorage-ak,Walmart Supercenter,open,7405 Debarr Road,Anchorage,,Alaska,AK,99504,US,61.212,-149.7432,America/Anchorage,Supercenter,,907-339-9039,02,02020,02020000702,020200007023014,11260,,ceo,census,Anchorage Municipality,"Anchorage, AK",TRUE,
2071,,https://www.walmart.com/store/2071-anchorage-ak,Walmart Supercenter,open,8900 Old Seward Hwy,Anchorage,,Alaska,AK,99515,US,61.1402,-149.8647,America/Anchorage,Supercenter,,907-344-5300,02,02020,02020002712,020200027121000,11260,,ceo,census,Anchorage Municipality,"Anchorage, AK",TRUE,
2188,,https://www.walmart.com/store/2188-eagle-river-ak,Walmart Supercenter,open,18600 Eagle River Rd,Eagle River,,Alaska,AK,99577,US,61.309,-149.5354,America/Anchorage,Supercenter,,907-694-9780,02,02020,02020000205,020200002053001,11260,,ceo,census,Anchorage Municipality,"Anchorage, AK",TRUE,
2074,,https://www.walmart.com/store/2074-wasilla-ak,Walmart Supercenter,open,1350 S Seward Meridian Pkwy,Wasilla,,Alaska,AK,99654,US,61.5688,-149.365,America/Anchorage,Supercenter,,907-376-9780,02,02170,02170000900,021700009002017,11260,,ceo,census,Matanuska-Susitna Borough,"Anchorage, AK",TRUE,
2722,,https://www.walmart.com/store/2722-fairbanks-ak,Walmart Supercenter,open,537 Johansen Expy,Fairbanks,,Alaska,AK,99701,US,64.8569,-147.6896,America/Anchorage,Supercenter,,907-451-9900,02,02090,02090001300,020900013003042,21820,,ceo,census,Fairbanks North Star Borough,"Fairbanks-College, AK",TRUE,
4474,,https://www.walmart.com/store/4474-kenai-ak,Walmart Supercenter,open,10096 Kenai Spur Hwy,Kenai,,Alaska,AK,99611,US,60.5639,-151.2261,America/Anchorage,Supercenter,,907-395-0971,02,02122,02122000600,021220006005000,,,ceo,census,,,,
2710,,https://www.walmart.com/store/2710-ketchikan-ak,Walmart,open,4230 Don King Rd,Ketchikan,,Alaska,AK,99901,US,55.3754,-131.7206,America/Sitka,Discount,,907-247-2156,02,02130,02130000200,021300002003001,28540,,ceo,nominatim+fcc,Ketchikan Gateway Borough,"Ketchikan, AK",FALSE,
2711,,https://www.walmart.com/store/2711-kodiak-ak,Walmart,open,2911 Mill Bay Rd,Kodiak,,Alaska,AK,99615,US,57.8118,-152.3648,America/Anchorage,Discount,,907-481-1670,02,02150,02150000200,021500002002016,,,ceo,census,,,,
1158,,https://www.walmart.com/store/1158-adamsville-al,Walmart Supercenter,open,2473 Hackworth Rd,Adamsville,,Alabama,AL,35214,US,33.5796,-86.9243,America/Chicago,Supercenter,,205-798-9721,01,01073,01073012402,010730124023013,13820,142,ceo,census,Jefferson County,"Birmingham, AL",TRUE,"Birmingham-Cullman-Talladega, AL"
1201,,https://www.walmart.com/store/1201-gardendale-al,Walmart Supercenter,open,890 Odum Rd,Gardendale,,Alabama,AL,35071,US,33.6468,-86.8234,America/Chicago,Supercenter,,205-631-8110,01,01073,01073011707,010730117073021,13820,142,ceo,census,Jefferson County,"Birmingham, AL",TRUE,"Birmingham-Cullman-Talladega, AL"
4497,,https://www.walmart.com/store/4497-hueytown-al,Walmart Supercenter,open,1007 Red Farmer Dr,Hueytown,,Alabama,AL,35023,US,33.4583,-86.9678,America/Chicago,Supercenter,,205-744-9997,01,01073,01073013901,010730139011053,13820,142,ceo,census,Jefferson County,"Birmingham, AL",TRUE,"Birmingham-Cullman-Talladega, AL"
2723,,https://www.walmart.com/store/2723-sumiton-al,Walmart Supercenter,open,690 Highway 78,Sumiton,,Alabama,AL,35148,US,33.7434,-87.0424,America/Chicago,Supercenter,,205-648-4100,01,01127,01127021800,011270218002019,13820,142,ceo,nominatim+fcc,Walker County,"Birmingham, AL",TRUE,"Birmingham-Cullman-Talladega, AL"
4504,,https://www.walmart.com/store/4504-birmingham-al,Walmart Neighborhood Market,open,312 Palisades Blvd,Birmingham,,Alabama,AL,35209,US,33.4678,-86.8216,America/Chicago,Neighborhood Market,,205-870-8101,01,01073,01073005800,010730058001003,13820,142,ceo,census,Jefferson County,"Birmingham, AL",TRUE,"Birmingham-Cullman-Talladega, AL"
1481,,https://www.walmart.com/store/1481-homewood-al,Walmart Supercenter,open,209 Lakeshore Pkwy,Homewood,,Alabama,AL,35209,US,33.4471,-86.821,America/Chicago,Supercenter,,205-945-8692,01,01073,01073010706,010730107063008,13820,142,ceo,census,Jefferson County,"Birmingham, AL",TRUE,"Birmingham-Cullman-Talladega, AL"
1711,,https://www.walmart.com/store/1711-birmingham-al,Walmart Supercenter,open,1600 Montclair Rd,Birmingham,,Alabama,AL,35210,US,33.529,-86.7201,America/Chicago,Supercenter,,205-956-0416,01,01073,01073005600,010730056002002,13820,142,ceo,census,Jefferson County,"Birmingham, AL",TRUE,"Birmingham-Cullman-Talladega, AL"
762,,https://www.walmart.com/store/762-birmingham-al,Walmart Supercenter,open,9248 Parkway E,Birmingham,,Alabama,AL,35206,US,33.5902,-86.7002,America/Chicago,Supercenter,,205-833-7676,01,01073,01073000100,010730001001000,13820,142,ceo,census,Jefferson County,"Birmingham, AL",TRUE,"Birmingham-Cullman-Talladega, AL"
4580,,https://www.walmart.com/store/4580-vestavia-hills-al,Walmart Neighborhood Market,open,1300 Montgomery Hwy,Vestavia Hills,,Alabama,AL,35216,US,33.4288,-86.7918,America/Chicago,Neighborhood Market,,205-822-9994,01,01073,01073012920,010730129201000,13820,142,ceo,census,Jefferson County,"Birmingham, AL",TRUE,"Birmingham-Cullman-Talladega, AL"
5100,,https://www.walmart.com/store/5100-birmingham-al,Walmart Neighborhood Market,open,1916 Center Point Pkwy,Birmingham,,Alabama,AL,35215,US,33.6374,-86.6844,America/Chicago,Neighborhood Market,,205-520-0269,01,01073,01073011803,010730118032001,13820,142,ceo,census,Jefferson County,"Birmingham, AL",TRUE,"Birmingham-Cullman-Talladega, AL"
764,,https://www.walmart.com/store/764-bessemer-al,Walmart Supercenter,open,750 Academy Dr,Bessemer,,Alabama,AL,35022,US,33.3614,-87.0015,America/Chicago,Supercenter,,205-424-5890,01,01073,01073014104,010730141042020,13820,142,ceo,census,Jefferson County,"Birmingham, AL",TRUE,"Birmingham-Cullman-Talladega, AL"
3184,,https://www.walmart.com/store/3184-hoover-al,Walmart Neighborhood Market,open,3320 Lorna Rd,Hoover,,Alabama,AL,35216,US,33.393,-86.7992,America/Chicago,Neighborhood Market,,205-909-4306,01,01073,01073012908,010730129084022,13820,142,ceo,census,Jefferson County,"Birmingham, AL",TRUE,"Birmingham-Cullman-Talladega, AL"
1229,,https://www.walmart.com/store/1229-hoover-al,Walmart Supercenter,open,2780 John Hawkins Pkwy,Hoover,,Alabama,AL,35244,US,33.3618,-86.8247,America/Chicago,Supercenter,,205-733-0303,01,01073,01073014410,010730144102011,13820,142,ceo,census,Jefferson County,"Birmingham, AL",TRUE,"Birmingham-Cullman-Talladega, AL"
2713,,https://www.walmart.com/store/2713-birmingham-al,Walmart Supercenter,open,5919 Trussville Crossings Pkwy,Birmingham,,Alabama,AL,35235,US,33.6395,-86.6289,America/Chicago,Supercenter,,205-661-1957,01,01073,01073011113,010730111131002,13820,142,ceo,census,Jefferson County,"Birmingham, AL",TRUE,"Birmingham-Cullman-Talladega, AL"
3424,,https://www.walmart.com/store/3424-birmingham-al,Walmart Neighborhood Market,open,2653 Valleydale Road,Birmingham,,Alabama,AL,35244,US,33.3824,-86.7392,America/Chicago,Neighborhood Market,,205-582-6183,01,01117,01117030305,011170303053000,13820,142,ceo,census,Shelby County,"Birmingham, AL",TRUE,"Birmingham-Cullman-Talladega, AL"
2111,,https://www.walmart.com/store/2111-hoover-al,Walmart Supercenter,open,5335 Highway 280,Hoover,,Alabama,AL,35242,US,33.4219,-86.6759,America/Chicago,Supercenter,,205-980-5156,01,01117,01117030330,011170303303006,13820,142,ceo,nominatim+fcc,Shelby County,"Birmingham, AL",TRUE,"Birmingham-Cullman-Talladega, AL"
5262,,https://www.walmart.com/store/5262-pelham-al,Walmart Supercenter,open,2181 Pelham Pkwy,Pelham,,Alabama,AL,35124,US,33.3408,-86.7912,America/Chicago,Supercenter,,205-987-0108,01,01117,01117030315,011170303151007,13820,142,ceo,census,Shelby County,"Birmingham, AL",TRUE,"Birmingham-Cullman-Talladega, AL"
4189,,https://www.walmart.com/store/4189-helena-al,Walmart Neighborhood Market,open,335 Helena Marketplace,Helena,,Alabama,AL,35080,US,33.2797,-86.8512,America/Chicago,Neighborhood Market,,205-624-1640,01,01117,01117030317,011170303171005,13820,142,ceo,fcc,Shelby County,"Birmingham, AL",TRUE,"Birmingham-Cullman-Talladega, AL"
287,,https://www.walmart.com/store/287-jasper-al,Walmart Supercenter,open,1801 Highway 78 E,Jasper,,Alabama,AL,35501,US,33.8429,-87.2545,America/Chicago,Supercenter,,205-384-1100,01,01127,01127020400,011270204001001,13820,142,ceo,census,Walker County,"Birmingham, AL",TRUE,"Birmingham-Cullman-Talladega, AL"
