store_number,slug,url,location_name,status,address_line1,city,county,state,region,postal_code,country_code,latitude,longitude,time_zone,format,total_building_area_sqft,main_voice_phone_number,state_fips,county_fips,tract_fips,block_fips,cbsa_fips,csa_fips,coord_source,fips_source
birmingham,,https://www.wholefoodsmarket.com/stores/birmingham,Mountain Brook,open,3100 Cahaba Village Plaza,Birmingham,,Alabama,AL,35243,US,33.46,-86.752,America/Chicago,,,205-912-8400,01,01073,01073012802,010730128023013,13820,142,ceo,fcc
huntsville,,https://www.wholefoodsmarket.com/stores/huntsville,Huntsville,open,2501 Memorial Pkwy SW,Huntsville,,Alabama,AL,35801,US,34.7124,-86.5894,America/Chicago,,,256-801-3741,01,01089,01089002000,010890020001020,26620,290,ceo,fcc
riverroad,,https://www.wholefoodsmarket.com/stores/riverroad,River Road,open,5555 E River Rd,Tucson,,Arizona,AZ,85750,US,32.2749,-110.8743,America/Phoenix,,,520-461-1300,04,04019,04019004721,040190047213000,46060,536,ceo,census
speedway,,https://www.wholefoodsmarket.com/stores/speedway,Speedway,open,3360 E Speedway Blvd,Tucson,,Arizona,AZ,85716,US,32.2357,-110.9214,America/Phoenix,,,520-795-9844,04,04019,04019001802,040190018022002,46060,536,ceo,census
oracle,,https://www.wholefoodsmarket.com/stores/oracle,Oracle,open,7133 N Oracle Rd,Tucson,,Arizona,AZ,85704,US,32.3358,-110.9781,America/Phoenix,,,520-352-0111,04,04019,04019004615,040190046152001,46060,536,ceo,census
chandler,,https://www.wholefoodsmarket.com/stores/chandler,Chandler,open,2955 W Ray Rd,Chandler,,Arizona,AZ,85224,US,33.3184,-111.8928,America/Phoenix,,,480-821-9447,04,04013,04013810800,040138108001005,38060,429,ceo,census
tempe,,https://www.wholefoodsmarket.com/stores/tempe,Tempe,open,750 S Ash Ave,Tempe,,Arizona,AZ,85281,US,33.4228,-111.9427,America/Phoenix,,,480-456-1400,04,04013,04013318700,040133187002012,38060,429,ceo,census
scottsdale,,https://www.wholefoodsmarket.com/stores/scottsdale,Scottsdale,open,7111 E Mayo Blvd,Phoenix,,Arizona,AZ,85054,US,33.6538,-111.9273,America/Phoenix,,,480-515-3777,04,04013,04013615201,040136152012025,38060,429,ceo,census
paradisevalleymall85032,,https://www.wholefoodsmarket.com/stores/paradisevalleymall85032,Paradise Valley Mall,open,12500 N Tatum Blvd,Phoenix,,Arizona,AZ,85032,US,33.6013,-111.9815,America/Phoenix,,,602-569-7600,04,04013,04013103210,040131032104010,38060,429,ceo,census
camelback,,https://www.wholefoodsmarket.com/stores/camelback,Camelback,open,4701 N 20th St,Phoenix,,Arizona,AZ,85016,US,33.5063,-112.0379,America/Phoenix,,,602-761-4750,04,04013,04013108502,040131085024002,38060,429,ceo,census
flagstaff,,https://www.wholefoodsmarket.com/stores/flagstaff,Flagstaff,open,320 S Cambridge Ln,Flagstaff,,Arizona,AZ,86001,US,35.1918,-111.6413,America/Phoenix,,,928-774-5747,04,04005,04005000800,040050008004021,22380,,ceo,census
sedona,,https://www.wholefoodsmarket.com/stores/sedona,Sedona,open,1420 W State Rte 89A,Sedona,,Arizona,AZ,86336,US,34.8634,-111.7849,America/Phoenix,,,928-282-6311,04,04025,04025001804,040250018041016,39150,,ceo,census
bowman,,https://www.wholefoodsmarket.com/stores/bowman,Bowman,open,501 S Bowman Rd,Little Rock,,Arkansas,AR,72211,US,34.7503,-92.4056,America/Chicago,,,501-312-2326,05,05119,05119002407,051190024071007,30780,340,ceo,census
fayetteville,,https://www.wholefoodsmarket.com/stores/fayetteville,Fayetteville,open,3425 N College Ave,Fayetteville,,Arkansas,AR,72703,US,36.1136,-94.1462,America/Chicago,,,479-695-5561,05,05143,05143010705,051430107053020,22220,,ceo,census
rogers,,https://www.wholefoodsmarket.com/stores/rogers,Rogers,open,1801 S. 46th St.,Rogers,,Arkansas,AR,72758,US,36.3161,-94.1816,America/Chicago,,,479-202-6260,05,05007,05007020401,050070204012053,22220,,ceo,fcc
